t,o,h,l,c
1781499600000,210.989,211.175,210.469,210.713
1781503200000,210.713,210.97,210.171,210.283
1781506800000,210.283,210.545,210.018,210.323
1781510400000,210.323,210.806,210.175,210.286
1781514000000,210.286,210.478,209.468,209.853
1781517600000,209.853,209.94,209.236,209.268
1781521200000,209.268,209.657,208.29,208.92
1781524800000,208.92,209.171,207.9,208.205
1781528400000,208.205,211.057,208.085,208.966
1781532000000,208.966,210.501,208.541,210.472
1781535600000,210.472,212.749,210.451,212.35
1781539200000,212.35,212.747,211.98,212.439
1781542800000,212.439,212.788,211.965,211.995
1781546400000,211.995,212.646,211.591,212.417
1781550000000,212.417,212.54,211.466,212.54
1781553600000,212.54,212.572,212.058,212.208
1781557200000,212.208,212.493,212.137,212.263
1781560800000,212.263,212.316,211.522,211.618
1781564400000,211.618,212.027,211.398,212.006
1781568000000,212.006,212.101,211.042,211.078
1781571600000,211.078,211.224,210.579,210.987
1781575200000,210.987,211.211,210.676,210.941
1781578800000,210.941,211.777,210.939,211.498
1781582400000,211.498,211.674,210.982,211.254
1781586000000,211.254,211.624,211.231,211.294
1781589600000,211.294,211.468,211.22,211.395
1781593200000,211.395,211.478,211.237,211.388
1781596800000,211.388,212.05,211.337,211.848
1781600400000,211.848,211.849,211.423,211.574
1781604000000,211.574,211.883,211.403,211.875
1781607600000,211.875,212.668,211.757,212.308
1781611200000,212.308,212.491,211.028,211.074
1781614800000,211.074,211.307,208.916,208.919
1781618400000,208.919,210.443,208.676,209.469
1781622000000,209.469,210.406,208.658,209.293
1781625600000,209.293,209.873,208.502,209.262
1781629200000,209.262,209.83,208.911,209.59
1781632800000,209.59,209.96,208.979,209.179
1781636400000,209.179,209.498,207.561,207.566
1781640000000,207.566,207.836,207.078,207.76
1781643600000,207.76,208.06,207.754,208.003
1781647200000,208.003,208.179,207.799,208.117
1781650800000,208.117,208.123,207.489,207.658
1781654400000,207.658,208.084,207.658,207.831
1781658000000,207.831,208.669,207.771,208.609
1781661600000,208.609,208.752,208.47,208.51
1781665200000,208.51,209.079,208.446,208.952
1781668800000,208.952,209.146,208.835,209.143
1781672400000,209.143,209.172,208.792,208.819
1781676000000,208.819,208.959,208.615,208.93
1781679600000,208.93,209.185,208.786,208.987
1781683200000,208.987,209.039,208.137,208.504
1781686800000,208.504,208.71,208.279,208.361
1781690400000,208.361,208.465,208.142,208.171
1781694000000,208.171,208.173,207.783,207.941
1781697600000,207.941,208.755,207.868,208.535
1781701200000,208.535,209.274,207.273,207.297
1781704800000,207.297,208.322,206.504,206.579
1781708400000,206.579,207.102,206.068,206.557
1781712000000,206.557,207.75,206.557,207.236
1781715600000,207.236,208.056,206.863,207.906
1781719200000,207.906,207.955,205.529,206.156
1781722800000,206.156,206.577,203.579,204.795
1781726400000,204.795,205.345,204.535,205.335
1781730000000,205.335,205.613,205.17,205.596
1781733600000,205.596,205.909,205.283,205.681
1781737200000,205.681,206.522,205.673,206.503
1781740800000,206.503,207.771,206.332,207.184
1781744400000,207.184,207.536,206.794,206.812
1781748000000,206.812,207.204,206.668,206.853
1781751600000,206.853,207.018,206.451,206.666
1781755200000,206.666,206.734,205.345,206.081
1781758800000,206.081,206.401,205.925,206.312
1781762400000,206.312,206.654,206.035,206.497
1781766000000,206.497,207.027,206.414,206.837
1781769600000,206.837,207.478,206.733,206.809
1781773200000,206.809,207.375,206.601,207.369
1781776800000,207.369,207.571,206.958,207.025
1781780400000,207.025,207.484,206.637,207.172
1781784000000,207.172,208.108,207.029,207.952
1781787600000,207.952,208.479,206.782,208.012
1781791200000,208.012,210.048,207.73,209.47
1781794800000,209.47,209.814,207.848,209.087
1781798400000,209.087,211.284,209.087,210.155
1781802000000,210.155,210.63,210.011,210.138
1781805600000,210.138,210.674,209.828,209.955
1781809200000,209.955,211.535,209.78,210.599
1781812800000,210.599,210.744,210.171,210.441
1781816400000,210.441,211.012,210.392,210.829
1781820000000,210.829,210.829,210.078,210.309
1781823600000,210.309,210.503,210.214,210.503
1781827200000,210.503,210.656,210.108,210.372
1781830800000,210.372,210.506,210.223,210.223
1781834400000,210.223,210.355,210.159,210.355
1781838000000,210.355,210.382,209.453,209.479
1781841600000,209.479,209.622,208.928,208.928
1781845200000,208.928,208.996,208.483,208.763
1781848800000,208.763,209.234,208.697,209.228
1781852400000,209.228,209.248,209.141,209.248
1781856000000,209.248,209.626,209.248,209.536
1781859600000,209.536,209.75,209.535,209.599
1781863200000,209.599,209.603,208.591,208.591
1781866800000,208.591,209.375,208.53,209.16
1781870400000,209.16,209.537,209.008,209.537
1781874000000,209.537,209.959,209.288,209.425
1781877600000,209.425,209.92,209.25,209.707
1781881200000,209.707,209.738,209.268,209.58
1781884800000,209.58,209.632,209.321,209.321
1781888400000,209.321,209.566,209.319,209.506
1781892000000,209.506,209.524,209.329,209.351
1781895600000,209.351,209.393,209.284,209.301
1781899200000,209.301,209.303,209.05,209.059
1781902800000,209.059,209.083,208.969,209.031
1781906400000,209.031,209.349,209.03,209.25
1781910000000,209.25,209.395,209.184,209.351
1781913600000,209.351,209.382,209.22,209.261
1781917200000,209.261,209.293,209.066,209.154
1781920800000,209.154,209.36,208.98,209.36
1781924400000,209.36,209.78,209.007,209.317
1781928000000,209.317,209.649,209.305,209.592
1781931600000,209.592,209.849,209.579,209.669
1781935200000,209.669,209.863,209.635,209.863
1781938800000,209.863,209.895,209.562,209.71
1781942400000,209.71,209.9,209.41,209.42
1781946000000,209.42,210.004,209.42,210.004
1781949600000,210.004,210.085,209.628,209.761
1781953200000,209.761,210.045,209.761,209.93
1781956800000,209.93,210.091,209.886,209.947
1781960400000,209.947,210.027,209.111,209.502
1781964000000,209.502,209.656,208.934,209.443
1781967600000,209.443,209.769,209.312,209.382
1781971200000,209.382,209.423,209.157,209.19
1781974800000,209.19,209.241,208.813,208.833
1781978400000,208.833,208.837,208.689,208.716
1781982000000,208.716,208.976,208.671,208.928
1781985600000,208.928,209.25,208.926,209.234
1781989200000,209.234,209.262,209.014,209.086
1781992800000,209.086,209.423,209.086,209.401
1781996400000,209.401,209.492,209.206,209.206
1782000000000,209.206,209.335,209.144,209.305
1782003600000,209.305,209.347,209.171,209.206
1782007200000,209.206,209.226,209.162,209.226
1782010800000,209.226,209.506,209.077,209.441
1782014400000,209.441,209.655,209.413,209.589
1782018000000,209.589,209.701,209.492,209.542
1782021600000,209.542,209.542,209.334,209.428
1782025200000,209.428,209.627,209.37,209.374
1782028800000,209.374,209.495,209.245,209.495
1782032400000,209.495,209.728,209.486,209.697
1782036000000,209.697,209.716,209.366,209.63
1782039600000,209.63,209.633,209.337,209.347
1782043200000,209.347,209.502,209.262,209.488
1782046800000,209.488,209.577,209.345,209.477
1782050400000,209.477,209.598,209.362,209.45
1782054000000,209.45,209.59,209.31,209.421
1782057600000,209.421,209.486,209.253,209.413
1782061200000,209.413,209.413,209.267,209.382
1782064800000,209.382,209.7,209.228,209.325
1782068400000,209.325,209.434,209.26,209.31
1782072000000,209.31,209.31,209.22,209.278
1782075600000,209.278,209.756,209.172,209.756
1782079200000,209.756,209.796,209.196,209.241
1782082800000,209.241,209.285,208.052,208.052
1782086400000,208.052,209.264,207.849,208.321
1782090000000,208.321,209.692,208.321,208.909
1782093600000,208.909,209.291,208.807,208.856
1782097200000,208.856,209.219,208.624,208.874
1782100800000,208.874,209.289,208.626,209.278
1782104400000,209.278,209.644,209.144,209.415
1782108000000,209.415,210.086,209.399,209.958
1782111600000,209.958,210.323,209.917,209.939
1782115200000,209.939,210.147,209.132,209.786
1782118800000,209.786,209.875,209.357,209.362
1782122400000,209.362,210.027,209.361,209.677
1782126000000,209.677,210.698,209.677,210.377
1782129600000,210.377,211.202,210.228,210.969
1782133200000,210.969,214.107,210.91,213.312
1782136800000,213.312,214.121,208.712,209.238
1782140400000,209.238,210.978,209.119,209.58
1782144000000,209.58,210.061,209.268,209.512
1782147600000,209.512,209.709,208.597,208.703
1782151200000,208.703,209.394,208.631,208.78
1782154800000,208.78,209.117,207.938,208.895
1782158400000,208.895,209.115,208.254,208.258
1782162000000,208.258,208.264,208.117,208.175
1782165600000,208.175,208.413,207.746,207.814
1782169200000,207.814,207.999,207.723,207.873
1782172800000,207.873,208.62,207.479,208.351
1782176400000,208.351,208.504,206.722,206.947
1782180000000,206.947,206.983,206.342,206.463
1782183600000,206.463,206.524,205.604,206.071
1782187200000,206.071,206.368,205.217,205.253
1782190800000,205.253,205.487,204.722,204.858
1782194400000,204.858,204.898,203.025,203.123
1782198000000,203.123,203.623,202.165,202.284
1782201600000,202.284,202.912,201.734,202.487
1782205200000,202.487,202.944,202.302,202.477
1782208800000,202.477,202.723,201.899,202.615
1782212400000,202.615,204.195,202.315,203.968
1782216000000,203.968,204.061,202.74,203.019
1782219600000,203.019,203.805,200.186,203.501
1782223200000,203.501,203.634,201.981,202.253
1782226800000,202.253,202.504,200.486,201.861
1782230400000,201.861,202.994,201.861,202.3
1782234000000,202.3,202.786,201.662,201.662
1782237600000,201.662,202.039,200.386,200.669
1782241200000,200.669,201.496,200.081,200.201
1782244800000,200.201,200.822,200.059,200.526
1782248400000,200.526,201.103,200.519,201.017
1782252000000,201.017,201.237,200.419,200.553
1782255600000,200.553,200.954,200.245,200.954
1782259200000,200.954,201.814,200.656,201.731
1782262800000,201.731,201.81,201.398,201.628
1782266400000,201.628,201.656,200.635,200.66
1782270000000,200.66,201.362,200.645,201.104
1782273600000,201.104,201.362,200.661,201.177
1782277200000,201.177,201.804,201.156,201.365
1782280800000,201.365,201.554,201.123,201.353
1782284400000,201.353,201.397,200.868,201.005
1782288000000,201.005,201.653,200.969,201.466
1782291600000,201.466,201.746,201.339,201.504
1782295200000,201.504,201.763,201.438,201.495
1782298800000,201.495,201.775,200.999,201.61
1782302400000,201.61,201.705,200.959,200.987
1782306000000,200.987,201.601,199.216,200.341
1782309600000,200.341,201.305,198.61,201.22
1782313200000,201.22,201.527,200.418,200.813
1782316800000,200.813,201.093,199.165,199.281
1782320400000,199.281,199.59,197.445,197.509
1782324000000,197.509,198.77,197.122,197.257
1782327600000,197.257,199.127,196.673,199.125
1782331200000,199.125,201.295,198.373,200.547
1782334800000,200.547,200.612,199.987,200.57
1782338400000,200.57,200.917,199.879,199.99
1782342000000,199.99,200.94,199.922,200.744
1782345600000,200.744,200.944,200.024,200.373
1782349200000,200.373,200.456,199.887,200.088
1782352800000,200.088,200.218,199.382,200.175
1782356400000,200.175,200.476,199.943,200.416
1782360000000,200.416,200.429,200.125,200.191
1782363600000,200.191,200.795,200.172,200.727
1782367200000,200.727,200.897,200.305,200.308
1782370800000,200.308,201.249,200.286,201.249
1782374400000,201.249,201.879,201.025,201.842
1782378000000,201.842,202.272,201.735,201.756
1782381600000,201.756,201.995,201,201.12
1782385200000,201.12,201.535,200.58,200.735
1782388800000,200.735,201.951,200.674,201.944
1782392400000,201.944,201.944,192.205,192.379
1782396000000,192.379,196.608,192.379,195.596
1782399600000,195.596,196.808,194.96,195.845
1782403200000,195.845,197.135,194.696,195.039
1782406800000,195.039,195.917,194.541,195.004
1782410400000,195.004,195.973,193.898,194.548
1782414000000,194.548,195.85,193.934,195.85
1782417600000,195.85,196.925,195.262,195.475
1782421200000,195.475,195.7,195.389,195.694
1782424800000,195.694,195.889,194.4,194.845
1782428400000,194.845,195.796,194.656,194.894
1782432000000,194.894,195.323,194.565,194.591
1782435600000,194.591,194.743,192.723,192.92
1782439200000,192.92,193.319,191.108,191.515
1782442800000,191.515,193.197,191.415,193.197
1782446400000,193.197,193.279,191.276,191.534
1782450000000,191.534,192.795,191.506,192.371
1782453600000,192.371,193.262,191.722,193.242
1782457200000,193.242,193.986,192.634,193.865
1782460800000,193.865,193.921,192.644,192.913
1782464400000,192.913,194.074,192.773,193.686
