t,o,h,l,c
1781848800000,183.09,183.38,182.89,183.22
1781852400000,183.22,183.37,182.76,183.07
1781856000000,183.07,183.35,182.9,183.01
1781859600000,183.01,183.17,182.43,183.04
1781863200000,183.04,183.92,182.95,183.82
1781866800000,183.82,184.1,183.56,183.98
1781870400000,183.98,184.44,183.42,184.44
1781874000000,184.44,184.57,183.93,184.45
1781877600000,184.45,184.59,183.96,184.5
1781881200000,184.5,184.5,183.98,184.01
1781884800000,184.01,184.59,183.76,183.76
1781888400000,183.76,183.98,183.6,183.71
1781892000000,183.71,184.32,183.58,183.77
1781895600000,183.77,183.96,183.6,183.72
1781899200000,183.72,184.08,183.64,184.03
1781902800000,184.03,184.71,183.95,184.44
1781906400000,184.44,185,184.44,184.98
1781910000000,184.98,185.59,184.94,185.56
1781913600000,185.56,185.59,184.98,185.04
1781917200000,185.04,185.04,184.65,184.86
1781920800000,184.86,185.19,184.68,185.18
1781924400000,185.18,185.61,185.09,185.6
1781928000000,185.6,185.98,185.6,185.87
1781931600000,185.87,185.91,185.6,185.62
1781935200000,185.62,185.68,185.46,185.49
1781938800000,185.49,185.49,184.98,185.25
1781942400000,185.25,185.36,184.77,184.77
1781946000000,184.77,185.16,184.66,185.14
1781949600000,185.14,185.34,185.05,185.25
1781953200000,185.25,185.25,185.13,185.18
1781956800000,185.18,185.29,185.09,185.25
1781960400000,185.25,185.28,184.22,184.65
1781964000000,184.65,185.57,184.32,185.41
1781967600000,185.41,185.67,185.31,185.39
1781971200000,185.39,185.4,185.25,185.29
1781974800000,185.29,185.29,184.74,184.88
1781978400000,184.88,185.02,184.85,184.89
1781982000000,184.89,185.12,184.89,185.12
1781985600000,185.12,185.19,184.73,185
1781989200000,185,185.21,184.94,185.2
1781992800000,185.2,185.33,185.16,185.27
1781996400000,185.27,185.44,185.24,185.31
1782000000000,185.31,185.33,184.85,184.93
1782003600000,184.93,184.94,184.04,184.33
1782007200000,184.33,184.43,184.08,184.43
1782010800000,184.43,185.07,184.43,185.06
1782014400000,185.06,185.12,185,185.04
1782018000000,185.04,185.25,184.98,185.25
1782021600000,185.25,185.62,185.22,185.62
1782025200000,185.62,185.72,185.42,185.42
1782028800000,185.42,185.44,184.89,185.25
1782032400000,185.25,185.63,185.16,185.62
1782036000000,185.62,185.65,185.42,185.58
1782039600000,185.58,185.62,185.18,185.18
1782043200000,185.18,185.32,185.1,185.32
1782046800000,185.32,185.56,185.25,185.33
1782050400000,185.33,185.4,185.23,185.4
1782054000000,185.4,185.55,185.29,185.32
1782057600000,185.32,185.35,185.12,185.31
1782061200000,185.31,185.34,185.13,185.15
1782064800000,185.15,185.16,184.98,185.16
1782068400000,185.16,185.24,185.11,185.11
1782072000000,185.11,185.13,184.61,184.66
1782075600000,184.66,184.92,184.19,184.92
1782079200000,184.92,185.24,184.45,185.2
1782082800000,185.2,185.2,182.51,182.79
1782086400000,182.79,183.11,181.19,182.74
1782090000000,182.74,182.87,181.47,181.55
1782093600000,181.55,182.24,181.54,182
1782097200000,182,182.12,181.56,181.67
1782100800000,181.67,181.92,181.05,181.5
1782104400000,181.5,182.26,181.44,181.94
1782108000000,181.94,183.04,181.94,182.87
1782111600000,182.87,183.03,182.47,182.57
1782115200000,182.57,182.78,182.1,182.7
1782118800000,182.7,182.73,181.77,181.77
1782122400000,181.77,182.32,181.73,181.96
1782126000000,181.96,182.62,181.94,182.48
1782129600000,182.48,182.82,182.18,182.19
1782133200000,182.19,183.84,180.16,183.47
1782136800000,183.47,184.74,179.47,180.19
1782140400000,180.19,180.34,177.17,177.28
1782144000000,177.28,177.32,174.78,175.55
1782147600000,175.55,176.17,174.93,176.08
1782151200000,176.08,177.53,175.24,175.24
1782154800000,175.24,176.36,174.66,175.57
1782158400000,175.57,175.77,174.75,175.25
1782162000000,175.25,175.66,175.08,175.58
1782165600000,175.58,175.86,175.47,175.61
1782169200000,175.61,175.76,175.38,175.68
1782172800000,175.68,176.24,174.95,175.93
1782176400000,175.93,176,173.14,173.79
1782180000000,173.79,173.88,172.16,172.89
1782183600000,172.89,172.95,170.75,171.95
1782187200000,171.95,172.09,171.05,171.05
1782190800000,171.05,171.54,170.43,170.83
1782194400000,170.83,170.85,169.44,170.56
1782198000000,170.56,171.34,170.27,170.38
1782201600000,170.38,171.6,169.59,169.79
1782205200000,169.79,170.01,168.37,169.12
1782208800000,169.12,170.4,168.63,170.26
1782212400000,170.26,171.71,169.97,171.36
1782216000000,171.36,172.22,164.34,168.43
1782219600000,168.43,173.66,167.66,173.54
1782223200000,173.54,174.38,170.93,171.14
1782226800000,171.14,171.61,169.14,169.68
1782230400000,169.68,170.46,168.26,168.71
1782234000000,168.71,168.94,166.05,166.11
1782237600000,166.11,166.79,165.29,165.88
1782241200000,165.88,166.68,164.76,165.31
1782244800000,165.31,165.89,165.22,165.79
1782248400000,165.79,165.96,165.58,165.91
1782252000000,165.91,166.01,165.46,165.93
1782255600000,165.93,165.93,165.14,165.7
1782259200000,165.7,167.03,165.68,166.56
1782262800000,166.56,167.23,165.97,166.99
1782266400000,166.99,167.06,165.75,165.9
1782270000000,165.9,166.56,165.48,166.45
1782273600000,166.45,167.06,166.25,167.06
1782277200000,167.06,167.24,166.48,166.54
1782280800000,166.54,166.67,166.18,166.32
1782284400000,166.32,166.35,165.56,165.65
1782288000000,165.65,166.25,165.49,165.71
1782291600000,165.71,165.91,165.49,165.68
1782295200000,165.68,165.9,165.58,165.74
1782298800000,165.74,165.94,164.94,165.47
1782302400000,165.47,165.64,164.35,164.59
1782306000000,164.59,165.82,161.89,162.54
1782309600000,162.54,162.54,160.03,160.97
1782313200000,160.97,161.05,158.9,159.05
1782316800000,159.05,159.2,156.59,156.77
1782320400000,156.77,157.32,155.63,155.81
1782324000000,155.81,158.21,155.74,156.16
1782327600000,156.16,158.28,155.63,157.79
1782331200000,157.79,159.79,157.66,159.11
1782334800000,159.11,160.07,158.84,159.9
1782338400000,159.9,160.15,159.35,159.45
1782342000000,159.45,159.91,159.25,159.57
1782345600000,159.57,160.15,158.36,158.88
1782349200000,158.88,159.34,158.48,158.88
1782352800000,158.88,159.01,158.25,158.9
1782356400000,158.9,159.7,158.75,159.59
1782360000000,159.59,159.64,159.17,159.4
1782363600000,159.4,159.66,159.2,159.62
1782367200000,159.62,159.95,159.4,159.85
1782370800000,159.85,160.65,159.84,160.51
1782374400000,160.51,160.79,159.7,159.82
1782378000000,159.82,159.97,159.54,159.73
1782381600000,159.73,160.21,159.73,159.83
