t,o,h,l,c
1781499600000,131.395,131.557,131.152,131.324
1781503200000,131.324,131.397,130.613,130.704
1781506800000,130.704,131.05,130.67,130.926
1781510400000,130.926,131.527,130.757,131.159
1781514000000,131.159,131.242,130.67,130.845
1781517600000,130.845,130.889,130.11,130.114
1781521200000,130.114,130.342,129.823,130.179
1781524800000,130.179,130.477,129.976,130.159
1781528400000,130.159,132.01,129.823,131.666
1781532000000,131.666,134.388,131.501,134.372
1781535600000,134.372,134.907,133.796,134.779
1781539200000,134.779,135.044,133.828,133.874
1781542800000,133.874,134.336,133.664,133.898
1781546400000,133.898,134.411,133.491,134.348
1781550000000,134.348,134.99,134.088,134.697
1781553600000,134.697,134.949,134.697,134.895
1781557200000,134.895,134.899,134.743,134.773
1781560800000,134.773,134.823,133.918,134.205
1781564400000,134.205,134.699,134.103,134.26
1781568000000,134.26,134.669,133.364,133.364
1781571600000,133.364,133.706,133.09,133.542
1781575200000,133.542,133.576,133.103,133.107
1781578800000,133.107,133.871,133.103,133.684
1781582400000,133.684,134.616,133.666,134.595
1781586000000,134.595,134.995,134.536,134.872
1781589600000,134.872,136.037,134.795,135.884
1781593200000,135.884,136.274,135.765,135.765
1781596800000,135.765,135.915,135.302,135.62
1781600400000,135.62,135.686,134.661,135.075
1781604000000,135.075,135.379,134.816,135.03
1781607600000,135.03,135.03,133.491,134.025
1781611200000,134.025,134.308,133.898,134.129
1781614800000,134.129,134.581,131.622,132.739
1781618400000,132.739,132.804,129.695,129.931
1781622000000,129.931,131.637,129.931,130.881
1781625600000,130.881,131.213,130.347,131.047
1781629200000,131.047,131.417,130.549,130.887
1781632800000,130.887,132.338,130.851,132.052
1781636400000,132.052,133.68,131.717,133.251
1781640000000,133.251,133.251,132.565,132.629
1781643600000,132.629,132.666,132.369,132.495
1781647200000,132.495,132.713,132.421,132.565
1781650800000,132.565,132.62,132.36,132.62
1781654400000,132.62,133.024,132.225,132.761
1781658000000,132.761,133.3,132.723,133.224
1781661600000,133.224,133.26,132.909,133.006
1781665200000,133.006,133.055,132.727,133.039
1781668800000,133.039,133.162,132.982,133.104
1781672400000,133.104,133.361,133.05,133.264
1781676000000,133.264,133.475,133.099,133.475
1781679600000,133.475,133.475,132.935,133.129
1781683200000,133.129,133.239,132.144,132.402
1781686800000,132.402,132.664,132.356,132.522
1781690400000,132.522,132.655,132.402,132.622
1781694000000,132.622,132.776,132.084,132.194
1781697600000,132.194,132.302,131.901,132.073
1781701200000,132.073,135.32,130.814,134.75
1781704800000,134.75,135.986,133.605,134.331
1781708400000,134.331,135.298,133.835,134.436
1781712000000,134.436,135.461,134.436,134.946
1781715600000,134.946,136.111,134.673,135.851
1781719200000,135.851,135.875,132.935,133.187
1781722800000,133.187,133.633,129.996,130.707
1781726400000,130.707,132.163,130.662,131.828
1781730000000,131.828,132.021,131.322,131.681
1781733600000,131.681,132.192,131.511,131.877
1781737200000,131.877,132.162,131.862,132.162
1781740800000,132.162,133.27,131.918,132.868
1781744400000,132.868,132.995,132.537,132.543
1781748000000,132.543,132.731,132.427,132.532
1781751600000,132.532,132.622,132.23,132.484
1781755200000,132.484,132.565,131.517,131.685
1781758800000,131.685,131.916,131.545,131.633
1781762400000,131.633,132.107,131.476,132.09
1781766000000,132.09,132.124,131.773,131.905
1781769600000,131.905,132.162,131.24,131.318
1781773200000,131.318,131.733,131.256,131.669
1781776800000,131.669,131.709,130.878,130.906
1781780400000,130.906,130.985,129.967,130.056
1781784000000,130.056,131.111,130.022,130.962
1781787600000,130.962,131.514,125.124,125.561
1781791200000,125.561,127.874,125.449,127.459
1781794800000,127.459,127.778,126.133,127.365
1781798400000,127.365,128.66,127.352,128.578
1781802000000,128.578,129.401,128.544,128.764
1781805600000,128.764,128.764,127.794,128.222
1781809200000,128.222,129.219,127.792,128.614
1781812800000,128.614,129.018,128.238,128.998
1781816400000,128.998,129.146,128.899,128.907
1781820000000,128.907,128.908,128.553,128.722
1781823600000,128.722,128.79,128.65,128.77
1781827200000,128.77,129.055,128.77,128.971
1781830800000,128.971,129.242,128.849,129.03
1781834400000,129.03,129.051,128.877,128.938
1781838000000,128.938,129.014,128.677,128.798
1781841600000,128.798,128.891,128.387,128.389
1781845200000,128.389,128.724,128.381,128.661
1781848800000,128.661,128.826,128.592,128.642
1781852400000,128.642,128.679,127.994,128.029
1781856000000,128.029,128.35,127.925,128.311
1781859600000,128.311,128.322,128.125,128.191
1781863200000,128.191,128.245,128.062,128.142
1781866800000,128.142,128.345,128.059,128.298
1781870400000,128.298,128.798,128.276,128.798
1781874000000,128.798,128.979,128.608,128.978
1781877600000,128.978,129.011,128.543,128.647
1781881200000,128.647,128.691,128.488,128.593
1781884800000,128.593,128.605,128.404,128.418
1781888400000,128.418,128.537,128.403,128.534
1781892000000,128.534,128.535,128.433,128.438
1781895600000,128.438,128.446,128.382,128.382
1781899200000,128.382,128.54,128.368,128.54
1781902800000,128.54,128.644,128.499,128.566
1781906400000,128.566,128.775,128.528,128.771
1781910000000,128.771,128.982,128.734,128.92
1781913600000,128.92,129.291,128.92,128.939
1781917200000,128.939,129.004,128.684,128.873
1781920800000,128.873,128.982,128.799,128.955
1781924400000,128.955,128.988,128.754,128.849
1781928000000,128.849,129.512,128.849,129.498
1781931600000,129.498,129.784,129.464,129.738
1781935200000,129.738,129.738,129.543,129.577
1781938800000,129.577,129.582,129.504,129.504
1781942400000,129.504,129.507,129.308,129.332
1781946000000,129.332,129.387,129.271,129.387
1781949600000,129.387,129.72,129.366,129.366
1781953200000,129.366,129.366,129.01,129.19
1781956800000,129.19,129.244,128.955,129.035
1781960400000,129.035,129.133,128.818,128.966
1781964000000,128.966,129.406,128.861,129.314
1781967600000,129.314,129.322,129.026,129.064
1781971200000,129.064,129.065,128.897,128.943
1781974800000,128.943,129.13,128.832,128.906
1781978400000,128.906,128.927,128.88,128.919
1781982000000,128.919,129.056,128.918,129.019
1781985600000,129.019,129.019,128.824,128.836
1781989200000,128.836,128.944,128.763,128.804
1781992800000,128.804,129.007,128.795,129.004
1781996400000,129.004,129.004,128.755,128.755
1782000000000,128.755,128.755,128.569,128.569
1782003600000,128.569,128.686,128.498,128.675
1782007200000,128.675,128.713,128.628,128.628
1782010800000,128.628,128.828,128.544,128.828
1782014400000,128.828,128.877,128.795,128.833
1782018000000,128.833,128.833,128.783,128.821
1782021600000,128.821,128.886,128.804,128.879
1782025200000,128.879,129.095,128.851,128.851
1782028800000,128.851,128.851,128.491,128.681
1782032400000,128.681,129.131,128.614,129.106
1782036000000,129.106,129.106,128.88,128.916
1782039600000,128.916,128.916,128.458,128.513
1782043200000,128.513,129.075,128.513,129.075
1782046800000,129.075,129.086,128.839,128.926
1782050400000,128.926,128.974,128.821,128.924
1782054000000,128.924,128.951,128.846,128.851
1782057600000,128.851,128.851,128.661,128.664
1782061200000,128.664,128.668,128.564,128.612
1782064800000,128.612,128.725,128.564,128.719
1782068400000,128.719,128.72,128.644,128.646
1782072000000,128.646,128.65,128.478,128.488
1782075600000,128.488,128.567,128.386,128.505
1782079200000,128.505,128.517,128.06,128.207
1782082800000,128.207,128.208,126.294,126.294
1782086400000,126.294,127.85,126.294,127.131
1782090000000,127.131,127.483,126.921,127.122
1782093600000,127.122,127.205,126.875,126.915
1782097200000,126.915,126.97,126.588,126.657
1782100800000,126.657,126.779,126.505,126.761
1782104400000,126.761,127.187,126.746,127.13
1782108000000,127.13,127.415,127.13,127.375
1782111600000,127.375,127.703,127.047,127.242
1782115200000,127.242,127.669,127.137,127.544
1782118800000,127.544,127.694,127.102,127.117
1782122400000,127.117,127.388,126.747,126.947
1782126000000,126.947,127.308,126.582,126.823
1782129600000,126.823,127.112,126.757,126.967
1782133200000,126.967,128.964,125.239,127.96
1782136800000,127.96,128.475,122.672,123.135
1782140400000,123.135,123.391,122.107,122.183
1782144000000,122.183,122.282,119.877,121.008
1782147600000,121.008,121.352,120.221,120.731
1782151200000,120.731,121.147,119.589,119.751
1782154800000,119.751,120.059,119.312,119.593
1782158400000,119.593,119.837,119.422,119.428
1782162000000,119.428,119.787,119.361,119.684
1782165600000,119.684,119.821,119.299,119.556
1782169200000,119.556,119.642,119.277,119.499
1782172800000,119.499,120.025,119.397,119.897
1782176400000,119.897,119.961,119.049,119.204
1782180000000,119.204,119.256,118.586,118.674
1782183600000,118.674,118.745,117.9,118.505
1782187200000,118.505,118.523,117.713,117.93
1782190800000,117.93,118.217,117.45,117.799
1782194400000,117.799,118.043,117.402,117.518
1782198000000,117.518,118.143,117.384,117.707
1782201600000,117.707,119.334,117.489,118.495
1782205200000,118.495,118.814,118.294,118.73
1782208800000,118.73,119.398,118.61,119.047
1782212400000,119.047,119.577,118.84,119.385
1782216000000,119.385,120.02,118.914,119.896
1782219600000,119.896,120.784,118.838,120.712
1782223200000,120.712,120.712,118,119.135
1782226800000,119.135,119.325,118.095,118.783
1782230400000,118.783,119.234,118.64,118.944
1782234000000,118.944,119.121,117.631,117.764
1782237600000,117.764,118.219,116.392,116.692
1782241200000,116.692,117.04,116.19,116.734
1782244800000,116.734,116.735,116.141,116.723
1782248400000,116.723,116.905,116.56,116.762
1782252000000,116.762,116.774,115.819,116.168
1782255600000,116.168,116.26,115.719,116.12
1782259200000,116.12,116.724,115.787,116.51
1782262800000,116.51,116.51,116.15,116.162
1782266400000,116.162,116.274,115.609,115.705
1782270000000,115.705,116.144,115.526,116.092
1782273600000,116.092,116.446,115.939,116.407
1782277200000,116.407,117.348,116.407,117.038
1782280800000,117.038,117.107,116.857,116.994
1782284400000,116.994,116.995,116.418,116.55
1782288000000,116.55,116.819,115.54,116.15
1782291600000,116.15,116.172,115.363,115.44
1782295200000,115.44,115.845,115.282,115.525
1782298800000,115.525,115.784,114.819,114.991
1782302400000,114.991,115.07,114.074,114.197
1782306000000,114.197,117.719,113.408,116.958
1782309600000,116.958,117.275,115.495,116.805
1782313200000,116.805,116.833,114.031,114.139
1782316800000,114.139,114.323,112.985,113.377
1782320400000,113.377,113.686,112.265,112.39
1782324000000,112.39,114.328,112.387,113.301
1782327600000,113.301,114.219,113.012,113.478
1782331200000,113.478,113.915,112.079,112.761
1782334800000,112.761,113.466,112.754,113.264
1782338400000,113.264,113.768,113.079,113.507
1782342000000,113.507,113.838,113.344,113.76
1782345600000,113.76,114.227,113.214,113.367
1782349200000,113.367,113.7,113.287,113.502
1782352800000,113.502,113.609,113.221,113.269
1782356400000,113.269,113.595,113.244,113.549
1782360000000,113.549,113.569,113.26,113.367
1782363600000,113.367,113.491,113.254,113.356
1782367200000,113.356,113.362,113.159,113.231
1782370800000,113.231,113.37,113.138,113.288
1782374400000,113.288,113.424,112.44,112.556
1782378000000,112.556,112.924,112.48,112.844
1782381600000,112.844,113.05,112.659,112.98
1782385200000,112.98,113.072,112.197,112.276
1782388800000,112.276,112.34,110.911,111.058
1782392400000,111.058,111.862,106.945,107.086
1782396000000,107.086,108.774,107.044,107.14
1782399600000,107.14,107.837,106.39,106.892
1782403200000,106.892,107.898,106.687,107.414
1782406800000,107.414,107.545,106.62,107.26
1782410400000,107.26,108.63,106.908,108.017
1782414000000,108.017,108.077,106.775,107.267
1782417600000,107.267,108.104,107.213,107.572
1782421200000,107.572,107.835,107.49,107.77
1782424800000,107.77,107.85,107.314,107.369
1782428400000,107.369,108.647,107.36,107.935
1782432000000,107.935,108.372,107.78,108.014
1782435600000,108.014,108.13,107.432,107.553
1782439200000,107.553,107.656,106.104,106.275
1782442800000,106.275,106.832,105.929,106.828
1782446400000,106.828,107.034,106.215,106.661
1782450000000,106.661,107.109,106.479,106.802
1782453600000,106.802,107.97,106.652,107.95
1782457200000,107.95,108.56,107.691,108.314
1782460800000,108.314,109.314,108.09,108.587
1782464400000,108.587,109.13,108.456,108.773
1782468000000,108.773,108.854,108.354,108.493
1782471600000,108.493,108.659,107.966,108.648
1782475200000,108.648,109.3,108.577,108.577
1782478800000,108.577,111.273,108.107,110.746
1782482400000,110.746,112.598,110.64,111.797
1782486000000,111.797,114.066,111.745,113.409
1782489600000,113.409,113.933,112.833,113.022
1782493200000,113.022,113.685,112.57,113.172
1782496800000,113.172,113.768,112.281,112.358
1782500400000,113.025,113.344,111.635,113.009
1782504000000,113.009,113.375,112.105,112.555
1782507600000,112.555,112.734,112.135,112.3
1782511200000,112.3,112.65,112.29,112.42
1782514800000,112.42,112.425,112.12,112.125
1782518400000,112.125,112.225,112.125,112.225
1782522000000,112.225,112.225,112.225,112.225
1782525600000,112.225,112.225,112.225,112.225
1782529200000,112.225,112.225,112.225,112.225
1782532800000,112.225,112.225,112.225,112.225
1782536400000,112.225,112.225,112.225,112.225
1782540000000,112.225,112.225,112.225,112.225
1782543600000,112.225,112.225,112.225,112.225
1782547200000,112.225,112.225,112.225,112.225
1782550800000,112.225,112.225,112.225,112.225
1782554400000,112.225,112.225,112.225,112.225
1782558000000,112.225,112.225,112.225,112.225
1782561600000,112.225,112.225,112.225,112.225
1782565200000,112.225,112.225,112.225,112.225
1782568800000,112.225,112.225,112.225,112.225
1782572400000,112.225,112.225,112.225,112.225
1782576000000,112.225,112.225,112.225,112.225
1782579600000,112.225,112.225,112.225,112.225
1782583200000,112.225,112.225,112.225,112.225
1782586800000,112.225,112.225,112.225,112.225
1782590400000,112.225,112.225,112.225,112.225
1782594000000,112.225,112.225,112.225,112.225
1782597600000,112.225,112.225,112.225,112.225
1782601200000,112.225,112.225,112.225,112.225
1782604800000,112.225,112.225,112.225,112.225
1782608400000,112.225,112.225,112.225,112.225
1782612000000,112.225,112.225,112.225,112.225
1782615600000,112.225,112.225,112.225,112.225
1782619200000,112.225,112.225,112.225,112.225
1782622800000,112.225,112.225,112.225,112.225
1782626400000,112.225,112.225,112.225,112.225
1782630000000,112.225,112.225,112.225,112.225
1782633600000,112.225,112.225,112.225,112.225
1782637200000,112.225,112.225,112.225,112.225
1782640800000,112.225,112.225,112.225,112.225
1782644400000,112.225,112.225,112.225,112.225
1782648000000,112.225,112.225,112.225,112.225
1782651600000,112.225,112.225,112.225,112.225
1782655200000,112.225,112.225,112.225,112.225
1782658800000,112.225,112.225,112.225,112.225
1782662400000,112.225,112.225,112.225,112.225
1782666000000,112.225,112.225,112.225,112.225
1782669600000,112.225,112.225,112.225,112.225
1782673200000,112.225,112.225,112.225,112.225
1782676800000,112.225,112.225,112.225,112.225
1782680400000,112.225,112.225,112.225,112.225
1782684000000,112.225,112.225,112.225,112.225
1782687600000,112.225,112.225,112.225,112.225
1782691200000,112.225,114.34,112.225,113.677
1782694800000,113.677,113.825,113.269,113.694
1782698400000,113.694,113.95,113.447,113.89
1782702000000,113.89,114.713,113.859,114.59
1782705600000,114.59,114.731,114.473,114.653
1782709200000,114.653,114.9,114.409,114.659
1782712800000,114.659,114.939,114.637,114.771
1782716400000,114.771,114.823,114.56,114.56
1782720000000,114.56,115.745,113.849,115.174
1782723600000,115.174,115.602,115.014,115.385
1782727200000,115.385,116.12,115.09,115.744
1782730800000,115.744,117.364,115.629,117.034
1782734400000,117.034,118.09,116.489,116.969
1782738000000,116.969,119.015,115.76,118.17
1782741600000,118.17,118.62,116.325,117.7
1782745200000,117.7,117.769,115.319,115.495
1782748800000,115.495,116.034,114.734,115.174
1782752400000,115.174,116.865,115.174,116.63
1782756000000,116.63,116.68,116,116.49
1782759600000,116.49,116.53,115.677,115.68
1782763200000,115.68,115.994,115.4,115.579
1782766800000,115.579,116.45,115.579,116.449
1782770400000,116.449,116.83,116.324,116.49
1782774000000,116.49,116.915,116.489,116.724
1782777600000,116.724,116.725,115.674,116.104
1782781200000,116.104,116.394,115.609,116.37
1782784800000,116.37,116.39,116.049,116.296
1782788400000,116.296,116.674,116.254,116.644
1782792000000,116.644,117.157,116.62,117.034
1782795600000,117.034,117.105,116.475,116.659
1782799200000,116.659,116.825,116.589,116.776
1782802800000,116.776,117.089,116.635,116.65
1782806400000,116.65,116.845,115.9,116.324
1782810000000,116.324,116.364,116.174,116.34
1782813600000,116.34,117.072,116.309,116.809
1782817200000,116.809,117.007,115.935,116.045
1782820800000,116.045,116.155,115.224,115.26
1782824400000,115.26,116.465,114.655,115.825
1782828000000,115.825,116.694,114.775,115
1782831600000,115,117.644,115,116.702
1782835200000,116.702,118.689,116.69,118.454
1782838800000,118.454,118.529,117.512,117.515
1782842400000,117.515,117.734,117.07,117.075
1782846000000,117.075,117.189,116.517,116.65
1782849600000,116.65,118.085,116.334,117.75
1782853200000,117.75,118.05,117.314,117.719
1782856800000,117.719,117.75,117.174,117.364
1782860400000,117.364,117.76,117.159,117.324
1782864000000,117.324,117.625,117.079,117.379
1782867600000,117.379,117.379,116.745,117.1
1782871200000,117.1,117.606,116.928,117.439
1782874800000,117.439,117.629,117.338,117.405
1782878400000,117.405,117.632,117.29,117.504
1782882000000,117.504,117.799,117.45,117.777
1782885600000,117.777,117.849,117.609,117.79
1782889200000,117.79,117.974,117.609,117.76
