t,o,h,l,c
1788526800000,16.5,16.679,16.495,16.62
1788530400000,16.62,16.695,16.51,16.585
1788534000000,16.585,16.715,16.524,16.545
1788537600000,16.545,16.641,16.535,16.576
1788541200000,16.576,16.614,16.533,16.573
1788544800000,16.573,16.732,16.569,16.695
1788548400000,16.695,16.764,16.462,16.58
1788552000000,16.58,16.657,16.565,16.643
1788555600000,16.643,16.653,16.589,16.616
1788559200000,16.616,16.631,16.596,16.624
1788562800000,16.624,16.641,16.601,16.629
1788566400000,16.629,16.63,16.628,16.629
1788570000000,16.629,16.63,16.628,16.629
1788573600000,16.629,16.629,16.619,16.628
1788577200000,16.628,16.628,16.626,16.627
1788580800000,16.627,16.627,16.626,16.627
1788584400000,16.627,16.627,16.627,16.627
1788588000000,16.627,16.653,16.626,16.652
1788591600000,16.652,16.653,16.642,16.642
1788595200000,16.642,16.642,16.64,16.64
1788598800000,16.64,16.64,16.64,16.64
1788602400000,16.64,16.64,16.64,16.64
1788606000000,16.64,16.64,16.62,16.62
1788609600000,16.62,16.621,16.62,16.621
1788613200000,16.621,16.621,16.621,16.621
1788616800000,16.621,16.643,16.564,16.564
1788620400000,16.564,16.565,16.554,16.556
1788624000000,16.556,16.558,16.556,16.557
1788627600000,16.557,16.562,16.556,16.562
1788631200000,16.562,16.588,16.562,16.586
1788634800000,16.586,16.587,16.586,16.586
1788638400000,16.586,16.618,16.586,16.604
1788642000000,16.604,16.612,16.582,16.612
1788645600000,16.612,16.617,16.589,16.614
1788649200000,16.614,16.615,16.614,16.615
1788652800000,16.615,16.615,16.614,16.615
1788656400000,16.615,16.615,16.614,16.614
1788660000000,16.614,16.614,16.614,16.614
1788663600000,16.614,16.614,16.614,16.614
1788667200000,16.614,16.616,16.614,16.615
1788670800000,16.615,16.615,16.614,16.615
1788674400000,16.615,16.641,16.615,16.64
1788678000000,16.64,16.641,16.64,16.64
1788681600000,16.64,16.641,16.615,16.64
1788685200000,16.64,16.64,16.631,16.632
1788688800000,16.632,16.64,16.623,16.631
1788692400000,16.631,16.686,16.631,16.682
1788696000000,16.682,16.684,16.681,16.684
