t,o,h,l,c
1781848800000,735.71,737.65,735.71,737.65
1781852400000,737.65,739.2,737.65,739.2
1781856000000,739.2,739.78,738.96,739.76
1781859600000,739.76,739.83,739.15,739.5
1781863200000,739.5,739.5,737.99,738.46
1781866800000,738.46,738.94,738.03,738.7
1781870400000,738.7,740.23,737.88,740.23
1781874000000,740.23,740.95,739.95,740.94
1781877600000,740.94,741.37,740.57,741.36
1781881200000,741.36,741.54,740.61,741.11
1781884800000,741.11,741.46,740.47,740.47
1781888400000,740.47,740.73,739.94,740.08
1781892000000,740.08,740.09,739.69,739.71
1781895600000,739.71,739.96,739.49,739.53
1781899200000,739.53,740.33,739.45,739.48
1781902800000,739.48,739.48,739.07,739.07
1781906400000,739.07,739.54,738.75,739.43
1781910000000,739.43,741.8,739.19,741.4
1781913600000,741.4,741.59,740.72,740.88
1781917200000,740.88,741.05,740.66,740.89
1781920800000,740.89,741.68,740.61,741.68
1781924400000,741.68,742.09,741.61,742.05
1781928000000,742.05,742.75,742.05,742.72
1781931600000,742.72,743.87,742.63,743.5
1781935200000,743.5,743.5,742.95,743.37
1781938800000,743.37,743.37,742.42,742.42
1781942400000,742.42,743.14,742.33,742.42
1781946000000,742.42,742.73,742.27,742.65
1781949600000,742.65,742.66,741.67,742.12
1781953200000,742.12,742.23,742.02,742.23
1781956800000,742.23,742.31,741.47,742.06
1781960400000,742.06,742.52,740.18,740.19
1781964000000,740.19,741.79,739.45,741.43
1781967600000,741.43,741.81,740.82,741.09
1781971200000,741.09,741.09,740.25,740.31
1781974800000,740.31,740.39,740.29,740.33
1781978400000,740.33,740.39,740.25,740.33
1781982000000,740.33,740.87,740.32,740.52
1781985600000,740.52,740.54,740.34,740.34
1781989200000,740.34,741.32,740.34,741.09
1781992800000,741.09,741.93,740.98,741.89
1781996400000,741.89,741.92,740.64,740.64
1782000000000,740.64,740.7,739.83,740.29
1782003600000,740.29,740.33,739.98,739.98
1782007200000,739.98,740.01,739.54,739.63
1782010800000,739.63,740.78,739.61,740.75
1782014400000,740.75,740.96,740.28,740.7
1782018000000,740.7,741.09,740.69,741.04
1782021600000,741.04,741.54,740.79,741.4
1782025200000,741.4,742.54,741.22,741.3
1782028800000,741.3,741.59,740.39,740.96
1782032400000,740.96,742.09,740.5,741.63
1782036000000,741.63,742.11,741.14,741.84
1782039600000,741.84,741.84,740.94,740.94
1782043200000,740.94,741.08,740.79,741.08
1782046800000,741.08,741.36,741.03,741.03
1782050400000,741.03,741.03,740.49,740.8
1782054000000,740.8,741.24,740.8,741.12
1782057600000,741.12,741.18,740.47,740.47
1782061200000,740.47,740.49,739.66,739.71
1782064800000,739.71,739.78,739.49,739.75
1782068400000,739.75,740.48,739.38,739.57
1782072000000,739.57,739.61,738.43,738.43
1782075600000,738.43,739.15,738.29,738.76
1782079200000,738.76,739.37,737.27,738.16
1782082800000,738.16,738.16,734.36,734.38
1782086400000,734.38,739.24,731.5,739.03
1782090000000,739.03,739.96,738.42,738.45
1782093600000,738.45,738.69,737.45,737.48
1782097200000,737.48,738.19,736.61,736.82
1782100800000,736.82,737.21,735.76,736.82
1782104400000,736.82,738.57,736.62,738.22
1782108000000,738.22,740.62,738.16,740.56
1782111600000,740.56,741.55,740.52,741.2
1782115200000,741.2,741.23,739.28,740.32
1782118800000,740.32,740.95,739.66,739.66
1782122400000,739.66,741.27,739.66,740.22
1782126000000,740.22,742.64,739.99,741.02
1782129600000,741.02,743.15,740.97,742.13
1782133200000,742.13,745.33,741.1,745.28
1782136800000,745.28,746.03,736.15,738.4
1782140400000,738.4,739.3,736.18,736.49
1782144000000,736.49,737.91,735.28,737.24
1782147600000,737.24,738.71,735.89,737.91
1782151200000,737.91,739,736.19,736.33
1782154800000,736.33,738.8,735.82,738.8
1782158400000,738.8,739.16,738.2,738.68
1782162000000,738.68,738.68,738.18,738.37
1782165600000,738.37,739.44,736.54,736.86
1782169200000,736.86,736.99,735.86,736.61
1782172800000,736.61,738.12,734.13,737.34
1782176400000,737.34,737.72,732.81,734.06
1782180000000,734.06,734.35,732.33,732.65
1782183600000,732.65,732.74,730.15,732.48
1782187200000,732.48,732.79,728.46,728.51
1782190800000,728.51,729.19,725.13,725.48
1782194400000,725.48,726.05,721.66,722.07
1782198000000,722.07,724.23,720.21,720.62
1782201600000,720.62,720.73,717.48,718.86
1782205200000,718.86,721.5,718.82,720.31
1782208800000,720.31,721.04,717.08,718.62
1782212400000,718.62,720.51,717.98,720.3
1782216000000,720.3,720.94,716,716.68
1782219600000,716.68,721.38,713.76,721.35
1782223200000,721.35,724.14,718.49,719.27
1782226800000,719.27,720.11,715.75,717.98
1782230400000,717.98,720.75,717.89,719.63
1782234000000,719.63,720.26,716.43,716.43
1782237600000,716.43,717.48,712.69,713.82
1782241200000,713.82,716.76,713.53,714.4
1782244800000,714.4,717.02,714,716.9
1782248400000,716.9,717.76,716.72,717.71
1782252000000,717.71,718.22,713.98,715.09
1782255600000,715.09,716.92,712.94,716.54
1782259200000,716.54,720.07,716.1,719.09
1782262800000,719.09,719.11,717.07,718.54
1782266400000,718.54,718.8,713.96,714.04
1782270000000,714.04,717.35,713.57,716.57
1782273600000,716.57,717.6,714.39,717.54
1782277200000,717.54,720.03,717.43,718.46
1782280800000,718.46,719.63,718.03,718.65
1782284400000,718.65,719.01,717.26,717.4
1782288000000,717.4,719.62,717.16,718.44
1782291600000,718.44,719.05,717.1,718.13
1782295200000,718.13,719.33,717.47,718.02
