t,o,h,l,c
1788526800000,15.16,15.294,15.14,15.214
1788530400000,15.214,15.315,15.125,15.185
1788534000000,15.185,15.304,15.164,15.226
1788537600000,15.226,15.295,15.157,15.23
1788541200000,15.23,15.23,15.144,15.176
1788544800000,15.176,15.295,15.174,15.25
1788548400000,15.25,15.325,15.056,15.212
1788552000000,15.212,15.24,15.194,15.231
1788555600000,15.231,15.251,15.209,15.246
1788559200000,15.246,15.265,15.208,15.219
1788562800000,15.219,15.235,15.2,15.226
1788566400000,15.226,15.254,15.225,15.237
1788570000000,15.237,15.238,15.235,15.236
1788573600000,15.236,15.236,15.226,15.233
1788577200000,15.233,15.234,15.224,15.224
1788580800000,15.224,15.224,15.221,15.221
1788584400000,15.221,15.242,15.216,15.22
1788588000000,15.22,15.24,15.219,15.221
1788591600000,15.221,15.221,15.216,15.219
1788595200000,15.219,15.225,15.219,15.225
1788598800000,15.225,15.225,15.222,15.222
1788602400000,15.222,15.222,15.22,15.22
1788606000000,15.22,15.22,15.216,15.217
1788609600000,15.217,15.217,15.216,15.216
1788613200000,15.216,15.217,15.208,15.209
1788616800000,15.209,15.217,15.209,15.215
1788620400000,15.215,15.24,15.194,15.24
1788624000000,15.24,15.241,15.235,15.237
1788627600000,15.237,15.237,15.236,15.236
1788631200000,15.236,15.244,15.222,15.222
1788634800000,15.222,15.244,15.221,15.236
1788638400000,15.236,15.236,15.223,15.223
1788642000000,15.223,15.269,15.222,15.268
1788645600000,15.268,15.269,15.229,15.23
1788649200000,15.23,15.253,15.23,15.241
1788652800000,15.241,15.243,15.24,15.24
1788656400000,15.24,15.249,15.23,15.239
1788660000000,15.239,15.268,15.239,15.262
1788663600000,15.262,15.263,15.256,15.256
1788667200000,15.256,15.256,15.237,15.253
1788670800000,15.253,15.302,15.253,15.302
1788674400000,15.302,15.303,15.274,15.292
1788678000000,15.292,15.292,15.285,15.286
1788681600000,15.286,15.296,15.281,15.296
1788685200000,15.296,15.3,15.281,15.287
1788688800000,15.287,15.289,15.285,15.286
1788692400000,15.286,15.286,15.28,15.28
1788696000000,15.28,15.281,15.265,15.277
