t,o,h,l,c
1781848800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781852400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781856000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781859600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781863200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781866800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781870400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781874000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781877600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781881200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781884800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781888400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781892000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781895600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781899200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781902800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781906400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781910000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781913600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781917200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781920800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781924400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781928000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781931600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781935200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781938800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781942400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781946000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781949600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781953200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781956800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781960400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781964000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781967600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781971200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781974800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781978400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781982000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781985600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781989200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781992800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1781996400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782000000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782003600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782007200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782010800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782014400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782018000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782021600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782025200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782028800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782032400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782036000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782039600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782043200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782046800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782050400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782054000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782057600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782061200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782064800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782068400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782072000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782075600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782079200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782082800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782086400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782090000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782093600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782097200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782100800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782104400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782108000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782111600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782115200000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782118800000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782122400000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782126000000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782129600000,100.58999633789062,100.58999633789062,100.58999633789062,100.58999633789062
1782133200000,100.58999633789062,100.5999984741211,100.58999633789062,100.5999984741211
1782136800000,100.5999984741211,100.5999984741211,100.58999633789062,100.5999984741211
1782140400000,100.5999984741211,100.5999984741211,100.58999633789062,100.5999984741211
1782144000000,100.5999984741211,100.5999984741211,100.58999633789062,100.5999984741211
1782147600000,100.5999984741211,100.5999984741211,100.58999633789062,100.5999984741211
1782151200000,100.5999984741211,100.5999984741211,100.58999633789062,100.5999984741211
1782154800000,100.5999984741211,100.5999984741211,100.58999633789062,100.59500122070312
1782158400000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782162000000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782165600000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782169200000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782172800000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782176400000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782180000000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782183600000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782187200000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782190800000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782194400000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782198000000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782201600000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782205200000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782208800000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782212400000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782216000000,100.59500122070312,100.59500122070312,100.59500122070312,100.59500122070312
1782219600000,100.59500122070312,100.61000061035156,100.59500122070312,100.60990142822266
1782223200000,100.60990142822266,100.61000061035156,100.5999984741211,100.60379791259766
1782226800000,100.60379791259766,100.61000061035156,100.5999984741211,100.6050033569336
1782230400000,100.6050033569336,100.61000061035156,100.5999984741211,100.60990142822266
1782234000000,100.60990142822266,100.61000061035156,100.5999984741211,100.5999984741211
1782237600000,100.5999984741211,100.61000061035156,100.5999984741211,100.60009765625
1782241200000,100.60009765625,100.61000061035156,100.5999984741211,100.61000061035156
1782244800000,100.61000061035156,100.61000061035156,100.61000061035156,100.61000061035156
1782248400000,100.61000061035156,100.61000061035156,100.61000061035156,100.61000061035156
1782252000000,100.61000061035156,100.61000061035156,100.61000061035156,100.61000061035156
1782255600000,100.61000061035156,100.61000061035156,100.61000061035156,100.61000061035156
1782259200000,100.61000061035156,100.61000061035156,100.61000061035156,100.61000061035156
