t,o,h,l,c
1783958400000,154.79,155.33,154.19,155.29
1783962000000,155.29,157.45,154.99,156.83
1783965600000,156.83,158.19,152.94,153.33
1783969200000,153.33,154.95,151.38,153.34
1783972800000,153.34,153.35,151.96,152.5
1783976400000,152.5,152.58,152.24,152.32
1783980000000,152.32,153,152.17,152.61
1783983600000,152.61,152.77,149.48,152.66
1783987200000,152.66,158.54,150.25,158.51
1783990800000,158.51,160.51,155.22,155.44
1783994400000,155.44,155.7,150.79,152.63
1783998000000,152.63,156.07,149.63,153.55
1784001600000,153.55,159.56,151.75,159.32
1784005200000,159.32,164.94,157.9,161.27
1784008800000,161.27,163.37,161.27,163.08
1784012400000,163.08,164.95,162.07,162.4
1784016000000,162.4,163.18,160.69,162.2
1784019600000,162.2,162.57,161.9,162.33
1784023200000,162.33,163.13,162.11,162.92
1784026800000,162.92,162.95,161.37,162.36
1784030400000,162.36,165.93,160.57,164.4
1784034000000,164.4,172.67,164.35,170.23
1784037600000,170.23,175.49,165.45,174.56
1784041200000,174.56,182.43,174.21,178.41
1784044800000,178.41,187.31,177.94,182.34
1784048400000,182.34,186.42,181.98,183.68
1784052000000,183.68,189.56,183.32,186.2
1784055600000,186.2,194.12,184.31,193.76
1784059200000,193.76,195.21,189.07,189.58
1784062800000,189.58,189.58,181.61,182.42
1784066400000,182.42,186.52,181.53,186.32
1784070000000,186.32,187.61,184.96,185.83
1784073600000,185.83,195.1,185.47,191.84
1784077200000,191.84,191.85,186.3,188.53
1784080800000,188.53,190.24,187.53,187.59
1784084400000,187.59,191.27,187.32,190.8
1784088000000,190.8,192.01,188.18,189.6
1784091600000,189.6,190.34,185.79,187.82
1784095200000,187.82,188.56,186.66,187.23
1784098800000,187.23,188.17,183.04,184.78
1784102400000,184.78,185.46,181.4,182.47
1784106000000,182.47,183.31,180.52,181.1
1784109600000,181.1,182.92,179.93,182.1
1784113200000,182.1,183.2,181.44,182.09
1784116800000,182.09,182.2,178.43,178.99
1784120400000,178.99,184.85,176.09,183.8
1784124000000,183.8,187.59,171.23,174.75
1784127600000,174.75,176.21,170.42,171.2
1784131200000,171.2,172.95,166.44,172.77
1784134800000,172.77,175.96,172.74,175.84
1784138400000,175.84,180.63,174.3,175.29
1784142000000,175.29,176.87,172.79,176.34
1784145600000,176.34,176.46,173.31,173.96
1784149200000,173.96,174.21,172.7,173.05
1784152800000,173.05,173.44,170.19,171.4
1784156400000,171.4,171.71,169.51,169.87
1784160000000,169.87,172.58,166.44,166.88
1784163600000,166.88,170.46,165.21,168.82
