t,o,h,l,c
1788526800000,38.879,39.079,38.53,39
1788530400000,39,39.689,38.96,39.265
1788534000000,39.265,39.975,39.265,39.975
1788537600000,39.975,40.876,39.934,40.649
1788541200000,40.649,40.881,40.369,40.64
1788544800000,40.64,40.64,39.815,39.819
1788548400000,39.819,39.847,39.232,39.567
1788552000000,39.567,39.643,39.459,39.519
1788555600000,39.519,39.55,39.506,39.54
1788559200000,39.54,39.554,39.534,39.535
1788562800000,39.535,39.561,39.497,39.536
1788566400000,39.536,39.576,39.536,39.574
1788570000000,39.574,39.587,39.545,39.55
1788573600000,39.55,39.632,39.512,39.629
1788577200000,39.629,39.644,39.544,39.56
1788580800000,39.56,39.616,39.532,39.557
1788584400000,39.557,39.803,39.553,39.756
1788588000000,39.756,39.763,39.671,39.682
1788591600000,39.682,39.684,39.591,39.598
1788595200000,39.598,39.713,39.567,39.603
1788598800000,39.603,39.661,39.585,39.585
1788602400000,39.585,39.64,39.575,39.624
1788606000000,39.624,39.718,39.615,39.702
1788609600000,39.702,39.777,39.701,39.765
1788613200000,39.765,39.809,39.747,39.786
1788616800000,39.786,39.816,39.729,39.76
1788620400000,39.76,39.857,39.759,39.797
1788624000000,39.797,39.84,39.771,39.839
1788627600000,39.839,39.877,39.825,39.877
1788631200000,39.877,39.924,39.817,39.844
1788634800000,39.844,39.844,39.776,39.776
1788638400000,39.776,39.835,39.763,39.774
1788642000000,39.774,39.822,39.758,39.761
1788645600000,39.761,39.801,39.724,39.745
1788649200000,39.745,39.765,39.711,39.711
1788652800000,39.711,39.763,39.71,39.751
1788656400000,39.751,39.828,39.751,39.797
1788660000000,39.797,39.817,39.785,39.811
1788663600000,39.811,39.856,39.766,39.852
1788667200000,39.852,39.857,39.789,39.824
1788670800000,39.824,39.915,39.814,39.902
1788674400000,39.902,40,39.892,39.99
1788678000000,39.99,40.006,39.914,39.989
1788681600000,39.989,40.057,39.988,40.012
1788685200000,40.012,40.059,40.011,40.059
1788688800000,40.059,40.211,40.059,40.196
1788692400000,40.196,40.24,40.187,40.237
1788696000000,40.237,40.329,40.237,40.303
1788699600000,40.303,40.339,40.191,40.274
1788703200000,40.274,40.277,39.999,40.069
1788706800000,40.069,40.173,40.021,40.166
1788710400000,40.166,40.197,40.165,40.192
1788714000000,40.192,40.288,40.192,40.284
1788717600000,40.284,40.333,40.215,40.247
1788721200000,40.247,40.447,40.247,40.272
1788724800000,40.272,40.277,40.209,40.237
1788728400000,40.237,40.25,40.15,40.174
1788732000000,40.174,40.189,40.129,40.138
1788735600000,40.138,40.149,40.017,40.076
1788739200000,40.076,40.115,39.737,39.761
1788742800000,39.761,39.984,39.761,39.984
1788746400000,39.984,40.445,39.984,40.445
1788750000000,40.445,40.777,40.445,40.771
1788753600000,40.771,40.915,40.566,40.608
1788757200000,40.608,40.619,40.46,40.46
1788760800000,40.46,40.617,40.448,40.617
1788764400000,40.617,40.621,40.035,40.134
1788768000000,40.134,40.263,40.126,40.263
1788771600000,40.263,40.296,39.989,39.989
1788775200000,39.989,39.991,39.956,39.956
1788778800000,39.956,39.957,39.814,39.814
1788782400000,39.814,39.822,39.665,39.699
1788786000000,39.699,39.889,39.691,39.876
1788789600000,39.876,39.883,39.645,39.646
1788793200000,39.646,39.646,39.455,39.455
1788796800000,39.455,39.536,39.436,39.501
1788800400000,39.501,39.55,39.482,39.537
1788804000000,39.537,39.552,39.48,39.497
1788807600000,39.497,39.543,39.495,39.503
1788811200000,39.503,39.524,39.454,39.484
1788814800000,39.484,39.545,39.456,39.511
1788818400000,39.511,39.525,39.436,39.444
1788822000000,39.444,39.589,39.401,39.531
1788825600000,39.531,40.097,39.52,39.871
1788829200000,39.871,39.966,39.738,39.916
1788832800000,39.916,39.96,39.79,39.796
1788836400000,39.796,40.07,39.794,40.06
1788840000000,40.06,40.119,39.958,40.01
1788843600000,40.01,40.015,39.574,39.64
1788847200000,39.64,39.648,39.317,39.509
1788850800000,39.509,39.622,39.365,39.414
1788854400000,39.414,39.548,39.014,39.288
1788858000000,39.288,39.724,39.277,39.707
1788861600000,39.707,39.756,39.565,39.655
1788865200000,39.655,39.748,39.465,39.665
1788868800000,39.665,39.909,39.574,39.89
1788872400000,39.89,41.244,39.61,40.854
1788876000000,40.854,41.39,40.624,41.214
1788879600000,41.214,41.524,40.782,40.851
1788883200000,40.851,40.867,40.464,40.49
1788886800000,40.49,40.974,40.49,40.59
1788890400000,40.59,40.75,40.407,40.445
1788894000000,40.445,41.077,40.238,40.257
1788897600000,40.257,40.257,39.935,40.226
1788901200000,40.226,40.247,40.194,40.196
1788904800000,40.196,40.248,40.145,40.204
1788908400000,40.204,40.271,40.134,40.157
1788912000000,40.157,40.358,40.148,40.31
1788915600000,40.31,40.412,40.288,40.365
1788919200000,40.365,40.513,40.332,40.436
1788922800000,40.436,40.454,40.252,40.275
1788926400000,40.275,40.447,40.24,40.402
1788930000000,40.402,40.454,40.28,40.441
1788933600000,40.441,40.474,40.332,40.332
1788937200000,40.332,40.435,40.301,40.322
1788940800000,40.322,40.443,40.299,40.32
1788944400000,40.32,40.374,39.597,39.601
1788948000000,39.601,39.869,39.534,39.75
1788951600000,39.75,39.843,39.557,39.784
1788955200000,39.784,39.796,39.52,39.653
1788958800000,39.653,40.065,39.325,39.852
1788962400000,39.852,40.197,39.585,39.884
1788966000000,39.884,40.019,39.035,39.206
1788969600000,39.206,39.604,39.135,39.536
1788973200000,39.536,39.542,38.935,39.195
1788976800000,39.195,39.237,38.944,39.13
1788980400000,39.13,39.275,38.844,38.9
1788984000000,38.9,38.952,38.73,38.806
1788987600000,38.806,38.852,38.765,38.8
1788991200000,38.8,38.842,38.714,38.715
1788994800000,38.715,38.851,38.715,38.829
1788998400000,38.829,38.927,38.56,38.59
1789002000000,38.59,38.682,38.429,38.551
1789005600000,38.551,38.747,38.548,38.715
1789009200000,38.715,38.812,38.552,38.642
1789012800000,38.642,38.869,38.626,38.859
1789016400000,38.859,38.945,38.795,38.909
1789020000000,38.909,38.927,38.74,38.753
1789023600000,38.753,38.782,38.617,38.748
1789027200000,38.748,38.748,38.495,38.497
1789030800000,38.497,38.609,38.376,38.461
1789034400000,38.461,38.6,38.435,38.574
1789038000000,38.574,38.598,38.129,38.18
1789041600000,38.18,38.23,37.747,37.747
1789045200000,37.747,39.217,37.517,39.179
