t,o,h,l,c
1781499600000,2077.98,2084.36,2074.32,2075.1
1781503200000,2075.1,2081.96,2075.1,2079.08
1781506800000,2079.08,2091.62,2076.06,2086.91
1781510400000,2086.91,2097.04,2077.39,2090.1
1781514000000,2090.1,2093.19,2076.92,2082.22
1781517600000,2082.22,2090.38,2079.2,2084.49
1781521200000,2084.49,2125.06,2084.49,2107.79
1781524800000,2107.79,2113.24,2086.49,2087.85
1781528400000,2087.85,2117.82,2024.48,2026.8
1781532000000,2026.8,2102.11,2024.19,2089.67
1781535600000,2089.67,2116.44,2087.94,2107.23
1781539200000,2107.23,2114.72,2100.65,2103.9
1781542800000,2103.9,2110.54,2086.54,2102.77
1781546400000,2102.77,2109.1,2090.07,2090.52
1781550000000,2090.52,2109.38,2082.71,2108.57
1781553600000,2108.57,2120.23,2096.5,2103.67
1781557200000,2103.67,2105.55,2101.16,2103
1781560800000,2103,2103.88,2094.09,2096.91
1781564400000,2096.91,2105,2094.18,2103.22
1781568000000,2103.22,2105.37,2067,2070.29
1781571600000,2070.29,2087.73,2066.5,2084.11
1781575200000,2084.11,2085.06,2076.4,2080.63
1781578800000,2080.63,2097.89,2079.92,2092.09
1781582400000,2092.09,2117.87,2086.65,2111.54
1781586000000,2111.54,2114.61,2098.08,2098.54
1781589600000,2098.54,2111.8,2096.28,2107.07
1781593200000,2107.07,2109.9,2101.32,2106.67
1781596800000,2106.67,2147.51,2102.92,2147.39
1781600400000,2147.39,2148.5,2136.25,2137.96
1781604000000,2137.96,2164.89,2137.69,2154.27
1781607600000,2154.27,2166.92,2146.89,2152.03
1781611200000,2152.03,2153.04,2124.7,2125.55
1781614800000,2125.55,2166.19,2100.45,2103.53
1781618400000,2103.53,2123.8,2045.64,2050.78
1781622000000,2050.78,2065.02,1994.1,2021.91
1781625600000,2021.91,2072.57,2021.78,2039.02
1781629200000,2039.02,2046.72,2020.72,2036.03
1781632800000,2036.03,2039.9,2003.89,2008.86
1781636400000,2008.86,2039.78,1981.15,1993.39
1781640000000,1993.39,2018.11,1992.62,2013.14
1781643600000,2013.14,2023.76,2009.96,2021.53
1781647200000,2021.53,2033.92,2018.25,2026.23
1781650800000,2026.23,2026.56,2017.33,2019.54
1781654400000,2019.54,2055.41,2019.54,2038.72
1781658000000,2038.72,2043.69,2027.64,2039.67
1781661600000,2039.67,2051.64,2036.12,2043.16
1781665200000,2043.16,2044.07,2033.19,2041.69
1781668800000,2041.69,2047.44,2037.35,2045.14
1781672400000,2045.14,2065.07,2044.64,2056.16
1781676000000,2056.16,2066.33,2050.85,2055.11
1781679600000,2055.11,2061,2050.36,2057.09
1781683200000,2057.09,2072.64,2040.1,2049.39
1781686800000,2049.39,2052.71,2043.1,2045.8
1781690400000,2045.8,2047.78,2036.26,2041.77
1781694000000,2041.77,2049.01,2024.83,2029.74
1781697600000,2029.74,2066.94,2029.74,2058.27
1781701200000,2058.27,2077.66,1964.08,1967.77
1781704800000,1967.77,1997.73,1942.38,1954.33
1781708400000,1954.33,2003.6,1950.28,1992.54
1781712000000,1992.54,2008.71,1985.73,1996.56
1781715600000,1996.56,2020.66,1994.2,2018
1781719200000,2018,2053.97,1970,2016.32
1781722800000,2016.32,2033.67,1948.01,1963.75
1781726400000,1963.75,1992.61,1962.94,1986.13
1781730000000,1986.13,1995.09,1985.55,1989
1781733600000,1989,2005.19,1984.41,2002.7
1781737200000,2002.7,2019.88,2002.7,2012.34
1781740800000,2012.34,2028.45,2009.91,2011.71
1781744400000,2011.71,2022.58,2011.49,2019.56
1781748000000,2019.56,2020.6,2017.41,2019.97
1781751600000,2019.97,2035.06,2019.73,2030.89
1781755200000,2030.89,2034.98,2020.41,2025.08
1781758800000,2025.08,2034.47,2020.78,2033.13
1781762400000,2033.13,2034.26,2025.84,2033.33
1781766000000,2033.33,2040.01,2032.09,2037.46
1781769600000,2037.46,2045.12,2031.19,2032.78
1781773200000,2032.78,2046.76,2032.78,2046.05
1781776800000,2046.05,2046.05,2033.31,2035.6
1781780400000,2035.6,2046.85,2030.47,2040.35
1781784000000,2040.35,2058.32,2034.68,2052.97
1781787600000,2052.97,2125.98,2031.35,2120.8
1781791200000,2120.8,2188.42,2120.79,2164.9
1781794800000,2164.9,2183.71,2157.15,2171.81
1781798400000,2171.81,2186.43,2157.54,2172.21
1781802000000,2172.21,2182.04,2162,2175.06
1781805600000,2175.06,2191.45,2155.03,2160.88
1781809200000,2160.88,2190.27,2156.18,2184.34
1781812800000,2184.34,2209.28,2182.8,2204.27
1781816400000,2204.27,2212.57,2199.49,2211.17
1781820000000,2211.17,2219.01,2198.87,2202.51
1781823600000,2202.51,2211.57,2200.93,2210.18
1781827200000,2210.18,2212.17,2201.75,2205.33
1781830800000,2205.33,2208.32,2202.29,2203.62
1781834400000,2203.62,2211.91,2203.43,2211.91
1781838000000,2211.91,2214.73,2190.61,2190.61
1781841600000,2190.61,2190.61,2168.09,2168.35
1781845200000,2168.35,2186.57,2162.75,2184.53
1781848800000,2184.53,2194.72,2183.07,2188.54
1781852400000,2188.54,2192.58,2184.3,2190.39
1781856000000,2190.39,2193.44,2189.97,2193.22
1781859600000,2193.22,2193.48,2185.2,2185.21
1781863200000,2185.21,2185.21,2179.6,2181.62
1781866800000,2181.62,2192.21,2179.72,2191.55
1781870400000,2191.55,2208.71,2182.48,2206.08
1781874000000,2206.08,2208.12,2193.74,2197.56
1781877600000,2197.56,2203.25,2195,2196.73
1781881200000,2196.73,2200.37,2195.49,2197.92
1781884800000,2197.92,2200.83,2195.41,2195.41
1781888400000,2195.41,2205.41,2195.39,2205.12
1781892000000,2205.12,2205.31,2200.29,2200.64
1781895600000,2200.64,2200.86,2197.5,2199.16
1781899200000,2199.16,2201.13,2197,2201.13
1781902800000,2201.13,2205.87,2200.74,2204.24
1781906400000,2204.24,2213.03,2203.65,2213.03
1781910000000,2213.03,2216.21,2211.36,2212.14
1781913600000,2212.14,2212.86,2207.9,2211.65
1781917200000,2211.65,2211.65,2206.88,2207.79
1781920800000,2207.79,2208.93,2205.4,2208.16
1781924400000,2208.16,2212.34,2208.16,2212.34
1781928000000,2212.34,2217.38,2212.34,2215.32
1781931600000,2215.32,2219.99,2212.31,2219.99
1781935200000,2219.99,2234.83,2218.64,2229.58
1781938800000,2229.58,2230.52,2225.05,2227.91
1781942400000,2227.91,2231.32,2225.52,2229.35
1781946000000,2229.35,2231.84,2225.36,2231
1781949600000,2231,2231.33,2222.59,2222.76
1781953200000,2222.76,2227.89,2221.37,2226.29
1781956800000,2226.29,2226.52,2222.95,2224.54
1781960400000,2224.54,2225.74,2220.82,2221.32
1781964000000,2221.32,2228.16,2215.87,2226.82
1781967600000,2226.82,2228.39,2222.08,2222.87
1781971200000,2222.87,2226.56,2220.64,2224.34
1781974800000,2224.34,2224.36,2218.22,2218.32
1781978400000,2218.32,2220.39,2218.31,2220.01
1781982000000,2220.01,2221.5,2219.33,2219.54
1781985600000,2219.54,2224.66,2219.54,2221.65
1781989200000,2221.65,2225.93,2220.54,2225.48
1781992800000,2225.48,2228.78,2217.37,2226.14
1781996400000,2226.14,2231.25,2224.6,2229.9
1782000000000,2229.9,2229.9,2226.53,2228.36
1782003600000,2228.36,2228.36,2226.56,2227.8
1782007200000,2227.8,2229.63,2226.72,2229.25
1782010800000,2229.25,2229.54,2226.76,2229.12
1782014400000,2229.12,2229.78,2225.57,2228
1782018000000,2228,2229.54,2226.15,2229.21
1782021600000,2229.21,2231.52,2229.08,2229.08
1782025200000,2229.08,2230.79,2228.59,2230.1
1782028800000,2230.1,2231.61,2229.38,2229.55
1782032400000,2229.55,2230.33,2224.04,2224.79
1782036000000,2224.79,2228.12,2224.33,2227.76
1782039600000,2227.76,2230.55,2227.64,2228.86
1782043200000,2228.86,2229.26,2224.61,2227.39
1782046800000,2227.39,2230.05,2220.11,2220.27
1782050400000,2220.27,2226.54,2220.18,2223.49
1782054000000,2223.49,2228.16,2222.74,2227.63
1782057600000,2227.63,2227.63,2222.07,2226.19
1782061200000,2226.19,2227.56,2223.35,2223.35
1782064800000,2223.35,2223.35,2208.14,2208.37
1782068400000,2208.37,2214.85,2207.57,2214.26
1782072000000,2214.26,2215.27,2208.78,2209.37
1782075600000,2209.37,2209.37,2199.93,2202.63
1782079200000,2202.63,2210.35,2198.56,2210.35
1782082800000,2210.35,2210.38,2188.21,2191.06
1782086400000,2191.06,2255.27,2178.77,2253.93
1782090000000,2253.93,2266.89,2240.15,2247.16
1782093600000,2247.16,2250.48,2239.78,2243.55
1782097200000,2243.55,2256.2,2232,2247.63
1782100800000,2247.63,2249.92,2223.51,2232.08
1782104400000,2232.08,2243.84,2232.08,2240.43
1782108000000,2240.43,2259.29,2240.33,2258.31
1782111600000,2258.31,2266.2,2257.47,2263.86
1782115200000,2263.86,2268.12,2253.23,2263.4
1782118800000,2263.4,2266.03,2259.35,2265.93
1782122400000,2265.93,2277.94,2265.12,2271.4
1782126000000,2271.4,2288.3,2265.19,2265.37
1782129600000,2265.37,2278.46,2258.98,2275.73
1782133200000,2275.73,2319.97,2254.12,2279.1
1782136800000,2279.1,2334.68,2274.86,2324.52
1782140400000,2324.52,2353.12,2286.24,2298.63
1782144000000,2298.63,2324.43,2293.23,2304.39
1782147600000,2304.39,2328.99,2300.03,2322.42
1782151200000,2322.42,2333.85,2309.64,2316.29
1782154800000,2316.29,2328.45,2270.31,2276.79
1782158400000,2276.79,2294.92,2261.09,2294.92
1782162000000,2294.92,2294.93,2266.65,2280.27
1782165600000,2280.27,2282.61,2258.35,2264.17
1782169200000,2264.17,2267.09,2257.2,2266.37
1782172800000,2266.37,2280.88,2215.56,2234.92
1782176400000,2234.92,2241.03,2187.8,2195.27
1782180000000,2195.27,2216.91,2167.95,2190.43
1782183600000,2190.43,2192.1,2149.4,2184.93
1782187200000,2184.93,2188.18,2153.41,2154.05
1782190800000,2154.05,2159.74,2096.29,2100.66
1782194400000,2100.66,2127.95,2077.89,2112.57
1782198000000,2112.57,2153.87,2106.04,2107.49
1782201600000,2107.49,2120.79,2042.87,2065.25
