t,o,h,l,c
1788526800000,18.085,18.145,18.024,18.114
1788530400000,18.114,18.175,18.005,18.094
1788534000000,18.094,18.195,18.085,18.144
1788537600000,18.144,18.236,18.144,18.216
1788541200000,18.216,18.252,18.153,18.205
1788544800000,18.205,18.345,18.195,18.208
1788548400000,18.208,18.258,18.183,18.236
1788552000000,18.236,18.258,18.225,18.24
1788555600000,18.24,18.255,18.085,18.169
1788559200000,18.169,18.183,18.149,18.181
1788562800000,18.181,18.195,18.179,18.187
1788566400000,18.187,18.192,18.187,18.192
1788570000000,18.192,18.192,18.174,18.174
1788573600000,18.174,18.191,18.155,18.19
1788577200000,18.19,18.208,18.168,18.172
1788580800000,18.172,18.203,18.172,18.2
1788584400000,18.2,18.2,18.191,18.192
1788588000000,18.192,18.2,18.184,18.189
1788591600000,18.189,18.201,18.189,18.199
1788595200000,18.199,18.199,18.194,18.195
1788598800000,18.195,18.195,18.193,18.193
1788602400000,18.193,18.207,18.193,18.207
1788606000000,18.207,18.217,18.206,18.216
1788609600000,18.216,18.233,18.208,18.229
1788613200000,18.229,18.229,18.21,18.217
1788616800000,18.217,18.218,18.215,18.217
1788620400000,18.217,18.219,18.216,18.219
1788624000000,18.219,18.219,18.21,18.211
1788627600000,18.211,18.231,18.211,18.222
1788631200000,18.222,18.222,18.218,18.219
1788634800000,18.219,18.221,18.219,18.219
1788638400000,18.219,18.219,18.219,18.219
1788642000000,18.219,18.221,18.219,18.22
1788645600000,18.22,18.226,18.219,18.224
1788649200000,18.224,18.226,18.222,18.222
1788652800000,18.222,18.228,18.222,18.227
1788656400000,18.227,18.228,18.224,18.224
1788660000000,18.224,18.232,18.217,18.217
1788663600000,18.217,18.223,18.212,18.223
1788667200000,18.223,18.227,18.21,18.219
1788670800000,18.219,18.221,18.215,18.22
1788674400000,18.22,18.229,18.22,18.229
1788678000000,18.229,18.232,18.229,18.229
1788681600000,18.229,18.229,18.221,18.226
1788685200000,18.226,18.228,18.224,18.227
1788688800000,18.227,18.269,18.223,18.266
1788692400000,18.266,18.274,18.266,18.271
1788696000000,18.271,18.273,18.271,18.272
