t,o,h,l,c
1781848800000,178.83,179.35,177.7,178.03
1781852400000,178.03,178.98,177.89,178.98
1781856000000,178.98,180.11,178.72,180.1
1781859600000,180.1,180.11,178.41,178.45
1781863200000,178.45,179.02,178.41,179.02
1781866800000,179.02,179.05,178.4,178.55
1781870400000,178.55,179.06,177.7,179.04
1781874000000,179.04,180.18,178.8,179.65
1781877600000,179.65,179.82,179.07,179.56
1781881200000,179.56,180.06,179.22,179.99
1781884800000,179.99,180.08,179.33,179.37
1781888400000,179.37,179.9,178.25,179.69
1781892000000,179.69,179.71,179.18,179.37
1781895600000,179.37,179.97,179.14,179.97
1781899200000,179.97,180.28,179.75,180.23
1781902800000,180.23,180.26,179.35,179.4
1781906400000,179.4,180.28,179.3,180.22
1781910000000,180.22,180.3,179.95,180.11
1781913600000,180.11,180.18,179.32,179.39
1781917200000,179.39,179.4,179.16,179.24
1781920800000,179.24,179.32,179.06,179.15
1781924400000,179.15,179.73,179.13,179.53
1781928000000,179.53,180.15,179.51,180.15
1781931600000,180.15,180.28,179.95,180.23
1781935200000,180.23,180.25,180.03,180.24
1781938800000,180.24,180.42,179.78,179.8
1781942400000,179.8,181.83,179.79,181.31
1781946000000,181.31,181.66,180.87,181.49
1781949600000,181.49,181.49,180.92,180.95
1781953200000,180.95,180.97,180.27,180.29
1781956800000,180.29,181.17,180.29,180.68
1781960400000,180.68,180.77,180.03,180.36
1781964000000,180.36,180.74,179.93,180.64
1781967600000,180.64,180.98,180.57,180.62
1781971200000,180.62,180.83,180.46,180.65
1781974800000,180.65,180.65,180.1,180.23
1781978400000,180.23,180.27,180.03,180.08
1781982000000,180.08,180.52,180.08,180.52
1781985600000,180.52,180.9,180.52,180.9
1781989200000,180.9,180.97,180.58,180.92
1781992800000,180.92,181.42,180.85,181.25
1781996400000,181.25,181.85,181.09,181.67
1782000000000,181.67,181.96,181.37,181.92
1782003600000,181.92,181.92,181.16,181.28
1782007200000,181.28,181.4,181.08,181.08
1782010800000,181.08,181.74,180.95,181.72
1782014400000,181.72,181.92,181.64,181.64
1782018000000,181.64,181.77,181.62,181.68
1782021600000,181.68,181.68,181.45,181.58
1782025200000,181.58,181.67,181.5,181.51
1782028800000,181.51,181.55,181.23,181.3
1782032400000,181.3,181.4,181.21,181.32
1782036000000,181.32,181.32,180.71,181.07
1782039600000,181.07,181.17,180.67,180.68
1782043200000,180.68,180.78,180.47,180.78
1782046800000,180.78,180.93,180.57,180.6
1782050400000,180.6,180.91,180.57,180.9
1782054000000,180.9,181.53,180.89,181.41
1782057600000,181.41,181.51,181.13,181.36
1782061200000,181.36,181.42,181.23,181.42
1782064800000,181.42,181.76,181.2,181.76
1782068400000,181.76,181.81,181.66,181.75
1782072000000,181.75,181.75,180.85,180.88
1782075600000,180.88,180.88,180.63,180.69
1782079200000,180.69,181.07,179.5,179.91
1782082800000,179.91,180.04,175.99,175.99
1782086400000,175.99,184.6,175.99,177.69
1782090000000,177.69,179.2,177.46,177.69
1782093600000,177.69,178.05,176.62,176.68
1782097200000,176.68,177.56,176.26,176.77
1782100800000,176.77,177.85,176.7,177.53
1782104400000,177.53,178.88,177.4,178.62
1782108000000,178.62,181.25,178.51,180.19
1782111600000,180.19,181.05,179.26,179.84
1782115200000,179.84,179.84,177.84,178.31
1782118800000,178.31,178.95,177.17,177.63
1782122400000,177.63,177.81,175.35,175.35
1782126000000,175.35,176.82,174.29,176.43
1782129600000,176.43,178.56,176.26,177.55
1782133200000,177.55,177.61,169.99,172.23
1782136800000,172.23,172.28,165.3,167.89
1782140400000,167.89,169.56,166.8,166.96
1782144000000,166.96,167.11,165.11,165.86
1782147600000,165.86,166.86,165.16,166.48
1782151200000,166.48,166.7,161.53,161.6
1782154800000,161.6,162.2,154.15,154.81
1782158400000,154.81,156.63,152.89,155.84
1782162000000,155.84,157.37,155.64,157.15
1782165600000,157.15,158.05,154.68,156.29
1782169200000,156.29,157.29,155.33,157.09
1782172800000,157.09,157.43,150.16,154.09
1782176400000,154.09,154.65,152.71,154.08
1782180000000,154.08,154.57,153.39,153.56
