t,o,h,l,c
1781848800000,744.14,745.11,744.14,745.11
1781852400000,745.11,746.13,745.11,746.13
1781856000000,746.13,746.7,746.03,746.68
1781859600000,746.68,746.78,746.2,746.38
1781863200000,746.38,746.38,744.83,745.28
1781866800000,745.28,745.34,744.69,745.14
1781870400000,745.14,746.6,744.66,746.6
1781874000000,746.6,746.68,746.41,746.54
1781877600000,746.54,747.2,746.31,747.18
1781881200000,747.18,747.42,746.63,747.04
1781884800000,747.04,747.18,746.52,746.52
1781888400000,746.52,746.76,746.3,746.35
1781892000000,746.35,746.45,745.95,745.95
1781895600000,745.95,746.48,745.05,745.09
1781899200000,745.09,746.27,745,745.41
1781902800000,745.41,745.45,744.44,744.66
1781906400000,744.66,745.63,744.65,745.45
1781910000000,745.45,748.28,745.2,748.16
1781913600000,748.16,748.2,747.52,747.56
1781917200000,747.56,747.61,746.93,746.99
1781920800000,746.99,747.66,746.95,747.66
1781924400000,747.66,747.9,747.11,747.77
1781928000000,747.77,748.12,747.68,748.09
1781931600000,748.09,748.14,747.96,748.09
1781935200000,748.09,748.4,748.02,748.4
1781938800000,748.4,748.47,747.91,747.92
1781942400000,747.92,747.99,747.81,747.81
1781946000000,747.81,747.91,747.79,747.88
1781949600000,747.88,747.89,747.55,747.6
1781953200000,747.6,747.69,747.53,747.67
1781956800000,747.67,747.84,747.55,747.84
1781960400000,747.84,747.95,745.85,745.9
1781964000000,745.9,747.23,745,747.08
1781967600000,747.08,747.08,746.32,746.5
1781971200000,746.5,746.79,746.43,746.55
1781974800000,746.55,746.55,745.45,745.9
1781978400000,745.9,745.99,744.97,745.15
1781982000000,745.15,746.37,745.05,745.88
1781985600000,745.88,746.39,745.85,746.14
1781989200000,746.14,746.74,746.05,746.74
1781992800000,746.74,747.57,746.5,747.51
1781996400000,747.51,747.65,747.04,747.06
1782000000000,747.06,747.08,745.11,745.84
1782003600000,745.84,745.98,744.71,745.24
1782007200000,745.24,745.47,744.85,745.47
1782010800000,745.47,746.45,745.42,745.96
1782014400000,745.96,746.53,745.83,746.53
1782018000000,746.53,746.55,746.15,746.25
1782021600000,746.25,746.67,746.17,746.63
1782025200000,746.63,746.82,746.45,746.49
1782028800000,746.49,746.57,745.72,745.8
1782032400000,745.8,746.25,745.54,745.78
1782036000000,745.78,746.42,745.78,746.09
1782039600000,746.09,746.2,746.02,746.17
1782043200000,746.17,746.65,746.17,746.62
1782046800000,746.62,746.66,746.41,746.42
1782050400000,746.42,746.46,746.04,746.15
1782054000000,746.15,746.46,746.15,746.25
1782057600000,746.25,746.25,745.75,745.77
1782061200000,745.77,745.77,744.94,744.97
1782064800000,744.97,744.97,744.75,744.85
1782068400000,744.85,745.29,744.78,745.23
1782072000000,745.23,745.29,744.76,744.83
1782075600000,744.83,744.93,744.09,744.7
1782079200000,744.7,745.92,744.45,745.4
1782082800000,745.4,745.4,742.31,742.38
1782086400000,742.38,745.82,742.07,745.75
1782090000000,745.75,746.48,745.64,745.68
1782093600000,745.68,745.85,744.75,744.78
1782097200000,744.78,745.12,744.24,744.42
1782100800000,744.42,744.6,743.89,744.13
1782104400000,744.13,745.48,744.11,745.41
1782108000000,745.41,746.89,745.38,746.87
1782111600000,746.87,747.36,746.79,746.93
1782115200000,746.93,747.07,745.99,746.65
1782118800000,746.65,747.14,746.13,746.2
1782122400000,746.2,747.12,746.2,746.55
1782126000000,746.55,748.34,746.55,747.09
1782129600000,747.09,748.32,747.08,747.61
1782133200000,747.61,750.3,747.61,750.3
1782136800000,750.3,750.53,743.75,745.25
1782140400000,745.25,746.65,744.33,745.07
1782144000000,745.07,745.78,744.03,745.27
1782147600000,745.27,745.64,744.38,745.09
1782151200000,745.09,746.15,743.99,744.08
1782154800000,744.08,745.05,743.42,744.89
1782158400000,744.89,745.3,744.61,744.71
1782162000000,744.71,744.73,744.52,744.65
1782165600000,744.65,745.23,743.65,743.92
1782169200000,743.92,743.99,743.34,743.88
1782172800000,743.88,745.24,743.02,744.83
1782176400000,744.83,744.95,742.12,743.14
1782180000000,743.14,743.35,742.07,742.2
1782183600000,742.2,742.23,740.66,741.86
1782187200000,741.86,742.13,739.3,739.41
1782190800000,739.41,739.85,737.92,738.04
1782194400000,738.04,738.41,735.73,735.9
1782198000000,735.9,736.68,734.17,734.58
1782201600000,734.58,734.93,733.38,734.19
1782205200000,734.19,735.79,734.12,735.64
1782208800000,735.64,736.15,734.09,735
1782212400000,735,736.68,734.6,736.49
1782216000000,736.49,736.82,734.13,734.42
1782219600000,734.42,737.55,732.7,737.55
1782223200000,737.55,739.91,736.95,737.31
1782226800000,737.31,737.74,734.61,736.35
1782230400000,736.35,738.4,736.29,737.96
1782234000000,737.96,738.48,736.21,736.29
1782237600000,736.29,737.01,733.97,734.63
1782241200000,734.63,736.16,734.32,734.61
1782244800000,734.61,735.6,734.13,735.55
1782248400000,735.55,735.69,735.08,735.33
1782252000000,735.33,736.13,733.86,734.31
1782255600000,734.31,735.86,732.97,735.47
1782259200000,735.47,736.78,734.66,736.09
1782262800000,736.09,736.27,735.13,735.92
1782266400000,735.92,736.14,733.8,733.8
1782270000000,733.8,735.84,733.6,735.48
1782273600000,735.48,735.91,734.29,735.73
