t,o,h,l,c
1781848800000,398.09,400.01,398.08,399.75
1781852400000,399.75,400.01,399.53,399.89
1781856000000,399.89,399.97,398.93,398.97
1781859600000,398.97,399.17,398.19,398.19
1781863200000,398.19,398.94,398.19,398.83
1781866800000,398.83,399.26,398.53,399.19
1781870400000,399.19,400.44,398.47,399.67
1781874000000,399.67,400.65,399.43,400.65
1781877600000,400.65,400.66,399.33,399.33
1781881200000,399.33,399.55,399.1,399.29
1781884800000,399.29,399.57,399.04,399.38
1781888400000,399.38,400.07,399.38,400.04
1781892000000,400.04,400.33,399.91,399.91
1781895600000,399.91,400.1,399.76,399.99
1781899200000,399.99,400.02,399.47,399.49
1781902800000,399.49,399.49,398.89,399.01
1781906400000,399.01,399.33,398.88,399.24
1781910000000,399.24,400.11,399.22,399.99
1781913600000,399.99,400,399.74,399.82
1781917200000,399.82,400.02,399.68,399.79
1781920800000,399.79,400.02,399.64,400.02
1781924400000,400.02,400.25,399.9,400.16
1781928000000,400.16,400.89,400.11,400.89
1781931600000,400.89,402.81,400.83,401.87
1781935200000,401.87,402.73,401.84,402.66
1781938800000,402.66,402.68,401.99,402.02
1781942400000,402.02,402.65,401.77,401.85
1781946000000,401.85,402.59,401.76,402.59
1781949600000,402.59,402.64,402.01,402.16
1781953200000,402.16,402.34,401.88,402.31
1781956800000,402.31,402.33,401.84,402.3
1781960400000,402.3,402.74,401.1,401.57
1781964000000,401.57,401.96,400.88,401.29
1781967600000,401.29,402.15,400.96,401.35
1781971200000,401.35,401.54,400.81,400.81
1781974800000,400.81,400.82,400,400
1781978400000,400,400,399.51,399.59
1781982000000,399.59,400.47,399.59,400.42
1781985600000,400.42,400.85,400.4,400.82
1781989200000,400.82,400.97,400.09,400.55
1781992800000,400.55,401.48,400.47,401.44
1781996400000,401.44,401.53,401.17,401.35
1782000000000,401.35,401.35,401.1,401.28
1782003600000,401.28,401.44,401.04,401.44
1782007200000,401.44,401.7,401.37,401.46
1782010800000,401.46,402.15,401.3,402.11
1782014400000,402.11,402.2,401.55,401.67
1782018000000,401.67,402.27,401.44,402.26
1782021600000,402.26,402.67,402.11,402.33
1782025200000,402.33,402.67,402.25,402.42
1782028800000,402.42,402.58,401.62,402.05
1782032400000,402.05,402.84,401.86,402.82
1782036000000,402.82,403.01,402.35,402.42
1782039600000,402.42,402.46,401.87,401.97
1782043200000,401.97,402.86,401.97,402.8
1782046800000,402.8,402.85,401.84,402.66
1782050400000,402.66,402.77,401.95,402.34
1782054000000,402.34,402.68,401.85,402.57
1782057600000,402.57,402.57,402.03,402.17
1782061200000,402.17,402.18,401.7,401.9
1782064800000,401.9,401.91,401.36,401.55
1782068400000,401.55,401.85,401.27,401.68
1782072000000,401.68,401.8,401.12,401.14
1782075600000,401.14,402.22,401.1,402.22
1782079200000,402.22,402.22,401.19,401.54
1782082800000,401.54,401.54,398.07,398.07
1782086400000,398.07,398.07,395.38,396.04
1782090000000,396.04,396.57,395.07,395.39
1782093600000,395.39,395.66,394.88,395.24
1782097200000,395.24,395.24,394.06,394.06
1782100800000,394.06,394.06,390.81,393.1
1782104400000,393.1,394.47,392.74,393.88
1782108000000,393.88,394.85,393.87,394.65
1782111600000,394.65,395.97,394.57,395.14
1782115200000,395.14,395.52,393.49,394.37
1782118800000,394.37,395.24,394.17,394.51
1782122400000,394.51,394.97,393.5,394.31
1782126000000,394.31,396.77,394.11,396.65
1782129600000,396.65,397.16,396.06,396.22
1782133200000,396.22,406.49,393.45,406.48
1782136800000,406.48,414.46,401.62,404.59
1782140400000,404.59,411.42,404.42,407.75
1782144000000,407.75,409.2,406.29,408.09
1782147600000,408.09,409.42,405.57,407.63
1782151200000,407.63,408.35,405.73,405.84
