t,o,h,l,c
1788451200000,411.56,415.11,411.43,414.63
1788454800000,414.63,416.41,414.3,416
1788458400000,416,416.73,415.42,416.25
1788462000000,416.25,417.25,415.42,417.11
1788465600000,417.11,417.13,416.53,416.67
1788469200000,416.67,416.9,416.55,416.9
1788472800000,416.9,416.9,416.21,416.54
1788476400000,416.54,416.88,416.35,416.76
1788480000000,416.76,417.41,415.81,417.35
1788483600000,417.35,417.43,416.56,416.89
1788487200000,416.89,417.15,416.38,416.96
1788490800000,416.96,417.15,416.66,417.13
1788494400000,417.13,418.13,416.85,418.13
1788498000000,418.13,419,418.13,418.68
1788501600000,418.68,419.38,418.52,418.54
1788505200000,418.54,419.68,418.52,419.62
1788508800000,419.62,420.37,418.8,420.37
1788512400000,420.37,420.53,420.04,420.41
1788516000000,420.41,421.19,420.4,420.99
1788519600000,420.99,421.65,420.78,421.57
1788523200000,421.57,422.9,420.26,420.85
1788526800000,420.85,426.28,419.56,425.81
1788530400000,425.81,427.12,424.22,426.05
1788534000000,426.05,427.54,424.73,425.97
1788537600000,425.97,428.79,425.92,428.27
1788541200000,428.27,428.64,426.41,427.46
1788544800000,427.46,429.17,427.31,428.85
1788548400000,428.85,429.28,426.91,428.62
1788552000000,428.62,429.14,427.81,427.99
1788555600000,427.99,428.17,427.77,428.17
1788559200000,428.17,428.19,427.91,427.95
1788562800000,427.95,428.22,427.77,428.12
1788566400000,428.12,428.32,427.87,427.87
1788570000000,427.87,428.5,427.87,428.27
1788573600000,428.27,428.71,428.25,428.65
1788577200000,428.65,428.66,427.23,427.23
1788580800000,427.23,427.23,426.49,426.68
1788584400000,426.68,427.1,426.67,426.87
1788588000000,426.87,426.91,426.38,426.59
1788591600000,426.59,426.64,426.42,426.61
1788595200000,426.61,426.62,426.16,426.31
1788598800000,426.31,426.33,426.18,426.32
1788602400000,426.32,426.75,426.22,426.74
1788606000000,426.74,426.76,426.47,426.71
1788609600000,426.71,426.93,426.62,426.85
1788613200000,426.85,426.86,426.54,426.64
1788616800000,426.64,426.71,426.32,426.7
1788620400000,426.7,426.77,426.57,426.75
1788624000000,426.75,427.24,426.69,427.06
1788627600000,427.06,427.59,427,427.53
1788631200000,427.53,428.18,427.51,428.17
1788634800000,428.17,428.17,427.77,427.85
1788638400000,427.85,428.17,427.83,428.15
1788642000000,428.15,428.17,427.82,427.82
1788645600000,427.82,427.94,427.75,427.94
1788649200000,427.94,428.18,427.77,427.85
1788652800000,427.85,428.48,427.84,428.07
1788656400000,428.07,428.21,428,428.16
1788660000000,428.16,428.31,428.15,428.31
1788663600000,428.31,428.59,428.31,428.36
1788667200000,428.36,428.52,428.23,428.46
1788670800000,428.46,428.6,428.3,428.4
1788674400000,428.4,428.62,428.29,428.29
1788678000000,428.29,428.29,427.91,427.91
1788681600000,427.91,428.17,427.91,428.17
1788685200000,428.17,428.6,428.16,428.6
1788688800000,428.6,429.81,428.6,429.68
1788692400000,429.68,429.96,429.46,429.82
1788696000000,429.82,430.15,429.5,429.88
