t,o,h,l,c
1781848800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781852400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781856000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781859600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781863200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781866800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781870400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781874000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781877600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781881200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781884800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781888400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781892000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781895600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781899200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781902800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781906400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781910000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781913600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781917200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781920800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781924400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781928000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781931600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781935200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781938800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781942400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781946000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781949600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781953200000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781956800000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781960400000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781964000000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
1781967600000,114.87999725341797,114.87999725341797,114.87999725341797,114.87999725341797
