t,o,h,l,c
1788526800000,16.23,16.455,16.159,16.324
1788530400000,16.324,16.424,16.195,16.344
1788534000000,16.344,16.395,16.254,16.285
1788537600000,16.285,16.395,16.274,16.365
1788541200000,16.365,16.385,16.305,16.334
1788544800000,16.334,16.435,16.294,16.324
1788548400000,16.324,16.584,16.314,16.535
1788552000000,16.535,16.535,16.434,16.479
1788555600000,16.479,16.495,16.469,16.47
1788559200000,16.47,16.49,16.469,16.49
1788562800000,16.49,16.508,16.489,16.502
1788566400000,16.502,16.519,16.502,16.519
1788570000000,16.519,16.519,16.519,16.519
1788573600000,16.519,16.519,16.519,16.519
1788577200000,16.519,16.519,16.518,16.518
1788580800000,16.518,16.518,16.518,16.518
1788584400000,16.518,16.518,16.518,16.518
1788588000000,16.518,16.518,16.518,16.518
1788591600000,16.518,16.518,16.509,16.509
1788595200000,16.509,16.51,16.509,16.51
1788598800000,16.51,16.51,16.51,16.51
1788602400000,16.51,16.51,16.51,16.51
1788606000000,16.51,16.51,16.51,16.51
1788609600000,16.51,16.516,16.51,16.516
1788613200000,16.516,16.516,16.516,16.516
1788616800000,16.516,16.516,16.516,16.516
1788620400000,16.516,16.516,16.515,16.515
1788624000000,16.515,16.518,16.512,16.515
1788627600000,16.515,16.515,16.515,16.515
1788631200000,16.515,16.515,16.515,16.515
1788634800000,16.515,16.515,16.515,16.515
1788638400000,16.515,16.515,16.515,16.515
1788642000000,16.515,16.515,16.515,16.515
1788645600000,16.515,16.521,16.507,16.507
1788649200000,16.507,16.507,16.507,16.507
1788652800000,16.507,16.507,16.506,16.507
1788656400000,16.507,16.507,16.507,16.507
1788660000000,16.507,16.507,16.507,16.507
1788663600000,16.507,16.512,16.507,16.512
1788667200000,16.512,16.512,16.512,16.512
1788670800000,16.512,16.512,16.512,16.512
1788674400000,16.512,16.512,16.512,16.512
1788678000000,16.512,16.512,16.512,16.512
1788681600000,16.512,16.512,16.512,16.512
1788685200000,16.512,16.512,16.512,16.512
1788688800000,16.512,16.528,16.512,16.528
1788692400000,16.528,16.528,16.528,16.528
1788696000000,16.528,16.528,16.528,16.528
