t,o,h,l,c
1787355600000,200.9,200.99,200.81,200.99
1787355900000,200.99,201.04,200.78,200.93
1787356200000,200.93,201.02,200.88,201
1787356500000,201,201.14,200.93,200.98
1787356800000,200.98,201.14,200.98,201.14
1787357100000,201.14,201.25,201.14,201.25
1787357400000,201.25,201.3,201.25,201.3
1787357700000,201.3,201.37,201.29,201.37
1787358000000,201.37,201.4,201.37,201.39
1787358300000,201.39,201.4,201.33,201.33
1787358600000,201.33,201.34,201.24,201.27
1787358900000,201.27,201.36,201.25,201.34
1787359200000,201.34,201.34,201.13,201.28
1787359500000,201.28,201.28,201.14,201.28
1787359800000,201.28,201.31,201.26,201.28
1787360100000,201.28,201.28,201.26,201.26
1787360400000,201.26,201.26,201.21,201.26
1787360700000,201.26,201.26,201.1,201.1
1787361000000,201.1,201.19,201.08,201.19
1787361300000,201.19,201.25,201.19,201.21
1787361600000,201.21,201.22,201.15,201.16
1787361900000,201.16,201.16,201.05,201.06
1787362200000,201.06,201.11,201,201.06
1787362500000,201.06,201.13,201.06,201.13
1787362800000,201.13,201.25,201.13,201.17
1787363100000,201.17,201.19,201,201
1787363400000,201,201.26,200.98,201.26
1787363700000,201.26,201.32,201.15,201.15
1787364000000,201.15,201.33,201.12,201.33
1787364300000,201.33,201.47,201.33,201.47
1787364600000,201.47,201.48,201.44,201.47
1787364900000,201.47,201.47,201.11,201.11
1787365200000,201.11,201.46,201.1,201.46
1787365500000,201.46,201.48,201.22,201.31
1787365800000,201.31,201.52,201.31,201.52
1787366100000,201.52,201.53,201.33,201.33
1787366400000,201.33,201.42,201.33,201.42
1787366700000,201.42,201.46,201.4,201.41
1787367000000,201.41,201.43,201.39,201.42
1787367300000,201.42,201.43,201.38,201.38
1787367600000,201.38,201.42,201.32,201.37
1787367900000,201.37,201.51,201.37,201.45
1787368200000,201.45,201.5,201.45,201.5
1787368500000,201.5,201.54,201.48,201.51
1787368800000,201.51,201.53,201.5,201.53
1787369100000,201.53,201.56,201.53,201.55
