t,o,h,l,c
1787495700000,198.35,198.35,198.35,198.35
1787496000000,198.35,198.42,198.35,198.35
1787496300000,198.36,198.4,198.35,198.37
1787496600000,198.37,198.37,198.37,198.37
1787496900000,198.35,198.35,198.35,198.35
1787497200000,198.35,198.39,198.28,198.38
1787497500000,198.45,198.77,198.45,198.72
1787497800000,198.76,198.79,198.72,198.72
1787498100000,198.71,198.71,198.71,198.71
1787498400000,198.73,198.75,198.73,198.75
1787498700000,198.63,198.78,198.63,198.78
1787499000000,198.7,198.71,198.7,198.71
1787499300000,198.77,198.77,198.77,198.77
1787499600000,198.78,198.78,198.78,198.78
1787499900000,198.73,198.76,198.73,198.76
1787500200000,198.66,198.66,198.64,198.64
1787500500000,198.64,198.64,198.64,198.64
1787500800000,198.64,198.65,198.6,198.65
1787501100000,198.65,198.65,198.65,198.65
1787501400000,198.65,198.65,198.65,198.65
1787501700000,198.63,198.63,198.57,198.57
1787502000000,198.59,198.59,198.59,198.59
1787502300000,198.59,198.59,198.59,198.59
1787502600000,198.59,198.59,198.59,198.59
1787502900000,198.61,198.66,198.61,198.66
1787503200000,198.79,198.79,198.79,198.79
1787503500000,198.81,199.56,198.81,199.35
1787503800000,199.32,199.4,199.32,199.38
1787504100000,199.44,199.44,199.39,199.43
1787504400000,199.48,199.54,199.41,199.41
1787504700000,199.43,199.45,199.34,199.37
1787505000000,199.44,199.53,199.44,199.53
1787505300000,199.52,199.52,199.52,199.52
1787505600000,199.49,199.59,199.49,199.59
1787505900000,199.59,199.59,199.59,199.59
1787506200000,199.55,199.55,199.47,199.47
1787506500000,199.47,199.47,199.47,199.47
1787506800000,199.66,199.73,199.63,199.66
1787507100000,199.66,199.66,199.66,199.66
1787507400000,199.7,199.72,199.7,199.72
1787507700000,199.79,199.8,199.79,199.8
1787508000000,199.75,199.94,199.75,199.94
1787508300000,200.0,200.0,199.78,199.83
1787508600000,199.91,200.4,199.9,199.98
1787508900000,199.98,200.02,199.97,199.97
1787509200000,200.03,200.05,200.03,200.05
1787509500000,200.05,200.08,200.05,200.07
1787509800000,200.11,200.12,200.03,200.06
1787510100000,200.08,200.08,200.04,200.04
1787510400000,200.17,200.17,200.12,200.12
1787510700000,200.1,200.11,200.05,200.06
1787511000000,200.1,200.12,200.04,200.04
1787511300000,200.05,200.05,200.05,200.05
1787511600000,200.04,200.07,199.98,200.0
1787511900000,200.0,200.0,200.0,200.0
1787512200000,200.08,200.08,200.08,200.08
1787512500000,200.08,200.08,200.08,200.08
1787512800000,200.03,200.15,200.03,200.08
1787513100000,200.01,200.07,199.98,200.07
1787513400000,200.12,200.12,200.12,200.12
1787513700000,200.13,200.13,200.09,200.09
1787514000000,200.08,200.08,200.02,200.05
1787514300000,200.05,200.05,200.05,200.05
1787514600000,200.09,200.09,200.05,200.05
1787514900000,200.05,200.05,200.05,200.05
1787515200000,200.01,200.01,199.92,199.92
1787515500000,199.97,200.04,199.92,199.96
1787515800000,199.99,199.99,199.99,199.99
1787516100000,199.98,199.98,199.96,199.96
1787516400000,200.02,200.02,199.97,199.97
1787516700000,199.98,199.98,199.98,199.98
1787517000000,199.94,199.94,199.94,199.94
1787517300000,199.89,199.9,199.89,199.9
1787517600000,199.96,199.96,199.96,199.96
1787517900000,199.95,200.03,199.95,200.03
1787518200000,200.03,200.03,200.03,200.03
1787518500000,200.03,200.03,200.03,200.03
1787518800000,199.94,199.94,199.86,199.86
1787519100000,199.86,199.9,199.84,199.84
1787519400000,199.89,199.89,199.89,199.89
1787519700000,199.8,199.8,199.8,199.8
1787520000000,199.75,199.99,199.73,199.99
1787520300000,199.97,199.97,199.92,199.94
1787520600000,199.94,199.99,199.94,199.96
1787520900000,200.03,200.03,199.73,199.73
1787521200000,199.73,199.77,199.57,199.57
1787521500000,199.58,199.7,199.4,199.48
1787521800000,199.53,199.61,199.45,199.49
1787522100000,199.55,199.61,198.99,199.16
1787522400000,198.78,198.78,198.39,198.39
1787522700000,198.8,200.79,198.8,199.0
1787523000000,199.07,199.08,196.64,198.32
1787523300000,198.31,198.45,198.0,198.36
1787523600000,198.43,198.64,198.42,198.57
1787523900000,198.48,198.84,198.45,198.84
1787524200000,198.76,199.08,198.76,198.96
1787524500000,199.05,199.32,199.05,199.23
1787524800000,199.06,199.3,199.04,199.3
1787525100000,199.3,199.3,199.18,199.18
1787525400000,199.14,199.16,199.1,199.15
1787525700000,199.12,199.12,199.12,199.12
1787526000000,199.13,199.43,199.11,199.23
1787526300000,199.27,199.58,199.27,199.58
1787526600000,199.52,199.61,199.51,199.61
1787526900000,199.65,199.9,199.58,199.6
1787527200000,199.54,199.54,199.51,199.51
1787527500000,199.52,199.64,199.51,199.58
1787527800000,199.61,199.61,199.52,199.52
1787528100000,199.47,199.71,199.47,199.71
1787528400000,199.3,199.44,199.29,199.44
1787528700000,199.36,199.68,199.26,199.68
1787529000000,199.63,199.83,199.4,199.4
1787529300000,199.41,199.8,199.09,199.29
1787529600000,199.43,200.33,199.13,199.38
1787529900000,199.27,201.05,199.27,200.98
1787530200000,200.84,201.55,200.77,201.41
1787530500000,201.43,201.43,199.35,199.35
1787530800000,199.41,199.63,199.02,199.56
1787531100000,199.16,199.21,198.7,198.74
1787531400000,198.62,198.98,198.61,198.67
1787531700000,198.69,199.22,198.51,199.03
1787532000000,199.07,199.07,198.86,198.86
1787532300000,198.92,199.65,198.69,199.65
1787532600000,199.6,199.6,199.31,199.31
1787532900000,199.39,200.43,199.35,200.38
1787533200000,200.37,200.4,199.74,199.98
1787533500000,199.97,200.34,199.78,199.82
1787533800000,199.95,200.32,199.95,200.07
1787534100000,200.22,200.34,200.22,200.29
1787534400000,200.15,200.17,199.93,199.97
1787534700000,200.13,200.21,199.69,199.9
1787535000000,199.85,200.31,199.75,200.31
1787535300000,200.21,200.21,199.78,199.78
1787535600000,199.95,200.0,199.76,199.78
1787535900000,199.82,199.93,199.75,199.83
1787536200000,200.02,200.12,199.73,199.77
1787536500000,199.73,199.73,198.98,198.99
1787536800000,198.99,199.08,198.46,198.62
1787537100000,198.73,198.73,198.06,198.12
1787537400000,198.44,199.09,198.14,199.04
1787537700000,199.04,199.1,198.67,198.73
1787538000000,198.79,198.85,198.54,198.54
1787538300000,198.51,198.64,198.49,198.57
1787538600000,198.71,198.71,198.65,198.65
1787538900000,198.46,198.46,198.32,198.43
1787539200000,198.16,198.3,198.16,198.18
1787539500000,198.49,198.49,198.0,198.1
1787539800000,198.09,198.09,197.7,197.79
1787540100000,197.71,198.17,197.71,198.13
1787540400000,197.76,197.76,197.72,197.73
1787540700000,197.64,197.64,197.36,197.36
1787541000000,197.26,197.26,196.91,196.97
1787541300000,196.97,196.97,196.37,196.4
1787541600000,196.43,196.81,196.36,196.73
1787541900000,196.33,196.33,195.78,195.92
1787542200000,195.62,195.73,195.23,195.42
1787542500000,195.41,195.56,195.25,195.56
1787542800000,195.37,195.64,195.37,195.54
1787543100000,195.48,195.67,195.45,195.67
1787543400000,195.72,195.85,195.06,195.06
1787543700000,195.13,195.21,194.92,195.17
1787544000000,194.93,195.06,194.79,195.03
1787544300000,195.24,195.25,195.23,195.23
1787544600000,195.6,195.84,195.54,195.84
1787544900000,195.97,196.03,195.63,195.8
1787545200000,195.97,195.97,195.59,195.59
1787545500000,195.63,195.63,195.48,195.48
1787545800000,195.66,195.66,195.64,195.64
1787546100000,195.55,196.06,195.55,195.84
1787546400000,195.73,195.73,194.72,195.12
1787546700000,195.55,195.55,195.49,195.49
1787547000000,195.44,195.54,195.09,195.2
1787547300000,195.21,195.23,194.95,194.95
1787547600000,194.97,195.14,194.97,195.02
1787547900000,195.22,195.96,195.22,195.96
1787548200000,195.91,196.05,195.74,195.85
1787548500000,195.63,195.65,195.28,195.28
1787548800000,195.2,195.28,194.94,194.94
1787549100000,194.92,194.92,194.63,194.64
1787549400000,194.5,194.52,194.19,194.25
1787549700000,194.21,194.81,194.13,194.76
1787550000000,194.54,195.06,194.54,194.86
1787550300000,194.65,194.65,194.3,194.39
1787550600000,194.54,194.7,194.51,194.7
1787550900000,194.75,194.75,193.91,194.37
1787551200000,194.38,194.62,193.3,193.65
1787551500000,193.64,193.73,193.41,193.73
1787551800000,193.54,193.76,193.51,193.73
1787552100000,193.78,194.12,193.77,193.96
1787552400000,193.76,194.8,193.76,194.8
1787552700000,194.53,194.53,194.26,194.26
1787553000000,194.26,194.26,193.91,194.19
1787553300000,194.14,194.31,194.14,194.31
1787553600000,193.98,193.98,193.98,193.98
1787553900000,193.82,193.87,193.82,193.82
1787554200000,193.95,193.95,193.95,193.95
1787554500000,194.11,194.12,193.93,193.96
1787554800000,193.91,194.14,193.84,194.13
1787555100000,194.29,194.54,194.29,194.45
1787555400000,194.39,194.96,194.35,194.96
1787555700000,195.15,195.18,194.73,195.01
1787556000000,194.76,194.94,194.68,194.75
1787556300000,194.9,195.04,194.67,194.67
1787556600000,194.55,194.82,194.48,194.79
1787556900000,194.91,195.09,194.5,194.5
1787557200000,194.54,194.54,194.1,194.1
1787557500000,194.21,194.21,194.04,194.04
