t,o,h,l,c
1787355600000,87.63,87.65,87.58,87.6
1787355900000,87.6,87.63,87.59,87.62
1787356200000,87.62,87.67,87.62,87.66
1787356500000,87.66,87.74,87.66,87.74
1787356800000,87.74,87.78,87.74,87.78
1787357100000,87.78,87.8,87.77,87.78
1787357400000,87.78,87.84,87.78,87.84
1787357700000,87.84,87.85,87.83,87.83
1787358000000,87.83,87.85,87.83,87.84
1787358300000,87.84,87.85,87.83,87.84
1787358600000,87.84,87.97,87.84,87.97
1787358900000,87.97,88.01,87.97,87.97
1787359200000,87.97,87.99,87.97,87.99
1787359500000,87.99,87.99,87.94,87.98
1787359800000,87.98,87.99,87.97,87.97
1787360100000,87.97,87.99,87.96,87.97
1787360400000,87.97,87.99,87.95,87.99
1787360700000,87.99,87.99,87.95,87.97
1787361000000,87.97,87.97,87.94,87.94
1787361300000,87.94,87.96,87.87,87.91
1787361600000,87.91,87.92,87.9,87.92
1787361900000,87.92,87.92,87.91,87.91
1787362200000,87.91,87.93,87.91,87.93
1787362500000,87.93,87.95,87.93,87.95
1787362800000,87.95,87.96,87.95,87.96
1787363100000,87.96,87.96,87.96,87.96
1787363400000,87.96,87.96,87.94,87.94
1787363700000,87.94,87.94,87.88,87.88
1787364000000,87.88,87.88,87.84,87.84
1787364300000,87.84,87.85,87.83,87.85
1787364600000,87.85,87.89,87.85,87.89
1787364900000,87.89,87.9,87.86,87.86
1787365200000,87.86,87.87,87.86,87.87
1787365500000,87.87,87.93,87.87,87.93
1787365800000,87.93,87.93,87.93,87.93
1787366100000,87.93,87.95,87.9,87.95
1787366400000,87.95,87.97,87.95,87.97
1787366700000,87.97,88,87.97,88
1787367000000,88,88.04,88,88.04
1787367300000,88.04,88.14,88.04,88.14
1787367600000,88.14,88.17,88.14,88.16
1787367900000,88.16,88.16,88.11,88.11
1787368200000,88.11,88.19,88.1,88.18
1787368500000,88.18,88.22,88.18,88.21
1787368800000,88.21,88.21,88.18,88.18
1787369100000,88.18,88.24,88.18,88.24
1787369400000,88.24,88.24,88.22,88.23
1787369700000,88.23,88.25,88.23,88.24
1787370000000,88.24,88.26,88.23,88.24
1787370300000,88.24,88.25,88.21,88.21
1787370600000,88.21,88.22,88.19,88.19
1787370900000,88.19,88.22,88.19,88.2
1787371200000,88.2,88.24,88.19,88.24
1787371500000,88.24,88.27,88.24,88.26
1787371800000,88.26,88.26,88.2,88.2
1787372100000,88.2,88.2,88.19,88.19
1787372400000,88.19,88.21,88.19,88.21
1787372700000,88.21,88.22,88.19,88.19
1787373000000,88.19,88.29,88.19,88.29
1787373300000,88.29,88.29,88.27,88.27
1787373600000,88.27,88.27,88.21,88.21
1787373900000,88.21,88.22,88.18,88.22
1787374200000,88.22,88.23,88.2,88.23
1787374500000,88.23,88.23,88.15,88.15
1787374800000,88.15,88.15,88.11,88.12
1787375100000,88.12,88.15,88.11,88.11
1787375400000,88.11,88.11,87.28,87.28
1787375700000,87.28,87.28,85.98,85.98
1787376000000,85.98,86.14,85.91,86.06
1787376300000,86.06,86.47,86.05,86.37
1787376600000,86.37,86.51,86.3,86.48
1787376900000,86.48,86.7,86.43,86.66
1787377200000,86.66,86.68,86.62,86.67
1787377500000,86.67,86.8,86.67,86.8
1787377800000,86.8,86.84,86.73,86.73
1787378100000,86.73,86.91,86.73,86.91
1787378400000,86.91,86.92,86.84,86.85
1787378700000,86.85,86.89,86.85,86.89
1787379000000,86.89,86.89,86.86,86.86
1787379300000,86.86,86.87,86.86,86.86
1787379600000,86.86,86.97,86.86,86.97
1787379900000,86.97,86.97,86.92,86.92
1787380200000,86.92,86.92,86.86,86.89
1787380500000,86.89,86.91,86.88,86.91
1787380800000,86.91,87.09,86.91,87.09
1787381100000,87.09,87.14,87.09,87.14
1787381400000,87.14,87.2,87.14,87.2
1787381700000,87.2,87.2,87.18,87.2
1787382000000,87.2,87.2,87.18,87.2
1787382300000,87.2,87.22,87.19,87.22
1787382600000,87.22,87.23,87.2,87.22
1787382900000,87.22,87.25,87.2,87.2
1787383200000,87.2,87.22,87.15,87.15
1787383500000,87.15,87.15,87.12,87.12
1787383800000,87.12,87.12,87.09,87.09
1787384100000,87.09,87.15,87.08,87.15
1787384400000,87.15,87.17,87.13,87.14
1787384700000,87.14,87.14,87.1,87.12
1787385000000,87.12,87.12,87.11,87.12
1787385300000,87.12,87.13,87.12,87.13
1787385600000,87.13,87.14,87.09,87.1
1787385900000,87.1,87.1,87.06,87.06
1787386200000,87.06,87.06,87.03,87.06
1787386500000,87.06,87.07,87.06,87.07
1787386800000,87.07,87.07,87.05,87.05
1787387100000,87.05,87.05,86.93,86.95
1787387400000,86.95,86.98,86.93,86.95
1787387700000,86.95,86.96,86.91,86.94
1787388000000,86.94,86.99,86.94,86.99
1787388300000,86.99,87.04,86.99,87.04
1787388600000,87.04,87.05,87.04,87.05
1787388900000,87.05,87.07,87.05,87.07
1787389200000,87.07,87.08,87.03,87.03
1787389500000,87.03,87.04,87.01,87.04
1787389800000,87.04,87.09,87.04,87.09
1787390100000,87.09,87.1,87.05,87.05
1787390400000,87.05,87.05,87,87.04
1787390700000,87.04,87.04,87.02,87.02
1787391000000,87.02,87.06,87.01,87.04
1787391300000,87.04,87.05,87,87.01
1787391600000,87.01,87.01,86.97,87
1787391900000,87,87.03,87,87.03
1787392200000,87.03,87.03,86.99,86.99
1787392500000,86.99,87,86.95,86.95
1787392800000,86.95,86.98,86.84,86.91
1787393100000,86.91,86.91,86.81,86.81
1787393400000,86.81,86.85,86.8,86.8
1787393700000,86.8,86.82,86.79,86.81
1787394000000,86.81,86.81,86.77,86.78
1787394300000,86.78,86.78,86.73,86.75
1787394600000,86.75,86.78,86.75,86.78
1787394900000,86.78,86.78,86.72,86.73
