t,o,h,l,c
1787495700000,88.031,88.031,87.994,87.994
1787496000000,88.001,88.11,87.997,87.997
1787496300000,87.979,88.014,87.97,88.014
1787496600000,88.014,88.014,88.014,88.014
1787496900000,88.042,88.066,88.042,88.066
1787497200000,88.088,88.088,87.896,88.0
1787497500000,88.029,88.112,88.013,88.112
1787497800000,88.128,88.296,88.128,88.255
1787498100000,88.227,88.227,88.065,88.065
1787498400000,88.079,88.195,88.079,88.19
1787498700000,88.17,88.17,88.125,88.125
1787499000000,88.098,88.112,88.081,88.081
1787499300000,88.081,88.081,88.081,88.081
1787499600000,88.094,88.094,88.094,88.094
1787499900000,88.109,88.109,88.109,88.109
1787500200000,88.112,88.128,88.103,88.112
1787500500000,88.132,88.14,88.085,88.085
1787500800000,88.062,88.062,88.062,88.062
1787501100000,88.062,88.062,88.062,88.062
1787501400000,88.062,88.062,88.062,88.062
1787501700000,88.048,88.067,88.042,88.055
1787502000000,88.043,88.057,88.031,88.055
1787502300000,88.052,88.052,88.03,88.03
1787502600000,88.056,88.056,88.056,88.056
1787502900000,88.041,88.067,88.034,88.067
1787503200000,88.051,88.067,88.051,88.062
1787503500000,88.067,88.067,88.042,88.042
1787503800000,88.042,88.042,88.042,88.042
1787504100000,88.077,88.112,88.077,88.112
1787504400000,88.126,88.126,88.117,88.117
1787504700000,88.112,88.22,88.112,88.22
1787505000000,88.22,88.22,88.22,88.22
1787505300000,88.22,88.22,88.22,88.22
1787505600000,88.197,88.216,88.197,88.216
1787505900000,88.216,88.216,88.216,88.216
1787506200000,88.216,88.216,88.216,88.216
1787506500000,88.236,88.236,88.236,88.236
1787506800000,88.216,88.216,88.216,88.216
1787507100000,88.216,88.216,88.216,88.216
1787507400000,88.216,88.216,88.216,88.216
1787507700000,88.216,88.216,88.216,88.216
1787508000000,88.228,88.32,88.228,88.32
1787508300000,88.32,88.43,88.32,88.426
1787508600000,88.429,88.43,88.405,88.417
1787508900000,88.392,88.392,88.391,88.391
1787509200000,88.392,88.408,88.392,88.408
1787509500000,88.44,88.479,88.44,88.479
1787509800000,88.445,88.445,88.439,88.439
1787510100000,88.375,88.391,88.335,88.391
1787510400000,88.391,88.4,88.391,88.4
1787510700000,88.442,88.45,88.442,88.444
1787511000000,88.472,88.49,88.472,88.477
1787511300000,88.477,88.477,88.477,88.477
1787511600000,88.477,88.477,88.435,88.435
1787511900000,88.427,88.427,88.427,88.427
1787512200000,88.388,88.388,88.146,88.206
1787512500000,88.214,88.214,88.21,88.21
1787512800000,88.174,88.174,88.174,88.174
1787513100000,88.202,88.348,88.202,88.348
1787513400000,88.19,88.19,88.19,88.19
1787513700000,88.161,88.178,88.141,88.178
1787514000000,88.17,88.17,88.07,88.105
1787514300000,88.126,88.126,88.126,88.126
1787514600000,88.089,88.091,88.089,88.091
1787514900000,88.091,88.091,88.091,88.091
1787515200000,88.092,88.13,88.092,88.1
1787515500000,88.038,88.039,88.038,88.039
1787515800000,88.039,88.039,88.039,88.039
1787516100000,88.015,88.022,88.015,88.016
1787516400000,88.016,88.016,88.016,88.016
1787516700000,88.011,88.02,87.956,88.02
1787517000000,88.02,88.02,88.02,88.02
1787517300000,87.986,87.986,87.986,87.986
1787517600000,88.028,88.05,88.028,88.05
1787517900000,88.05,88.05,88.05,88.05
1787518200000,87.956,87.956,87.956,87.956
1787518500000,88.001,88.001,88.001,88.001
1787518800000,88.028,88.127,88.028,88.105
1787519100000,88.105,88.105,88.105,88.105
1787519400000,88.129,88.178,88.129,88.178
1787519700000,88.202,88.25,88.202,88.25
1787520000000,88.263,88.285,88.255,88.255
1787520300000,88.172,88.174,88.164,88.17
1787520600000,88.175,88.175,88.15,88.15
1787520900000,88.115,88.115,88.115,88.115
1787521200000,88.131,88.131,88.042,88.088
1787521500000,88.118,88.118,88.115,88.115
1787521800000,88.115,88.115,88.115,88.115
1787522100000,88.079,88.079,87.805,87.968
1787522400000,87.987,87.987,87.33,87.407
1787522700000,87.507,87.634,87.507,87.58
1787523000000,87.529,87.57,87.455,87.459
1787523300000,87.455,87.455,87.265,87.27
1787523600000,87.307,87.4,87.261,87.4
1787523900000,87.324,87.481,87.302,87.445
1787524200000,87.459,87.57,87.373,87.387
1787524500000,87.324,87.371,87.291,87.344
1787524800000,87.344,87.557,87.251,87.557
1787525100000,87.57,87.6,87.568,87.573
1787525400000,87.574,87.588,87.511,87.511
1787525700000,87.505,87.555,87.503,87.555
1787526000000,87.565,87.59,87.36,87.544
1787526300000,87.518,87.676,87.445,87.585
1787526600000,87.596,87.596,87.549,87.556
1787526900000,87.613,87.677,87.613,87.665
1787527200000,87.608,87.63,87.608,87.63
1787527500000,87.63,87.63,87.63,87.63
