t,o,h,l,c
1787355600000,146.77,146.79,146.74,146.78
1787355900000,146.78,146.82,146.78,146.82
1787356200000,146.82,146.82,146.76,146.82
1787356500000,146.82,146.84,146.81,146.83
1787356800000,146.83,146.83,146.7,146.7
1787357100000,146.7,146.76,146.68,146.72
1787357400000,146.72,146.74,146.67,146.67
1787357700000,146.67,146.73,146.65,146.73
1787358000000,146.73,146.84,146.73,146.84
1787358300000,146.84,146.85,146.78,146.78
1787358600000,146.78,146.79,146.77,146.79
1787358900000,146.79,146.82,146.79,146.81
1787359200000,146.81,146.81,146.66,146.66
1787359500000,146.66,146.66,146.6,146.63
1787359800000,146.63,146.67,146.63,146.67
1787360100000,146.67,146.71,146.67,146.67
1787360400000,146.67,146.82,146.65,146.82
1787360700000,146.82,146.85,146.77,146.77
1787361000000,146.77,146.78,146.76,146.76
1787361300000,146.76,146.76,146.66,146.66
1787361600000,146.66,146.66,146.64,146.64
1787361900000,146.64,146.67,146.63,146.67
1787362200000,146.67,146.68,146.65,146.68
1787362500000,146.68,146.68,146.66,146.66
1787362800000,146.66,146.66,146.63,146.64
1787363100000,146.64,146.65,146.64,146.65
1787363400000,146.65,146.65,146.63,146.64
1787363700000,146.64,146.64,146.62,146.62
1787364000000,146.62,146.62,146.57,146.59
1787364300000,146.59,146.66,146.58,146.66
1787364600000,146.66,146.66,146.59,146.59
1787364900000,146.59,146.59,146.56,146.56
1787365200000,146.56,146.57,146.56,146.57
1787365500000,146.57,146.61,146.57,146.61
1787365800000,146.61,146.64,146.61,146.61
1787366100000,146.61,146.61,146.52,146.52
1787366400000,146.52,146.55,146.5,146.55
1787366700000,146.55,146.61,146.55,146.61
1787367000000,146.61,146.64,146.59,146.6
1787367300000,146.6,146.68,146.6,146.68
1787367600000,146.68,146.71,146.67,146.71
1787367900000,146.71,146.72,146.48,146.48
1787368200000,146.48,146.48,146.36,146.36
1787368500000,146.36,146.4,146.36,146.4
1787368800000,146.4,146.41,146.4,146.41
1787369100000,146.41,146.43,146.41,146.43
1787369400000,146.43,146.45,146.43,146.43
1787369700000,146.43,146.43,146.41,146.42
1787370000000,146.42,146.42,146.35,146.35
1787370300000,146.35,146.35,146.31,146.31
1787370600000,146.31,146.32,146.28,146.29
1787370900000,146.29,146.3,146.28,146.28
1787371200000,146.28,146.29,146.28,146.29
1787371500000,146.29,146.32,146.28,146.32
1787371800000,146.32,146.33,146.3,146.3
1787372100000,146.3,146.3,146.25,146.25
1787372400000,146.25,146.26,146.25,146.26
1787372700000,146.26,146.27,146.24,146.24
1787373000000,146.24,146.26,146.24,146.26
1787373300000,146.26,146.3,146.26,146.3
1787373600000,146.3,146.3,146.27,146.28
1787373900000,146.28,146.28,146.26,146.26
1787374200000,146.26,146.26,146.22,146.22
1787374500000,146.22,146.23,146.21,146.21
1787374800000,146.21,146.21,146.19,146.2
1787375100000,146.2,146.21,146.18,146.18
1787375400000,146.18,146.18,145.85,145.85
1787375700000,145.85,145.99,145.81,145.81
1787376000000,145.81,145.9,145.81,145.9
1787376300000,145.9,146.06,145.9,146.06
1787376600000,146.06,146.11,146.06,146.11
1787376900000,146.11,146.16,146.08,146.1
1787377200000,146.1,146.12,146.08,146.12
1787377500000,146.12,146.2,146.12,146.2
1787377800000,146.2,146.26,146.2,146.25
1787378100000,146.25,146.25,146.22,146.23
1787378400000,146.23,146.23,146.21,146.21
1787378700000,146.21,146.21,146.18,146.21
1787379000000,146.21,146.23,146.21,146.22
1787379300000,146.22,146.23,146.22,146.23
1787379600000,146.23,146.3,146.23,146.3
1787379900000,146.3,146.3,146.29,146.29
1787380200000,146.29,146.31,146.29,146.31
1787380500000,146.31,146.31,146.23,146.28
1787380800000,146.28,146.34,146.28,146.34
1787381100000,146.34,146.35,146.34,146.35
1787381400000,146.35,146.36,146.35,146.36
1787381700000,146.36,146.41,146.35,146.41
1787382000000,146.41,146.46,146.41,146.46
1787382300000,146.46,146.47,146.45,146.45
1787382600000,146.45,146.45,146.42,146.43
1787382900000,146.43,146.46,146.43,146.45
1787383200000,146.45,146.47,146.45,146.47
1787383500000,146.47,146.49,146.47,146.49
1787383800000,146.49,146.52,146.49,146.52
1787384100000,146.52,146.53,146.52,146.53
1787384400000,146.53,146.54,146.49,146.51
1787384700000,146.51,146.52,146.49,146.52
1787385000000,146.52,146.52,146.47,146.5
1787385300000,146.5,146.5,146.48,146.49
1787385600000,146.49,146.49,146.48,146.48
1787385900000,146.48,146.49,146.45,146.47
1787386200000,146.47,146.48,146.46,146.48
1787386500000,146.48,146.51,146.48,146.48
1787386800000,146.48,146.48,146.46,146.46
1787387100000,146.46,146.46,146.45,146.46
1787387400000,146.46,146.46,146.43,146.44
1787387700000,146.44,146.46,146.43,146.46
1787388000000,146.46,146.49,146.46,146.48
1787388300000,146.48,146.51,146.48,146.51
1787388600000,146.51,146.57,146.51,146.57
1787388900000,146.57,146.59,146.57,146.59
1787389200000,146.59,146.59,146.54,146.54
1787389500000,146.54,146.55,146.52,146.55
1787389800000,146.55,146.55,146.54,146.55
1787390100000,146.55,146.57,146.55,146.57
1787390400000,146.57,146.6,146.57,146.6
1787390700000,146.6,146.62,146.6,146.62
1787391000000,146.62,146.64,146.62,146.64
1787391300000,146.64,146.65,146.64,146.64
1787391600000,146.64,146.66,146.64,146.66
1787391900000,146.66,146.66,146.64,146.65
1787392200000,146.65,146.66,146.59,146.59
1787392500000,146.59,146.59,146.58,146.58
1787392800000,146.58,146.59,146.56,146.56
1787393100000,146.56,146.56,146.49,146.49
1787393400000,146.49,146.5,146.33,146.35
1787393700000,146.35,146.39,146.32,146.34
