t,o,h,l,c
1787495700000,146.81,146.83,146.79,146.81
1787496000000,146.81,146.81,146.63,146.71
1787496300000,146.7,146.88,146.68,146.88
1787496600000,146.88,147.01,146.88,146.95
1787496900000,146.94,146.97,146.83,146.84
1787497200000,146.84,146.94,146.75,146.87
1787497500000,146.87,146.93,146.81,146.81
1787497800000,146.84,146.92,146.84,146.86
1787498100000,146.83,146.83,146.78,146.81
1787498400000,146.88,146.88,146.88,146.88
1787498700000,146.88,146.88,146.88,146.88
1787499000000,146.85,146.85,146.85,146.85
1787499300000,146.85,146.85,146.85,146.85
1787499600000,146.8,146.8,146.77,146.78
1787499900000,146.78,146.78,146.78,146.78
1787500200000,146.9,146.9,146.9,146.9
1787500500000,146.86,146.86,146.8,146.8
1787500800000,146.82,146.82,146.82,146.82
1787501100000,146.86,146.86,146.84,146.84
1787501400000,146.84,146.84,146.84,146.84
1787501700000,146.84,146.84,146.84,146.84
1787502000000,146.82,146.82,146.82,146.82
1787502300000,146.82,146.82,146.82,146.82
1787502600000,146.84,146.84,146.84,146.84
1787502900000,146.82,146.82,146.82,146.82
1787503200000,146.82,146.82,146.82,146.82
1787503500000,146.82,146.82,146.82,146.82
1787503800000,146.88,146.9,146.88,146.9
1787504100000,146.9,146.9,146.9,146.9
1787504400000,146.9,146.9,146.9,146.9
1787504700000,146.9,146.9,146.9,146.9
1787505000000,146.94,146.94,146.94,146.94
1787505300000,146.9,146.9,146.85,146.85
1787505600000,146.86,146.86,146.85,146.85
1787505900000,146.85,146.85,146.82,146.82
1787506200000,146.82,146.82,146.82,146.82
1787506500000,146.89,146.89,146.89,146.89
1787506800000,146.89,146.89,146.89,146.89
1787507100000,146.89,146.89,146.89,146.89
1787507400000,146.89,146.89,146.89,146.89
1787507700000,146.83,146.9,146.83,146.89
1787508000000,146.87,146.9,146.85,146.9
1787508300000,146.9,146.9,146.9,146.9
1787508600000,146.9,146.9,146.9,146.9
1787508900000,146.98,147.03,146.98,147.03
1787509200000,147.03,147.03,147.03,147.03
1787509500000,147.07,147.12,147.07,147.12
1787509800000,147.09,147.09,147.09,147.09
1787510100000,147.09,147.09,147.08,147.08
1787510400000,147.13,147.14,147.13,147.13
1787510700000,147.13,147.13,147.13,147.13
1787511000000,147.13,147.13,147.13,147.13
1787511300000,147.13,147.13,147.13,147.13
1787511600000,147.15,147.18,147.14,147.14
1787511900000,147.14,147.14,147.14,147.14
1787512200000,147.14,147.14,147.13,147.13
1787512500000,147.13,147.13,147.13,147.13
1787512800000,147.13,147.13,147.13,147.13
1787513100000,147.13,147.13,147.13,147.13
1787513400000,147.03,147.06,146.97,146.97
1787513700000,146.97,146.97,146.97,146.97
1787514000000,146.97,146.97,146.97,146.97
1787514300000,146.97,146.97,146.97,146.97
1787514600000,147.03,147.03,146.91,146.92
1787514900000,146.92,146.92,146.83,146.83
1787515200000,146.83,146.83,146.68,146.73
1787515500000,146.75,146.83,146.72,146.72
1787515800000,146.75,146.94,146.75,146.79
1787516100000,146.83,146.83,146.81,146.81
1787516400000,146.84,146.85,146.84,146.85
1787516700000,146.85,146.85,146.85,146.85
1787517000000,146.85,146.85,146.85,146.85
1787517300000,146.85,146.85,146.85,146.85
1787517600000,146.85,146.85,146.82,146.82
1787517900000,146.84,146.94,146.84,146.94
1787518200000,146.86,146.87,146.86,146.87
1787518500000,146.87,146.87,146.87,146.87
1787518800000,146.83,146.88,146.83,146.88
1787519100000,146.9,146.93,146.9,146.93
1787519400000,146.93,146.93,146.93,146.93
1787519700000,146.99,147.09,146.99,147.09
1787520000000,147.09,147.11,147.06,147.11
1787520300000,147.11,147.11,147.11,147.11
1787520600000,147.12,147.12,147.12,147.12
1787520900000,147.12,147.13,147.04,147.04
1787521200000,147.04,147.04,147.04,147.04
1787521500000,147.04,147.04,147.04,147.04
1787521800000,147.06,147.06,147.06,147.06
1787522100000,147.02,147.02,147.02,147.02
1787522400000,146.99,147.0,146.72,146.75
1787522700000,146.86,146.87,146.86,146.87
1787523000000,146.79,146.79,146.71,146.71
1787523300000,146.75,146.75,146.64,146.67
1787523600000,146.71,146.75,146.71,146.75
1787523900000,146.82,146.91,146.81,146.91
1787524200000,146.91,146.95,146.89,146.95
1787524500000,146.9,146.9,146.86,146.86
1787524800000,146.86,146.86,146.86,146.86
1787525100000,146.86,146.86,146.86,146.86
1787525400000,146.86,146.86,146.86,146.86
1787525700000,146.86,146.86,146.86,146.86
1787526000000,146.83,146.91,146.8,146.91
1787526300000,146.84,147.05,146.84,146.94
1787526600000,146.89,146.89,146.89,146.89
1787526900000,147.02,147.02,147.01,147.01
1787527200000,147.0,147.0,146.9,146.9
1787527500000,146.9,146.9,146.9,146.9
1787527800000,147.04,147.1,147.04,147.09
1787528100000,147.03,147.03,146.97,146.97
1787528400000,147.05,147.05,147.05,147.05
1787528700000,147.12,147.22,147.12,147.22
1787529000000,147.2,147.21,147.19,147.2
1787529300000,147.2,147.24,147.2,147.23
1787529600000,147.23,147.38,147.17,147.3
1787529900000,147.26,147.32,147.11,147.22
1787530200000,147.55,147.59,147.35,147.35
1787530500000,147.35,147.43,146.82,146.82
1787530800000,146.76,146.76,146.65,146.65
