t,o,h,l,c
1787355600000,1594,1595.52,1593.93,1594.86
1787355900000,1594.86,1595.28,1593.66,1594.82
1787356200000,1594.82,1595.85,1594.05,1595.24
1787356500000,1595.24,1595.29,1593.64,1593.65
1787356800000,1593.65,1595,1593.65,1595
1787357100000,1595,1596.14,1595,1596.14
1787357400000,1596.14,1598.26,1596.14,1598.26
1787357700000,1598.26,1600.04,1598.26,1600.04
1787358000000,1600.04,1600.58,1599.6,1599.6
1787358300000,1599.6,1599.95,1598.76,1599.86
1787358600000,1599.86,1600.1,1599.4,1599.45
1787358900000,1599.45,1600.07,1599.05,1600.07
1787359200000,1600.07,1600.51,1599.92,1600.51
1787359500000,1600.51,1601.08,1600.51,1601.08
1787359800000,1601.08,1601.92,1601.08,1601.92
1787360100000,1601.92,1602.13,1601.23,1601.23
1787360400000,1601.23,1601.23,1598.92,1598.92
1787360700000,1598.92,1598.92,1594.74,1594.74
1787361000000,1594.74,1595.24,1594.65,1594.65
1787361300000,1594.65,1595.41,1594.3,1594.76
1787361600000,1594.76,1595.68,1594.75,1595.45
1787361900000,1595.45,1595.64,1594.77,1594.96
1787362200000,1594.96,1595.04,1593.92,1593.92
1787362500000,1593.92,1594.06,1593.67,1593.92
1787362800000,1593.92,1594.41,1593.92,1594.12
1787363100000,1594.12,1595.09,1594.1,1595.09
1787363400000,1595.09,1596.94,1595.09,1596.94
1787363700000,1596.94,1597.11,1596.27,1596.41
1787364000000,1596.41,1598.09,1596.41,1598.09
1787364300000,1598.09,1599.06,1598.09,1599.02
1787364600000,1599.02,1599.14,1598.54,1598.98
1787364900000,1598.98,1599.09,1598.1,1598.76
1787365200000,1598.76,1598.94,1598.28,1598.28
1787365500000,1598.28,1598.81,1597.87,1597.87
1787365800000,1597.87,1597.87,1595.88,1595.88
1787366100000,1595.88,1596.74,1595.78,1596.62
1787366400000,1596.62,1597.71,1596.62,1597.71
1787366700000,1597.71,1598.6,1597.71,1598.6
1787367000000,1598.6,1599.02,1598.36,1598.6
1787367300000,1598.6,1599.22,1598.56,1599.22
1787367600000,1599.22,1599.47,1599.21,1599.46
1787367900000,1599.46,1599.46,1597.52,1597.52
1787368200000,1597.52,1598.1,1597.34,1597.95
1787368500000,1597.95,1598.12,1597.49,1597.49
1787368800000,1597.49,1597.49,1596.36,1596.38
1787369100000,1596.38,1596.9,1595.94,1595.96
1787369400000,1595.96,1595.96,1595.29,1595.8
1787369700000,1595.8,1596.36,1595.74,1596.36
1787370000000,1596.36,1597.08,1596.03,1597.08
1787370300000,1597.08,1597.52,1596.65,1596.65
1787370600000,1596.65,1596.73,1595.79,1595.79
1787370900000,1595.79,1595.88,1595.38,1595.43
1787371200000,1595.43,1596.99,1595.43,1596.99
1787371500000,1596.99,1597.62,1596.86,1597.51
1787371800000,1597.51,1597.76,1597.46,1597.76
1787372100000,1597.76,1597.76,1596.8,1597.18
1787372400000,1597.18,1597.34,1597.08,1597.08
1787372700000,1597.08,1597.08,1596.03,1596.03
1787373000000,1596.03,1596.03,1595.43,1595.43
