t,o,h,l,c
1787495700000,1598.0,1598.7,1597.8,1598.5
1787496000000,1598.5,1598.6,1594.8,1596.2
1787496300000,1595.7,1597.2,1595.3,1596.4
1787496600000,1596.6,1597.5,1596.0,1597.5
1787496900000,1597.7,1597.9,1597.1,1597.1
1787497200000,1597.3,1598.2,1596.4,1598.2
1787497500000,1598.2,1607.9,1598.2,1607.7
1787497800000,1607.9,1621.7,1607.9,1615.3
1787498100000,1615.4,1615.5,1609.7,1611.0
1787498400000,1610.9,1613.2,1608.4,1609.7
1787498700000,1609.4,1609.4,1607.2,1607.3
1787499000000,1607.5,1610.1,1607.3,1609.1
1787499300000,1609.1,1611.3,1608.7,1609.8
1787499600000,1609.6,1612.5,1607.0,1610.7
1787499900000,1610.6,1614.4,1610.2,1612.1
1787500200000,1612.1,1612.4,1610.6,1610.6
1787500500000,1610.5,1612.5,1609.8,1611.5
1787500800000,1611.9,1618.3,1611.9,1616.0
1787501100000,1615.8,1615.8,1611.6,1611.6
1787501400000,1611.3,1612.4,1610.5,1611.9
1787501700000,1612.2,1614.0,1611.9,1614.0
1787502000000,1613.9,1614.2,1613.0,1613.2
1787502300000,1613.3,1614.2,1612.8,1614.1
1787502600000,1614.1,1616.3,1613.7,1615.7
1787502900000,1615.3,1615.6,1613.5,1614.4
1787503200000,1614.4,1615.9,1614.1,1615.6
1787503500000,1615.5,1616.9,1613.7,1613.7
1787503800000,1613.2,1615.0,1612.5,1613.2
1787504100000,1613.1,1613.7,1612.6,1613.4
1787504400000,1613.4,1613.5,1610.9,1611.3
1787504700000,1611.5,1614.3,1611.2,1614.3
1787505000000,1614.7,1615.1,1613.3,1614.1
1787505300000,1614.0,1615.3,1613.3,1614.8
1787505600000,1614.7,1614.8,1613.2,1613.6
1787505900000,1613.8,1614.9,1613.8,1614.7
1787506200000,1614.9,1616.0,1614.6,1616.0
1787506500000,1616.0,1618.4,1615.9,1617.1
1787506800000,1617.2,1618.3,1616.6,1616.8
1787507100000,1617.3,1617.3,1615.3,1615.7
1787507400000,1615.7,1617.3,1615.1,1616.3
1787507700000,1616.2,1616.5,1615.7,1615.9
1787508000000,1615.8,1617.3,1615.3,1617.3
1787508300000,1617.3,1617.5,1616.1,1617.5
1787508600000,1617.8,1618.2,1615.9,1615.9
1787508900000,1616.2,1617.1,1616.2,1616.6
1787509200000,1616.5,1617.2,1616.5,1617.1
1787509500000,1617.1,1617.9,1616.3,1616.8
1787509800000,1617.0,1617.1,1615.9,1616.6
1787510100000,1616.5,1621.0,1616.5,1620.5
1787510400000,1620.5,1620.5,1619.4,1619.8
1787510700000,1619.7,1621.5,1619.1,1621.5
1787511000000,1621.5,1623.0,1620.9,1622.8
1787511300000,1622.6,1623.2,1620.8,1623.2
1787511600000,1622.9,1623.2,1621.2,1621.4
1787511900000,1621.6,1622.3,1620.5,1622.3
1787512200000,1622.2,1622.7,1621.6,1622.7
1787512500000,1622.7,1623.1,1620.0,1620.1
1787512800000,1620.1,1621.8,1620.1,1621.4
1787513100000,1621.0,1622.6,1620.6,1621.1
1787513400000,1621.1,1622.9,1621.1,1622.9
1787513700000,1622.9,1623.2,1621.2,1622.1
1787514000000,1622.1,1623.1,1617.6,1622.5
1787514300000,1622.2,1622.5,1620.2,1621.6
1787514600000,1621.8,1621.8,1615.8,1618.4
1787514900000,1618.6,1618.7,1616.5,1617.5
1787515200000,1617.7,1618.9,1616.8,1616.8
1787515500000,1617.1,1618.6,1616.7,1616.8
1787515800000,1617.2,1619.3,1617.0,1618.5
1787516100000,1618.6,1618.8,1617.0,1617.1
1787516400000,1617.1,1618.2,1615.1,1615.5
1787516700000,1615.3,1616.2,1615.0,1615.5
1787517000000,1615.4,1616.4,1615.0,1616.0
1787517300000,1616.2,1616.2,1614.1,1614.3
1787517600000,1614.5,1614.7,1614.0,1614.6
1787517900000,1614.5,1615.3,1614.2,1614.9
1787518200000,1614.8,1614.8,1614.3,1614.3
1787518500000,1614.3,1614.8,1614.1,1614.1
1787518800000,1614.2,1614.8,1613.2,1613.7
1787519100000,1613.6,1615.5,1613.6,1615.3
1787519400000,1615.5,1617.0,1615.3,1615.5
1787519700000,1615.9,1617.1,1615.4,1615.6
1787520000000,1615.9,1616.0,1613.8,1614.3
1787520300000,1614.3,1614.7,1613.8,1613.8
1787520600000,1613.7,1614.2,1613.7,1613.7
1787520900000,1613.9,1615.0,1613.4,1614.4
1787521200000,1614.9,1615.1,1614.1,1614.7
1787521500000,1614.6,1615.2,1614.6,1615.2
1787521800000,1615.3,1615.4,1614.4,1614.7
1787522100000,1614.7,1617.1,1614.6,1617.1
1787522400000,1617.1,1620.3,1610.8,1612.2
1787522700000,1612.8,1615.5,1612.6,1613.4
1787523000000,1613.5,1614.0,1612.6,1612.6
1787523300000,1612.8,1613.9,1610.4,1611.1
1787523600000,1611.0,1616.2,1610.8,1614.8
1787523900000,1614.3,1616.4,1613.8,1616.0
1787524200000,1615.5,1615.8,1614.5,1614.7
1787524500000,1614.5,1616.8,1613.9,1616.1
1787524800000,1615.9,1616.6,1614.5,1616.5
1787525100000,1616.6,1618.5,1616.5,1616.6
1787525400000,1616.6,1616.8,1615.3,1615.4
1787525700000,1615.0,1616.7,1614.4,1615.2
1787526000000,1615.2,1618.1,1614.4,1616.5
1787526300000,1616.8,1619.2,1615.8,1619.2
1787526600000,1619.2,1621.3,1619.1,1621.3
1787526900000,1621.0,1627.8,1621.0,1627.5
1787527200000,1627.5,1627.8,1625.2,1625.9
1787527500000,1625.9,1626.4,1620.8,1621.9
1787527800000,1621.3,1624.9,1620.6,1621.0
1787528100000,1620.9,1623.9,1620.9,1622.6
1787528400000,1622.7,1624.8,1622.1,1622.1
1787528700000,1622.2,1626.9,1620.8,1626.3
1787529000000,1626.3,1627.8,1624.0,1626.1
1787529300000,1626.0,1627.1,1625.0,1626.9
1787529600000,1626.7,1627.2,1601.1,1601.9
1787529900000,1602.3,1611.4,1600.8,1607.9
1787530200000,1607.8,1610.2,1604.4,1606.5
1787530500000,1606.4,1606.7,1590.6,1593.9
1787530800000,1593.9,1596.5,1590.9,1596.4
1787531100000,1594.7,1594.7,1588.4,1590.9
1787531400000,1590.7,1594.3,1589.0,1592.1
1787531700000,1592.0,1594.2,1584.6,1592.5
1787532000000,1592.6,1596.0,1590.0,1590.1
1787532300000,1589.8,1594.9,1586.7,1594.9
1787532600000,1595.2,1596.4,1593.6,1594.3
1787532900000,1593.5,1597.7,1593.5,1597.4
1787533200000,1597.4,1598.3,1591.5,1592.2
1787533500000,1592.7,1594.7,1591.5,1592.0
1787533800000,1591.9,1595.5,1591.7,1593.6
1787534100000,1593.1,1594.8,1592.9,1593.7
1787534400000,1592.5,1592.5,1587.6,1587.8
1787534700000,1588.2,1590.8,1588.0,1589.6
1787535000000,1589.7,1589.7,1585.4,1587.8
1787535300000,1587.8,1588.3,1578.3,1583.3
1787535600000,1583.5,1583.6,1580.3,1580.4
1787535900000,1580.1,1580.1,1575.5,1579.2
1787536200000,1579.2,1583.1,1577.4,1578.2
1787536500000,1577.6,1577.6,1567.0,1567.8
1787536800000,1568.0,1571.4,1565.3,1570.2
1787537100000,1569.6,1570.7,1563.0,1564.1
1787537400000,1564.2,1568.2,1560.3,1567.6
1787537700000,1567.5,1570.3,1566.1,1566.6
1787538000000,1566.4,1567.8,1562.2,1562.2
1787538300000,1562.2,1565.7,1560.1,1562.4
1787538600000,1562.4,1566.5,1561.4,1566.5
1787538900000,1566.1,1567.2,1563.9,1565.2
1787539200000,1565.1,1565.7,1560.1,1561.2
1787539500000,1561.2,1562.8,1554.3,1556.3
1787539800000,1556.4,1556.4,1551.0,1553.9
1787540100000,1553.9,1558.5,1553.2,1558.3
1787540400000,1557.8,1557.8,1551.3,1552.8
1787540700000,1552.1,1552.5,1544.7,1544.9
1787541000000,1544.9,1545.0,1541.8,1542.6
1787541300000,1542.6,1545.3,1539.5,1539.5
1787541600000,1540.1,1543.5,1537.9,1541.2
1787541900000,1541.1,1541.5,1535.5,1536.0
1787542200000,1535.9,1535.9,1528.0,1530.0
1787542500000,1530.0,1531.9,1521.9,1530.2
1787542800000,1529.8,1533.6,1528.5,1530.9
1787543100000,1530.5,1536.0,1527.2,1535.2
1787543400000,1535.4,1536.5,1529.3,1529.7
1787543700000,1529.9,1532.6,1527.9,1532.6
1787544000000,1532.3,1536.0,1530.7,1536.0
1787544300000,1536.2,1537.3,1534.5,1536.9
1787544600000,1537.0,1541.8,1536.9,1541.6
1787544900000,1541.8,1543.1,1540.2,1540.5
1787545200000,1541.0,1545.0,1537.6,1537.7
1787545500000,1537.8,1542.6,1537.8,1541.4
1787545800000,1541.1,1542.2,1538.7,1541.7
1787546100000,1541.6,1543.2,1538.9,1541.2
1787546400000,1541.3,1542.7,1539.6,1542.7
1787546700000,1543.1,1543.9,1539.4,1539.7
1787547000000,1541.7,1542.4,1535.3,1535.5
1787547300000,1536.7,1536.7,1533.9,1535.9
1787547600000,1535.3,1538.0,1533.2,1536.9
1787547900000,1536.8,1542.3,1536.8,1540.2
1787548200000,1540.3,1543.2,1539.9,1542.7
1787548500000,1542.9,1542.9,1538.8,1539.3
1787548800000,1539.5,1539.6,1536.1,1536.1
1787549100000,1536.7,1537.4,1534.8,1535.3
1787549400000,1534.8,1534.8,1528.6,1529.8
1787549700000,1529.9,1536.2,1528.7,1534.3
1787550000000,1534.4,1537.7,1533.4,1534.1
1787550300000,1534.0,1535.5,1531.0,1532.9
1787550600000,1532.8,1533.6,1531.1,1531.8
1787550900000,1532.6,1534.6,1532.1,1532.7
1787551200000,1532.0,1535.2,1528.8,1529.6
1787551500000,1529.5,1531.5,1527.7,1531.4
1787551800000,1529.9,1530.8,1528.5,1529.6
1787552100000,1530.3,1532.4,1529.3,1529.6
1787552400000,1528.9,1531.9,1527.3,1531.7
1787552700000,1531.9,1534.2,1531.7,1532.1
1787553000000,1532.1,1532.4,1529.1,1531.5
1787553300000,1531.0,1533.5,1530.4,1532.2
1787553600000,1531.8,1532.1,1527.6,1527.6
1787553900000,1527.4,1531.1,1526.9,1530.9
1787554200000,1530.9,1532.5,1530.9,1531.4
1787554500000,1531.6,1532.0,1529.8,1529.8
1787554800000,1529.6,1531.4,1528.0,1530.0
1787555100000,1530.2,1534.4,1530.2,1534.0
1787555400000,1534.0,1538.3,1533.1,1535.8
1787555700000,1536.0,1537.2,1533.5,1534.6
1787556000000,1533.8,1534.9,1532.0,1534.5
1787556300000,1534.6,1536.6,1533.9,1534.9
1787556600000,1534.1,1535.2,1532.6,1535.2
1787556900000,1535.4,1536.1,1533.2,1533.2
1787557200000,1532.8,1533.0,1527.0,1527.2
1787557500000,1527.6,1528.1,1523.0,1524.1
1787557800000,1524.3,1526.3,1516.6,1522.5
1787558100000,1522.4,1523.3,1519.9,1522.8
1787558400000,1523.2,1524.8,1512.4,1517.8
1787558700000,1518.1,1530.5,1516.1,1525.9
1787559000000,1525.9,1529.5,1525.5,1528.5
1787559300000,1527.5,1532.4,1525.2,1532.0
1787559600000,1532.3,1532.3,1528.6,1530.5
1787559900000,1530.1,1530.3,1525.6,1529.3
1787560200000,1529.3,1530.6,1526.0,1527.8
1787560500000,1528.1,1531.2,1526.7,1531.2
1787560800000,1531.3,1532.7,1529.3,1531.9
1787561100000,1532.5,1532.5,1529.1,1529.7
1787561400000,1529.6,1534.5,1529.3,1533.7
1787561700000,1533.6,1534.1,1531.8,1532.1
1787562000000,1531.4,1532.8,1528.3,1532.2
1787562300000,1531.3,1532.7,1529.9,1531.6
1787562600000,1531.6,1532.4,1524.7,1524.7
