t,o,h,l,c
1787355600000,19.274,19.276,19.27,19.275
1787355900000,19.275,19.279,19.272,19.273
1787356200000,19.273,19.28,19.272,19.279
1787356500000,19.279,19.287,19.274,19.282
1787356800000,19.282,19.287,19.281,19.287
1787357100000,19.287,19.287,19.258,19.258
1787357400000,19.258,19.26,19.254,19.257
1787357700000,19.257,19.261,19.257,19.26
1787358000000,19.26,19.272,19.26,19.265
1787358300000,19.265,19.266,19.264,19.264
1787358600000,19.264,19.27,19.264,19.267
1787358900000,19.267,19.267,19.263,19.265
1787359200000,19.265,19.265,19.264,19.264
1787359500000,19.264,19.264,19.262,19.263
1787359800000,19.263,19.265,19.263,19.265
1787360100000,19.265,19.266,19.264,19.265
1787360400000,19.265,19.266,19.265,19.265
1787360700000,19.265,19.268,19.265,19.268
1787361000000,19.268,19.286,19.268,19.286
1787361300000,19.286,19.288,19.279,19.28
1787361600000,19.28,19.28,19.279,19.28
1787361900000,19.28,19.283,19.28,19.281
1787362200000,19.281,19.282,19.279,19.282
1787362500000,19.282,19.282,19.274,19.274
1787362800000,19.274,19.283,19.273,19.283
1787363100000,19.283,19.298,19.283,19.298
1787363400000,19.298,19.299,19.294,19.294
1787363700000,19.294,19.294,19.292,19.294
1787364000000,19.294,19.294,19.292,19.294
1787364300000,19.294,19.296,19.294,19.296
1787364600000,19.296,19.298,19.296,19.298
1787364900000,19.298,19.301,19.298,19.301
1787365200000,19.301,19.305,19.301,19.305
1787365500000,19.305,19.305,19.3,19.3
1787365800000,19.3,19.303,19.299,19.299
1787366100000,19.299,19.299,19.297,19.297
1787366400000,19.297,19.3,19.297,19.3
1787366700000,19.3,19.305,19.3,19.302
1787367000000,19.302,19.305,19.302,19.305
1787367300000,19.305,19.305,19.303,19.305
1787367600000,19.305,19.305,19.304,19.305
1787367900000,19.305,19.306,19.304,19.305
1787368200000,19.305,19.306,19.305,19.306
1787368500000,19.306,19.306,19.296,19.296
1787368800000,19.296,19.3,19.294,19.294
1787369100000,19.294,19.298,19.293,19.294
1787369400000,19.294,19.296,19.286,19.286
1787369700000,19.286,19.288,19.28,19.28
1787370000000,19.28,19.284,19.279,19.284
1787370300000,19.284,19.285,19.279,19.279
1787370600000,19.279,19.279,19.268,19.268
1787370900000,19.268,19.268,19.26,19.26
1787371200000,19.26,19.261,19.257,19.257
1787371500000,19.257,19.257,19.255,19.256
1787371800000,19.256,19.257,19.256,19.257
1787372100000,19.257,19.257,19.239,19.239
1787372400000,19.239,19.239,19.229,19.234
1787372700000,19.234,19.237,19.233,19.236
1787373000000,19.236,19.236,19.23,19.23
1787373300000,19.23,19.235,19.229,19.235
1787373600000,19.235,19.237,19.235,19.235
1787373900000,19.235,19.247,19.235,19.247
1787374200000,19.247,19.248,19.241,19.242
1787374500000,19.242,19.242,19.225,19.225
1787374800000,19.225,19.225,19.215,19.224
1787375100000,19.224,19.225,19.209,19.209
1787375400000,19.209,19.209,19.032,19.032
1787375700000,19.032,19.041,19.025,19.041
1787376000000,19.041,19.069,19.033,19.068
1787376300000,19.068,19.096,19.066,19.096
1787376600000,19.096,19.102,19.08,19.091
1787376900000,19.091,19.097,19.09,19.091
1787377200000,19.091,19.093,19.076,19.079
1787377500000,19.079,19.086,19.074,19.086
1787377800000,19.086,19.088,19.084,19.087
1787378100000,19.087,19.097,19.085,19.086
1787378400000,19.086,19.093,19.086,19.087
1787378700000,19.087,19.087,19.069,19.072
1787379000000,19.072,19.072,19.062,19.062
1787379300000,19.062,19.063,19.058,19.058
1787379600000,19.058,19.066,19.057,19.062
1787379900000,19.062,19.069,19.062,19.069
1787380200000,19.069,19.069,19.046,19.046
1787380500000,19.046,19.054,19.042,19.054
1787380800000,19.054,19.072,19.054,19.072
1787381100000,19.072,19.082,19.07,19.081
1787381400000,19.081,19.092,19.079,19.092
1787381700000,19.092,19.094,19.092,19.092
1787382000000,19.092,19.093,19.09,19.093
1787382300000,19.093,19.095,19.092,19.095
1787382600000,19.095,19.095,19.092,19.094
1787382900000,19.094,19.094,19.09,19.092
1787383200000,19.092,19.094,19.091,19.094
1787383500000,19.094,19.094,19.093,19.093
1787383800000,19.093,19.094,19.093,19.094
1787384100000,19.094,19.094,19.088,19.092
1787384400000,19.092,19.092,19.086,19.086
1787384700000,19.086,19.086,19.08,19.086
1787385000000,19.086,19.086,19.084,19.085
1787385300000,19.085,19.086,19.083,19.085
1787385600000,19.085,19.088,19.085,19.087
1787385900000,19.087,19.088,19.084,19.085
1787386200000,19.085,19.095,19.084,19.095
1787386500000,19.095,19.097,19.091,19.091
1787386800000,19.091,19.091,19.085,19.085
1787387100000,19.085,19.085,19.06,19.06
1787387400000,19.06,19.06,19.045,19.046
1787387700000,19.046,19.066,19.046,19.066
1787388000000,19.066,19.085,19.066,19.085
1787388300000,19.085,19.085,19.085,19.085
1787388600000,19.085,19.09,19.085,19.09
1787388900000,19.09,19.096,19.087,19.087
1787389200000,19.087,19.087,19.077,19.077
1787389500000,19.077,19.082,19.077,19.078
1787389800000,19.078,19.081,19.076,19.076
1787390100000,19.076,19.081,19.075,19.081
1787390400000,19.081,19.083,19.077,19.077
1787390700000,19.077,19.078,19.075,19.078
1787391000000,19.078,19.078,19.077,19.077
1787391300000,19.077,19.077,19.069,19.07
1787391600000,19.07,19.072,19.067,19.067
1787391900000,19.067,19.069,19.064,19.064
1787392200000,19.064,19.066,19.063,19.063
1787392500000,19.063,19.063,19.062,19.062
1787392800000,19.062,19.063,19.057,19.057
1787393100000,19.057,19.058,19.046,19.046
1787393400000,19.046,19.049,19.018,19.018
1787393700000,19.018,19.018,18.997,18.997
1787394000000,18.997,18.997,18.983,18.99
1787394300000,18.99,18.99,18.982,18.985
1787394600000,18.985,18.997,18.981,18.997
1787394900000,18.997,19.007,18.997,19.007
1787395200000,19.007,19.028,19.007,19.028
1787395500000,19.028,19.038,19.027,19.028
1787395800000,19.028,19.032,19.026,19.026
1787396100000,19.026,19.027,19.023,19.023
1787396400000,19.023,19.023,19.011,19.011
1787396700000,19.011,19.011,19.009,19.009
1787397000000,19.009,19.011,19.005,19.005
1787397300000,19.005,19.005,18.996,18.996
1787397600000,18.996,18.996,18.989,18.989
1787397900000,18.989,19.016,18.988,19.016
1787398200000,19.016,19.03,19.016,19.03
1787398500000,19.03,19.037,19.029,19.036
1787398800000,19.036,19.038,19.036,19.038
1787399100000,19.038,19.039,19.037,19.039
1787399400000,19.039,19.039,19.029,19.029
1787399700000,19.029,19.035,19.028,19.035
1787400000000,19.035,19.036,19.032,19.033
1787400300000,19.033,19.035,19.03,19.035
1787400600000,19.035,19.037,19.034,19.034
1787400900000,19.034,19.037,19.028,19.03
1787401200000,19.03,19.034,19.027,19.034
1787401500000,19.034,19.04,19.034,19.039
1787401800000,19.039,19.042,19.037,19.037
1787402100000,19.037,19.037,19.027,19.031
1787402400000,19.031,19.036,19.026,19.036
1787402700000,19.036,19.04,19.034,19.036
1787403000000,19.036,19.038,19.036,19.036
1787403300000,19.036,19.036,19.033,19.035
1787403600000,19.035,19.038,19.031,19.031
1787403900000,19.031,19.034,19.022,19.022
1787404200000,19.022,19.022,19.019,19.022
1787404500000,19.022,19.023,19.014,19.014
1787404800000,19.014,19.016,19.011,19.016
1787405100000,19.016,19.02,19.016,19.02
1787405400000,19.02,19.022,19.016,19.016
1787405700000,19.016,19.016,19.012,19.012
1787406000000,19.012,19.015,19.01,19.014
1787406300000,19.014,19.016,19.013,19.016
1787406600000,19.016,19.025,19.016,19.025
1787406900000,19.025,19.029,19.022,19.024
1787407200000,19.024,19.025,19.023,19.024
1787407500000,19.024,19.027,19.016,19.016
1787407800000,19.016,19.018,19.012,19.018
