t,o,h,l,c
1787495700000,19.229,19.229,19.229,19.229
1787496000000,19.208,19.208,19.207,19.207
1787496300000,19.2,19.2,19.186,19.186
1787496600000,19.186,19.186,19.186,19.186
1787496900000,19.236,19.251,19.225,19.251
1787497200000,19.231,19.231,19.231,19.231
1787497500000,19.251,19.251,19.251,19.251
1787497800000,19.251,19.251,19.251,19.251
1787498100000,19.251,19.251,19.251,19.251
1787498400000,19.27,19.285,19.27,19.285
1787498700000,19.285,19.285,19.285,19.285
1787499000000,19.285,19.285,19.285,19.285
1787499300000,19.285,19.285,19.285,19.285
1787499600000,19.285,19.285,19.285,19.285
1787499900000,19.329,19.344,19.317,19.343
1787500200000,19.343,19.343,19.343,19.343
1787500500000,19.343,19.411,19.33,19.33
1787500800000,19.321,19.35,19.301,19.35
1787501100000,19.356,19.356,19.356,19.356
1787501400000,19.35,19.35,19.331,19.331
1787501700000,19.331,19.331,19.331,19.331
1787502000000,19.37,19.37,19.37,19.37
1787502300000,19.348,19.361,19.348,19.361
1787502600000,19.327,19.327,19.327,19.327
1787502900000,19.327,19.327,19.327,19.327
1787503200000,19.327,19.327,19.327,19.327
1787503500000,19.327,19.327,19.327,19.327
1787503800000,19.327,19.327,19.327,19.327
1787504100000,19.327,19.327,19.327,19.327
1787504400000,19.327,19.327,19.327,19.327
1787504700000,19.327,19.327,19.327,19.327
1787505000000,19.327,19.327,19.327,19.327
1787505300000,19.327,19.327,19.327,19.327
1787505600000,19.327,19.327,19.327,19.327
1787505900000,19.327,19.327,19.327,19.327
1787506200000,19.327,19.327,19.327,19.327
1787506500000,19.327,19.327,19.327,19.327
1787506800000,19.327,19.327,19.327,19.327
1787507100000,19.327,19.327,19.327,19.327
1787507400000,19.327,19.327,19.327,19.327
1787507700000,19.327,19.327,19.327,19.327
1787508000000,19.327,19.327,19.327,19.327
1787508300000,19.403,19.474,19.391,19.392
1787508600000,19.391,19.391,19.391,19.391
1787508900000,19.391,19.391,19.391,19.391
1787509200000,19.391,19.391,19.391,19.391
1787509500000,19.391,19.391,19.391,19.391
1787509800000,19.433,19.484,19.433,19.484
1787510100000,19.459,19.464,19.45,19.45
1787510400000,19.45,19.45,19.45,19.45
