t,o,h,l,c,v
1781514000000,294.9036781326103,295.8038936583817,293.05202582939967,294.00632412322034,1676.1599248490359
1781517600000,294.00632412322034,294.8918682024007,293.1394467635568,294.88773505793233,838.8613737449282
1781521200000,294.88773505793233,294.88773505793233,291.846180108184,293.4358154520832,6000.055164849847
1781524800000,293.4358154520832,294.6647059350225,292.5115906575945,294.4729056239681,853.8755446768693
1781528400000,294.4729056239681,296.05022204880277,293.31636750068964,295.8800042395978,2300.198172302277
1781532000000,295.8800042395978,297.22785677976447,295.2604052721482,296.4699238008048,735.9024157145511
1781535600000,296.4699238008048,298.7185630653886,295.5994746605631,298.7185630653886,493.8264416528732
1781539200000,298.7185630653886,298.7185630653886,295.5138501376826,297.33840695653686,808.4480031589779
1781542800000,297.33840695653686,298.0339837113754,296.206766187436,297.3532506004046,244.04468569745103
1781546400000,297.3532506004046,297.96059369648464,295.9014080446203,295.9014080446203,534.8753829206327
1781550000000,295.9014080446203,296.99425268902615,295.3236170843274,295.777910066822,258.7503966702153
1781553600000,295.777910066822,297.3851134034817,295.777910066822,296.6426868450908,204.49079521192454
1781557200000,296.6426868450908,297.0181502855918,296.3916984690328,296.3916984690328,9.55210735181079
1781560800000,296.3916984690328,296.702459349644,296.3916984690328,296.5708455209158,198.89899025451254
1781564400000,296.5708455209158,298.35218142512394,296.5708455209158,297.04599827715435,3182.2004752321645
1781568000000,297.04599827715435,298.11451178724093,296.6135877950119,298.11451178724093,545.4144789641452
1781571600000,298.11451178724093,298.11451178724093,296.7536406346587,297.4712567621799,101.74863189197465
1781575200000,297.4712567621799,298.5483814237208,296.40600721402916,297.18118276489906,340.5977752573989
1781578800000,297.18118276489906,298.53399807270864,296.2978159679102,297.0788527318893,1297.7463231835745
1781582400000,297.0788527318893,297.9529733549778,296.87868696484475,296.87868696484475,1174.6558213379506
1781586000000,296.87868696484475,298.0546221255822,296.7185373914776,296.89009575255517,214.44658651258382
1781589600000,296.89009575255517,297.2114626599623,295.69343843594163,297.04189929059834,149.7122219607697
1781593200000,297.04189929059834,297.5884340388214,295.69254966488984,295.86463878732184,220.83551336146357
1781596800000,295.86463878732184,298.5029330005657,295.86463878732184,297.9776323892961,721.5032161605709
1781600400000,297.9776323892961,298.16020193529283,295.8605454719743,295.8605454719743,456.3787974876844
1781604000000,295.8605454719743,296.4661840346612,295.8605454719743,296.3813009367955,0.3740816429565978
1781607600000,296.3813009367955,296.3813009367955,296.3813009367955,296.3813009367955,0.0
1781611200000,296.3813009367955,298.0166826811822,295.8516955095104,297.3009112517043,277.61930994336745
1781614800000,297.3009112517043,298.43051329007665,294.6928468828056,298.43051329007665,2929.03796123133
1781618400000,298.43051329007665,298.43051329007665,296.93154310072697,297.96889547955925,258.6288523251511
1781622000000,297.96889547955925,299.4670050484762,296.8321476700744,299.4670050484762,701.456051083959
1781625600000,299.4670050484762,300.31410115726885,298.2876528080309,298.9992962741382,1359.701419936082
1781629200000,298.9992962741382,300.91128757013627,298.88791584242426,299.1952522815159,659.5677785283101
1781632800000,299.1952522815159,300.5180568405112,299.1952522815159,299.2642667169555,210.81063542478304
1781636400000,299.2642667169555,300.3191171604597,298.5125758679873,299.0612517169672,863.3664433905935
1781640000000,299.0612517169672,300.1322182110381,298.7169828518187,299.89246324754697,170.43947279122318
1781643600000,299.89246324754697,299.89246324754697,299.6446221981749,299.6446221981749,78.13889745540024
1781647200000,299.6446221981749,300.92869933325574,298.84510346056925,299.5279382410213,108.32825863943884
1781650800000,299.5279382410213,300.06499461444446,299.5279382410213,299.67120940474524,0.9254340593297012
1781654400000,299.67120940474524,300.9371038423294,298.969755569391,298.969755569391,2272.1667102752003
1781658000000,298.969755569391,300.9069250341814,298.969755569391,300.27677297576525,106.66363512535632
1781661600000,300.27677297576525,300.76646080851094,298.9120519627181,300.19392451265537,566.6140329201786
1781665200000,300.19392451265537,300.19392451265537,299.35193542743684,299.35193542743684,1.5779139868315621
1781668800000,299.35193542743684,300.41479691945636,298.69653391483126,300.31795917841833,12.510227735372709
1781672400000,300.31795917841833,300.72151358699966,299.71412462408165,300.22193378735426,27.605221177696038
1781676000000,300.22193378735426,300.4201791849076,298.9722650855139,299.4125335950354,10.090315335551484
1781679600000,299.4125335950354,300.56670964006656,299.2175996140708,299.2175996140708,506.61561309906654
1781683200000,299.2175996140708,301.46671432341316,298.9507220726595,300.25814879636425,50.243837062108966
1781686800000,300.25814879636425,300.9959941629426,300.25814879636425,300.66205859050547,1.0181008461726493
1781690400000,300.66205859050547,300.78182140867625,300.11347531313595,300.37986506282306,14.550732386862592
1781694000000,300.37986506282306,301.3593264947,300.1198933688983,300.1198933688983,56.836915853930705
1781697600000,300.1198933688983,300.7118633210542,299.0228775162023,300.7118633210542,20.30888434723703
1781701200000,300.7118633210542,301.2791634344144,299.5031961187336,300.2294416047031,2545.722946470987
1781704800000,300.2294416047031,301.1640540921036,299.22241062449314,299.69743221042177,922.9448032595967
1781708400000,299.69743221042177,299.69743221042177,297.363393081773,298.73973635427905,1443.602255202368
1781712000000,298.73973635427905,299.5500019171718,297.6408552774443,298.9584115157993,232.58206077729983
1781715600000,298.9584115157993,298.9645038928093,297.2618220055921,297.622628750536,823.5767282486303
1781719200000,297.622628750536,298.53136547401897,296.3417592079342,296.4145957890712,1527.3424652199963
1781722800000,296.4145957890712,296.8655448190355,295.5058723517534,296.72617134836713,135.11829719281837
1781726400000,296.72617134836713,297.1457947847926,295.7285675575945,295.9382678315981,32.46259694331117
1781730000000,295.9382678315981,299.5559833710125,295.9382678315981,298.99202654329144,2006.187421255645
1781733600000,298.99202654329144,299.07836555069116,297.6732747502778,298.23779690436805,53.62599585709708
1781737200000,298.23779690436805,298.5702685851085,298.23779690436805,298.5702685851085,34.67708556049513
1781740800000,298.5702685851085,298.5702685851085,297.8109465352969,297.8109465352969,8.66741315248048
1781744400000,297.8109465352969,300.13868037631704,297.8109465352969,300.13868037631704,577.8110458496562
1781748000000,300.13868037631704,300.13868037631704,299.2818119759291,299.6752747448828,4.24983773703213
1781751600000,299.6752747448828,299.6752747448828,298.87517445159375,299.3855572172402,15.126895513777905
1781755200000,299.3855572172402,299.3855572172402,298.9510550999038,299.0545934592916,260.1226326305693
1781758800000,299.0545934592916,299.0545934592916,297.77132236310524,299.04071515680255,489.8135337458751
1781762400000,299.04071515680255,299.04071515680255,298.49598739386204,298.66704292487447,10.300948834518866
1781766000000,298.66704292487447,299.3324120519321,298.34796867514854,299.27395474562405,76.21733019793784
1781769600000,299.27395474562405,299.2785659452043,298.77464518077227,299.21397798581006,6.512374442060803
1781773200000,299.21397798581006,299.21397798581006,299.21397798581006,299.21397798581006,0.0
1781776800000,299.21397798581006,299.9012937308938,297.4995647359624,297.4995647359624,250.57738699735572
1781780400000,297.4995647359624,298.5836145630655,297.4995647359624,297.748088696721,361.5687946120289
1781784000000,297.748088696721,298.2839164278756,296.93271416788633,298.2839164278756,798.2948230662664
1781787600000,298.2839164278756,301.183124399828,295.37769296783733,298.73744202695735,6793.893156694158
1781791200000,298.73744202695735,301.3245133654625,297.89630065235633,300.73881938391816,1541.416889339656
1781794800000,300.73881938391816,300.73881938391816,297.1970828519691,298.352427404049,2006.5414949750766
1781798400000,298.352427404049,299.00096639000316,297.30319588723324,297.49379024427105,125.04140224171466
