t,o,h,l,c,v
1781514000000,167.1171837386046,167.1171837386046,166.99227409231412,166.99348818229274,274.62699152446544
1781517600000,166.99348818229274,167.61347684603328,166.43826129027113,166.8531571581008,538.2807986453054
1781521200000,166.8531571581008,168.36940325188337,166.78225439473687,168.36940325188337,1755.1782738303536
1781524800000,168.36940325188337,168.83810368854577,167.22077798794479,168.47264822054274,1665.3067650641474
1781528400000,168.47264822054274,171.2044786547299,168.25180808262135,170.70562392953815,16496.38831743378
1781532000000,170.70562392953815,172.15040489853845,169.31886133917405,171.04407476697082,7471.280700750408
1781535600000,171.04407476697082,173.36907929923836,170.58813842201494,173.36907929923836,3972.0810395232656
1781539200000,173.36907929923836,173.77511163165224,171.72390573565212,172.4801027996311,3046.417019565176
1781542800000,172.4801027996311,172.5140727704501,171.1636851810443,171.1683358874153,1491.8934964082514
1781546400000,171.1683358874153,171.71838946287266,169.8028864070722,170.2270771048778,2694.2945794267266
1781550000000,170.2270771048778,170.42191568975045,168.77979340001514,169.7286346466848,3166.709324740315
1781553600000,169.7286346466848,170.2730952658024,169.02937251016212,169.30683482582265,2035.0593105320759
1781557200000,169.30683482582265,169.30683482582265,169.16343915587473,169.16343915587473,204.30954406970935
1781560800000,169.16343915587473,169.44898328378554,169.068690875109,169.44898328378554,417.3191836113979
1781564400000,169.44898328378554,169.44898328378554,168.896230081484,169.06606433655918,0.8668665627451552
1781568000000,169.06606433655918,169.59272080675768,168.58106947352115,168.58106947352115,907.2110213870696
1781571600000,168.58106947352115,169.20025402004967,168.16423600654102,169.13535736931095,869.5443331151855
1781575200000,169.13535736931095,169.13535736931095,167.29233901251973,167.29233901251973,1710.8160694124233
1781578800000,167.29233901251973,168.23216172870522,167.12764301058806,168.23216172870522,1020.9705906605984
1781582400000,168.23216172870522,168.62700862235585,168.04941450901202,168.04941450901202,822.5857755460647
1781586000000,168.04941450901202,168.55532274240474,168.04941450901202,168.55532274240474,556.5725945535481
1781589600000,168.55532274240474,169.0508337580003,168.55532274240474,169.0508337580003,894.7697556053458
1781593200000,169.0508337580003,169.7457238825222,169.0508337580003,169.640987936466,227.09102503221777
1781596800000,169.640987936466,170.9695672036631,168.64828978564717,170.9695672036631,2249.769134839472
1781600400000,170.9695672036631,170.9695672036631,168.94164070445797,169.36554486712282,3292.7897102927436
1781604000000,169.36554486712282,170.1343582628756,169.2763145628141,169.65260724393926,727.4129689010688
1781607600000,169.65260724393926,170.14265093517864,169.65260724393926,169.65707092890253,151.25016969960112
1781611200000,169.65707092890253,170.19747331771316,168.9069549800341,169.02949148518934,1833.054050895738
1781614800000,169.02949148518934,172.8912755289141,168.47257000063667,170.68810183610066,13227.173837340119
1781618400000,170.68810183610066,171.54660043469377,167.20343210335707,167.78914680938092,8989.463838815882
1781622000000,167.78914680938092,170.2284391266616,167.51015211874574,169.64727426169563,5175.804324576632
1781625600000,169.64727426169563,172.44871853558755,169.03850872758866,171.68632304796978,6690.534656124436
1781629200000,171.68632304796978,171.98817021132362,169.39949882604975,170.36731962974875,8228.75130481229
1781632800000,170.36731962974875,171.6731108907815,170.36731962974875,170.72236816378415,1928.0754254996311
1781636400000,170.72236816378415,172.7430247229902,169.68752378473403,169.68752378473403,9466.356846664057
1781640000000,169.68752378473403,170.49692846298353,168.67738143437037,169.3958231155771,432.90153532481906
1781643600000,169.3958231155771,170.171281375617,168.67766195353497,168.67766195353497,219.47519740470665
1781647200000,168.67766195353497,168.67766195353497,168.67766195353497,168.67766195353497,0.0
1781650800000,168.67766195353497,169.62459144786706,168.67766195353497,168.71552011278223,908.8317944002008
1781654400000,168.71552011278223,169.45680847519702,168.71552011278223,169.2618421622527,563.900935700316
1781658000000,169.2618421622527,170.32503299292728,168.82167781659928,170.2941048914902,1324.4808842491104
1781661600000,170.2941048914902,171.49226483479973,170.2941048914902,170.77754225724635,1923.524513099126
1781665200000,170.77754225724635,170.77754225724635,169.52585388507455,170.17029874679545,1539.8776825580735
1781668800000,170.17029874679545,170.5753722075736,169.7863419606069,170.2737889189362,368.4631616828925
1781672400000,170.2737889189362,170.50784734706448,169.97593433711862,170.2531352079368,914.3286277670851
1781676000000,170.2531352079368,170.42192524407804,169.83713061856733,169.83713061856733,187.40087633976842
1781679600000,169.83713061856733,170.10564721958698,169.21369481070695,169.88594120635656,387.5831399021944
1781683200000,169.88594120635656,169.88594120635656,168.38647932736242,168.42251424510405,1902.027004131769
1781686800000,168.42251424510405,168.68400874663928,167.63159287873228,167.63159287873228,1322.6420045458447
1781690400000,167.63159287873228,167.93359452352647,167.63159287873228,167.73423135700938,645.55592684969
1781694000000,167.73423135700938,167.82883591106477,167.23228317061597,167.77550578750444,325.1447724864145
1781697600000,167.77550578750444,167.97421372240896,167.21975816753834,167.45019518675906,668.670249361676
1781701200000,167.45019518675906,171.37567964962253,166.07909085736335,170.20053627882456,12075.47274252974
1781704800000,170.20053627882456,170.20053627882456,167.59460952946745,168.82305327932093,6091.1284453371545
1781708400000,168.82305327932093,172.07097200777915,168.12548364290225,171.8095276663174,7326.747724610213
1781712000000,171.8095276663174,172.7538073845195,171.26906079862428,172.24750620475146,4440.437833634701
1781715600000,172.24750620475146,173.17657567475663,171.99340266630793,172.7663888754739,3470.7640124684526
1781719200000,172.7663888754739,173.83336365779348,168.6498691710131,171.84351841842675,14455.861310134682
1781722800000,171.84351841842675,171.9862199240864,165.365471887443,165.5630557092357,14804.695147755518
1781726400000,165.5630557092357,166.77516025003357,165.5630557092357,166.68166734995555,1724.4635990953461
1781730000000,166.68166734995555,166.90355990798423,165.51284922380586,166.0253467663122,1071.1735370579606
1781733600000,166.0253467663122,166.34097833981988,165.28100651701294,166.06792678167864,1251.7100165295433
1781737200000,166.06792678167864,166.27956126440813,165.9934928616683,166.23835345657346,226.88746750919216
1781740800000,166.23835345657346,167.60448273177275,166.23835345657346,167.60448273177275,1270.2700389598708
1781744400000,167.60448273177275,167.60448273177275,167.27593264795613,167.41196826385257,41.29709019962759
1781748000000,167.41196826385257,167.52190926636635,167.21688479955958,167.52190926636635,184.04839157782143
1781751600000,167.52190926636635,167.76384788644813,167.24311876229433,167.31324134349597,379.48251885913294
1781755200000,167.31324134349597,167.34662456092158,165.88135518207375,165.97482854666106,1986.4322710612475
1781758800000,165.97482854666106,166.49790435619258,165.97482854666106,166.39151767864917,285.3853608213225
1781762400000,166.39151767864917,167.19624386080432,166.1681264782504,166.94802704393302,1208.6829518289667
1781766000000,166.94802704393302,168.2971912640653,166.94802704393302,167.95565886519515,424.9370606109373
1781769600000,167.95565886519515,168.8079204044255,167.80798279052814,167.80798279052814,1862.465686476339
1781773200000,167.80798279052814,168.80432285418144,167.80798279052814,168.44529636160485,286.33093272647534
1781776800000,168.44529636160485,168.44529636160485,166.7354021820966,167.32409416794766,2167.1275490704093
1781780400000,167.32409416794766,167.35573685277956,166.70618806613913,166.70618806613913,1207.1822148046797
1781784000000,166.70618806613913,168.05999253199408,166.5279372371432,168.05999253199408,1606.60207153906
1781787600000,168.05999253199408,168.55864859056769,163.86787227753274,164.51317595984048,7393.576759617276
1781791200000,164.51317595984048,169.17502581383036,164.51317595984048,168.74726947984612,9723.299804774875
1781794800000,168.74726947984612,169.26112788035536,163.73973138641765,163.7831222338059,6582.08090496382
1781798400000,163.7831222338059,164.4599192606089,163.33376328432468,163.33376328432468,1601.321196985735
1781802000000,163.33376328432468,163.89204029369984,162.65571140333373,163.63998702588776,2161.644781153959
1781805600000,163.63998702588776,163.63998702588776,161.18339050940818,161.96951764305214,3662.626051285453
1781809200000,161.96951764305214,164.04072974099805,160.9129889807975,163.35321360012793,3852.3495040219727
1781812800000,163.35321360012793,164.31990342349619,162.96894289419365,163.60004653821423,1525.793739838368
1781816400000,163.60004653821423,164.10116776746548,163.53327250854153,163.62781437697274,565.8257628594994
1781820000000,163.62781437697274,163.6578180476178,163.62781437697274,163.6578180476178,200.70863879105409
1781823600000,163.6578180476178,163.6578180476178,163.60319682739078,163.60319682739078,11.75127787051116
1781827200000,163.60319682739078,164.7545361755485,163.60319682739078,164.5463490236836,1358.9765628928742
1781830800000,164.5463490236836,164.80555404396247,164.5463490236836,164.61229548669328,454.78220351746654
1781834400000,164.61229548669328,164.82044926882955,164.54025688303201,164.59965667436342,248.09404654416258
1781838000000,164.59965667436342,164.59965667436342,163.31898220280155,163.78908602715572,944.5563254736592
1781841600000,163.78908602715572,163.80821300895218,162.54029562511852,162.67707354916908,1106.9421271448473
1781845200000,162.67707354916908,163.20948287116994,162.55866531488422,163.20948287116994,748.4423952501612
1781848800000,163.20948287116994,164.47449997859312,162.78332091527358,164.26812344878658,1514.5426374020503
1781852400000,164.26812344878658,164.26812344878658,162.62174871873216,162.99720706733666,1475.946598829525
1781856000000,162.99720706733666,163.35849083321003,162.86135838137912,163.35849083321003,230.80887864129298
1781859600000,163.35849083321003,163.35849083321003,162.96691578348938,163.3200367587525,442.17110023492484
1781863200000,163.3200367587525,163.3200367587525,162.66266147452404,162.66266147452404,200.4222054930109
1781866800000,162.66266147452404,163.34754501239993,162.23035894653512,163.06082058107913,764.3631892298574
1781870400000,163.06082058107913,163.65648172522094,162.78837067547155,163.65648172522094,1236.9350877223799
1781874000000,163.65648172522094,164.7258426009952,163.65648172522094,164.0788898243729,1569.2048213128492
1781877600000,164.0788898243729,165.2524756283932,164.0788898243729,164.37970509713568,952.9027972385119
1781881200000,164.37970509713568,165.57213839444256,164.37970509713568,165.02366699729245,325.5314995133335
1781884800000,165.02366699729245,165.3136425452073,164.75475942211807,165.08824834970267,682.2048287698013
1781888400000,165.08824834970267,165.08824834970267,164.58807497698913,164.75440407301153,431.40177512862647
1781892000000,164.75440407301153,164.86080705253744,164.64455992324667,164.77133506980246,62.32347089375862
1781895600000,164.77133506980246,164.78860972921538,164.59189346617984,164.59189346617984,401.02414581509026
1781899200000,164.59189346617984,164.59189346617984,164.41494487004312,164.4881637280519,234.13849149321697
1781902800000,164.4881637280519,165.30823503302832,164.4881637280519,165.30823503302832,3.9763540409667693
1781906400000,165.30823503302832,165.30823503302832,164.62981393941172,164.73832079608377,51.67946907968295
1781910000000,164.73832079608377,165.23220958207082,164.73832079608377,164.92754764794188,457.60184432440985
1781913600000,164.92754764794188,165.76177009532657,164.92754764794188,165.6165058195897,317.26746932883583
1781917200000,165.6165058195897,165.66988878537404,165.6165058195897,165.62360218357085,9.919563976393048
1781920800000,165.62360218357085,165.75095430642392,165.5118378675782,165.5118378675782,35.18345371270483
1781924400000,165.5118378675782,165.92177460693358,165.5118378675782,165.92177460693358,19.14519916022377
1781928000000,165.92177460693358,166.20015986351717,165.5957533454615,165.73951001449808,89.508365516373
1781931600000,165.73951001449808,166.24716235084475,165.4853455672481,165.84336479054062,1089.4137808133344
1781935200000,165.84336479054062,165.89166632141868,165.84336479054062,165.89166632141868,9.009934723915503
1781938800000,165.89166632141868,166.12820709160576,165.42551734610626,165.42551734610626,457.72325093164505
1781942400000,165.42551734610626,165.72930411229595,165.42551734610626,165.599031501258,68.74143422399955
1781946000000,165.599031501258,165.6761344292789,165.4955507082168,165.4955507082168,194.92838506589553
1781949600000,165.4955507082168,165.83785640273013,165.4955507082168,165.83785640273013,200.09393762134675
1781953200000,165.83785640273013,166.28330528042736,165.77645600369473,165.8646556509107,138.25083543134608
1781956800000,165.8646556509107,166.01891733978002,165.53518558134337,165.53518558134337,43.11372042111665
1781960400000,165.53518558134337,165.53518558134337,164.68737578635515,165.5250755432569,2314.1269036089616
1781964000000,165.5250755432569,165.7637497537884,163.3564897842548,165.72000986681869,4380.265004296302
1781967600000,165.72000986681869,166.85254041228802,165.72000986681869,166.35671823051678,1579.256453056184
1781971200000,166.35671823051678,166.35671823051678,165.6431875154055,165.88680260402188,325.6859491017129
1781974800000,165.88680260402188,165.88680260402188,165.23733247962463,165.52443468452216,1019.8247382085123
1781978400000,165.52443468452216,165.52443468452216,165.26491357898192,165.3875311049934,102.8305326177427
1781982000000,165.3875311049934,165.3875311049934,165.3875311049934,165.3875311049934,0.0
1781985600000,165.3875311049934,165.77327208177468,165.31302916980778,165.77327208177468,165.33539545502762
1781989200000,165.77327208177468,166.356632777902,165.77327208177468,166.30084397959388,533.1805353287709
1781992800000,166.30084397959388,166.37276363650145,165.78278250012772,166.15674956950056,270.1251537422363
1781996400000,166.15674956950056,166.77587983349696,165.6828400928227,166.77587983349696,8.492175115340016
1782000000000,166.77587983349696,166.77587983349696,166.31894206039442,166.31894206039442,30.04477510072866
1782003600000,166.31894206039442,166.31894206039442,166.31894206039442,166.31894206039442,0.0
1782007200000,166.31894206039442,166.66610818853013,166.31894206039442,166.66610818853013,23.741933011094506
1782010800000,166.66610818853013,166.66610818853013,166.22523570156233,166.53753855819534,326.4256162202178
1782014400000,166.53753855819534,166.9076225776875,166.25528107026145,166.25528107026145,412.7647401672078
1782018000000,166.25528107026145,166.55783146074944,166.25528107026145,166.44489740672077,37.177195827236986
1782021600000,166.44489740672077,166.44489740672077,166.44489740672077,166.44489740672077,0.0
1782025200000,166.44489740672077,166.44489740672077,166.44489740672077,166.44489740672077,0.0
1782028800000,166.44489740672077,166.44489740672077,165.90129328335277,165.90129328335277,631.3305148803325
1782032400000,165.90129328335277,166.39061608420513,165.8762094294125,166.2828497196568,289.45498911825433
1782036000000,166.2828497196568,166.53639282742458,166.13562561791147,166.53639282742458,293.285072584028
1782039600000,166.53639282742458,166.53639282742458,165.78582677258817,165.8783005065554,774.9622539699516
1782043200000,165.8783005065554,166.0656218713634,165.6745405462293,165.89897682155703,125.49964837743295
1782046800000,165.89897682155703,166.64221490283023,165.59240660152776,165.79654567762884,370.6700862211584
1782050400000,165.79654567762884,165.8059854641803,165.7300416755826,165.7300416755826,73.00919186329747
1782054000000,165.7300416755826,166.14751014076958,165.7300416755826,166.08284579090068,112.84871216991262
1782057600000,166.08284579090068,167.1222253729312,165.6180168788006,166.1033219272794,1774.2360195108743
1782061200000,166.1033219272794,166.14754449139537,165.43679224793638,165.84592115782198,353.8257850423856
1782064800000,165.84592115782198,165.98001531424893,165.69882422201633,165.69882422201633,172.43025630084597
1782068400000,165.69882422201633,166.25167408826974,165.65013534858437,165.82447590486186,1076.2606789942413
1782072000000,165.82447590486186,166.89296001319036,165.28357021183862,165.31752931538225,2660.8800347429606
1782075600000,165.31752931538225,165.5828964222106,163.9362034014883,165.05205178624126,1125.4964128644215
1782079200000,165.05205178624126,165.31789923754175,164.2851059069949,165.31789923754175,403.72108339535816
1782082800000,165.31789923754175,165.40207399744355,164.05591715263134,164.11879096127728,1278.8548236894283
1782086400000,164.11879096127728,164.43101597431823,163.53938692974845,164.26331555998306,1024.7079356742138
1782090000000,164.26331555998306,166.05905328978653,163.93320253069894,165.2943666285051,2237.713301128331
1782093600000,165.2943666285051,165.7366055487597,164.5810807740879,164.5810807740879,1025.057285969593
1782097200000,164.5810807740879,164.5810807740879,163.64017907591438,163.99748170384325,1169.8255473750103
1782100800000,163.99748170384325,164.0179102075978,163.69292912944653,163.84293917399498,239.17526145078915
1782104400000,163.84293917399498,164.27674976772946,163.7588285471045,164.07865481244946,81.07068102746565
1782108000000,164.07865481244946,164.1930461943435,163.70607899766281,163.70607899766281,42.69383648119878
1782111600000,163.70607899766281,165.0821035067686,163.70607899766281,165.0821035067686,1618.1248506945897
1782115200000,165.0821035067686,165.49321021223813,164.32913986976374,164.32913986976374,1231.3834251840406
1782118800000,164.32913986976374,164.35979826666366,163.9995364813318,164.02563720502326,147.51914450992803
1782122400000,164.02563720502326,164.2794802905305,163.79370447644297,163.79370447644297,452.18938961044904
1782126000000,163.79370447644297,165.42647235435203,163.51995774227822,165.42647235435203,1617.6632693521371
1782129600000,165.42647235435203,165.5629463067605,164.35501388817966,165.5629463067605,970.9163339912958
1782133200000,165.5629463067605,174.69877546719513,164.74267318041493,174.07746471112085,15240.20669197051
1782136800000,174.07746471112085,175.527113148214,165.64345933385138,165.75103685242556,14830.828502633514
1782140400000,165.75103685242556,167.2147316713864,165.54804958895758,166.63388637391992,5510.6708613979
1782144000000,166.63388637391992,166.63388637391992,164.22316648594276,165.15327965631917,2729.178656346193
1782147600000,165.15327965631917,165.15327965631917,163.94188514881122,164.63637153956546,2054.9571169246547
1782151200000,164.63637153956546,165.3042142041692,163.24142030896022,163.24142030896022,2342.3114244000294
1782154800000,163.24142030896022,164.73390855277523,163.24142030896022,164.73390855277523,1318.9984479945954
1782158400000,164.73390855277523,165.2067487230156,164.36876230747114,164.36876230747114,601.9726787782326
1782162000000,164.36876230747114,165.10308918195753,163.98174288732903,163.98174288732903,519.7136236254198
1782165600000,163.98174288732903,164.95350351066205,163.98174288732903,164.4261432351654,455.375832582271
1782169200000,164.4261432351654,164.65077174810236,164.4261432351654,164.65077174810236,4.891838642437103
1782172800000,164.65077174810236,164.69313320323337,163.34939162277809,163.67306851738374,1957.2198304376798
1782176400000,163.67306851738374,164.2845948281862,163.67306851738374,163.70255100153733,1032.9741668643255
1782180000000,163.70255100153733,163.92940340934223,163.6358057335268,163.7437864472313,223.69437475450368
1782183600000,163.7437864472313,163.7437864472313,162.67252233434618,162.94446784474297,1074.3402229048113
1782187200000,162.94446784474297,163.06218117163678,162.77535964267489,162.78856171679675,601.2648223848915
1782190800000,162.78856171679675,162.78856171679675,161.82493730538022,161.84732171414961,361.4837475147099
1782194400000,161.84732171414961,161.84732171414961,159.4841124523137,159.70165924774292,2021.7219035730918
1782198000000,159.70165924774292,160.29443569394707,159.69882723552476,159.77067569478177,262.6992757532259
1782201600000,159.77067569478177,159.77067569478177,157.26580648549006,157.60241773764653,2189.333037425446
1782205200000,157.60241773764653,158.43259690549678,157.60241773764653,158.43259690549678,1875.7534913942027
1782208800000,158.43259690549678,159.1058503662549,158.2937208678629,158.2937208678629,1335.593750559637
1782212400000,158.2937208678629,160.49970330409565,158.2937208678629,159.83821438125668,1744.656639662348
1782216000000,159.83821438125668,159.95286653725665,158.55084278378936,158.72955194241354,2516.807786199021
1782219600000,158.72955194241354,161.71420241939995,157.46529567697414,161.71420241939995,11211.045502632462
1782223200000,161.71420241939995,163.30281344388587,160.16009501636293,160.6891827910801,10133.884073367419
1782226800000,160.6891827910801,160.78719131335248,159.187654572048,160.52593727714327,2172.37186981747
1782230400000,160.52593727714327,160.97866591914928,158.80340938223998,158.80340938223998,3127.2304436910567
1782234000000,158.80340938223998,161.06717895850696,158.49537585265645,158.9976011140517,2762.7606336951335
1782237600000,158.9976011140517,159.48834580744148,157.11856784640915,158.05505418381316,1565.6940622160655
1782241200000,158.05505418381316,158.52932960374534,157.28217277749286,158.30250363398835,1466.9794548722057
1782244800000,158.30250363398835,158.87452897536386,157.90436600691487,158.87452897536386,279.46087414540426
1782248400000,158.87452897536386,158.87452897536386,158.79825343854014,158.79825343854014,0.009041972550790476
1782252000000,158.79825343854014,158.9894136087905,158.79825343854014,158.9894136087905,29.61840162577385
1782255600000,158.9894136087905,159.40815733297893,158.52783161359503,159.21807302826466,457.3262138938195
1782259200000,159.21807302826466,160.14033054411433,158.56002983803432,159.83814146973916,1393.760417183252
1782262800000,159.83814146973916,159.90346614458787,159.4470007643235,159.8970882322166,30.30675124185817
1782266400000,159.8970882322166,159.97647319035187,159.12500634197147,159.12500634197147,409.99168671923167
1782270000000,159.12500634197147,159.3468529904481,158.34066381771677,158.82884007869868,840.8300730243355
1782273600000,158.82884007869868,159.40992710842693,158.76707337955906,158.76707337955906,243.82773654022586
1782277200000,158.76707337955906,159.86488092999184,158.76707337955906,159.86488092999184,723.4467457623244
1782280800000,159.86488092999184,159.86488092999184,159.86488092999184,159.86488092999184,0.0
1782284400000,159.86488092999184,160.15112128683143,159.0350434304035,159.62275779440606,408.1053233410725
1782288000000,159.62275779440606,159.62275779440606,159.62275779440606,159.62275779440606,0.0
1782291600000,159.62275779440606,159.62275779440606,159.55440923255108,159.55440923255108,7.682388441226287
1782295200000,159.55440923255108,159.6543917630133,159.40683896233014,159.5422704799249,239.54090202596967
1782298800000,159.5422704799249,160.07030322013003,158.4908207333145,160.07030322013003,2069.4522383420626
1782302400000,160.07030322013003,160.07030322013003,158.64357807651484,158.64357807651484,1525.4758815780262
1782306000000,158.64357807651484,158.64422936044767,154.00607406971827,154.27859630546442,20249.80017933309
1782309600000,154.27859630546442,154.55953896261306,152.78552907126112,154.35437867422704,8648.388420627634
1782313200000,154.35437867422704,154.9847949875154,153.24028616206022,153.24028616206022,3622.4777912254362
1782316800000,153.24028616206022,153.24028616206022,150.61277074749952,150.8918363327365,1790.4636574597387
1782320400000,150.8918363327365,150.92740175991878,148.75472338406553,149.4777409850495,2371.3949651254793
1782324000000,149.4777409850495,151.87485411013384,149.4777409850495,151.23779500939332,4026.719398582647
1782327600000,151.23779500939332,151.38003678075083,150.14481379652264,150.25744813970155,689.308646664029
1782331200000,150.25744813970155,153.36975608647205,149.76738038670538,153.36975608647205,2575.7083892402106
1782334800000,153.36975608647205,154.01493914891938,153.0566566006853,153.81071601838025,1593.9307229481922
1782338400000,153.81071601838025,153.97973660956913,152.83970719747606,152.83970719747606,771.4125204619835
1782342000000,152.83970719747606,153.58190042750556,152.83970719747606,153.08882462981532,59.83067204362993
1782345600000,153.08882462981532,154.25735688930993,152.62404688160163,153.14132614319672,2757.726908779298
1782349200000,153.14132614319672,153.14132614319672,152.3814215834416,152.43208888129402,47.72620526814594
1782352800000,152.43208888129402,153.05034437913255,152.43208888129402,152.9758065134306,359.27946427494084
1782356400000,152.9758065134306,153.3912114991767,152.86008946350316,153.3912114991767,290.87080694535615
1782360000000,153.3912114991767,153.70897732982107,152.80889078242868,153.70897732982107,629.2448364055429
1782363600000,153.70897732982107,154.62934651714752,153.67273774381152,154.19291620558516,498.4530750986129
1782367200000,154.19291620558516,154.19291620558516,154.19291620558516,154.19291620558516,0.0
1782370800000,154.19291620558516,154.51365333556816,153.916079855976,154.51365333556816,584.589325483686
1782374400000,154.51365333556816,154.51365333556816,153.97578199676158,153.99639402076235,693.8881344642557
1782378000000,153.99639402076235,154.19636278677942,153.8189676125547,154.19168678234385,82.40706397415074
1782381600000,154.19168678234385,154.32066764865152,153.9055569303332,153.9055569303332,603.0864411192387
1782385200000,153.9055569303332,153.9055569303332,152.772546207628,152.772546207628,812.9505659416992
1782388800000,152.772546207628,153.2466221089271,152.3264031238279,152.65340717038984,1466.875304875992
1782392400000,152.65340717038984,152.65340717038984,144.51085558196658,144.51085558196658,5004.391273604355
1782396000000,144.51085558196658,149.90967631520095,143.56206938214652,147.64183219145747,11265.555823379991
1782399600000,147.64183219145747,148.1627464741327,145.3634393955249,146.06196748933155,2625.4207665724975
1782403200000,146.06196748933155,147.57183631568125,145.45812235018442,145.50471662724377,2195.9638381257964
1782406800000,145.50471662724377,145.50471662724377,144.43774674360782,144.94321731720433,598.7596650625827
1782410400000,144.94321731720433,145.13079724990553,142.83086085893632,143.69550193336488,1430.453280584984
1782414000000,143.69550193336488,143.93293388766244,141.9732393256452,142.56963458963125,5076.392233728126
1782417600000,142.56963458963125,143.030458685019,142.39834633191495,143.030458685019,287.362343852472
1782421200000,143.030458685019,143.21397589917132,142.5323968460699,143.0640093334138,186.33313662395184
1782424800000,143.0640093334138,143.17296624333895,143.0640093334138,143.16875193425017,5.095949442046867
1782428400000,143.16875193425017,143.94541130699434,143.16875193425017,143.68656793707717,403.7965096069926
1782432000000,143.68656793707717,143.68656793707717,143.12918486630045,143.12918486630045,141.69789301763743
1782435600000,143.12918486630045,143.43856260401466,142.19409296501885,142.19409296501885,271.2332705352517
1782439200000,142.19409296501885,142.64249310799022,140.30438615540425,140.30438615540425,1802.8944616928522
1782442800000,140.30438615540425,142.78303288105704,139.8851493570463,142.78303288105704,2697.615876244543
1782446400000,142.78303288105704,143.2333966410364,141.92775912812357,141.92775912812357,809.1405454042817
1782450000000,141.92775912812357,143.18880861855908,141.92775912812357,142.89582556346588,308.63496323024265
1782453600000,142.89582556346588,143.5800470054836,142.32266858644167,143.52674090943418,678.0795941670259
