t,o,h,l,c,v
1781517600000,209.38602230567716,209.92486324214084,207.66447979760437,209.62522088356056,1572.764012951939
1781521200000,209.62522088356056,209.89224605223995,208.06134105732636,208.50985099341204,7327.2039172749
1781524800000,208.50985099341204,209.1471041278089,206.8529948346213,208.1849831856535,11110.036819697807
1781528400000,208.1849831856535,210.8108322576784,207.35090857203076,208.72091531820965,12553.985461076802
1781532000000,208.72091531820965,210.68553717700058,208.01727001591212,210.6104890949962,11255.525097191177
1781535600000,210.6104890949962,212.6131025091614,209.99550910290694,212.18799957970097,5971.75208776377
1781539200000,212.18799957970097,213.11535975205072,211.45254333802686,212.88898421200668,9641.911972677386
1781542800000,212.88898421200668,213.01334106255075,211.72735562047293,212.18343233894902,3738.388395636385
1781546400000,212.18343233894902,212.72322951879826,211.38137229828294,212.3438192059826,3710.259887337762
1781550000000,212.3438192059826,212.98885131594503,210.9990069411834,212.17571774143653,6036.3370841452925
1781553600000,212.17571774143653,212.73987210084826,211.5071092203713,212.47208150632665,3149.2370632716584
1781557200000,212.47208150632665,212.91699319973634,211.71220621601577,212.65814311515481,2239.3049350012693
1781560800000,212.65814311515481,213.01546238344906,210.72894998300217,211.5734163409023,1061.1331154906513
1781564400000,211.5734163409023,212.08213456366227,210.96101716975957,211.5728778203533,2440.590107254044
1781568000000,211.5728778203533,212.25636118598604,210.76799657910774,211.23257514178314,16417.583559350718
1781571600000,211.23257514178314,211.60555397282374,208.90525810193301,211.3270602334782,71125.26544086299
1781575200000,211.3270602334782,211.96427845247317,210.21888598477602,211.21709129230732,11720.94112528105
1781578800000,211.21709129230732,211.628370187233,210.56767872243628,211.25470950567538,12835.764128527913
1781582400000,211.25470950567538,212.07762569434752,210.75189103619246,211.1976013840882,6945.013240931121
1781586000000,211.1976013840882,211.66748709209227,210.59675279640737,211.20319505981303,4534.740726378811
1781589600000,211.20319505981303,211.4789264203098,210.3564292633227,211.1949443985362,1836.1676241583862
1781593200000,211.1949443985362,212.16821454745374,210.01671739686094,210.96665536782996,3031.6392679867254
1781596800000,210.96665536782996,212.29219246595974,210.9198027390702,212.00878608322645,2442.2145441761245
1781600400000,212.00878608322645,212.37745523398564,210.76504513396694,211.50719417330447,3203.4696328287164
1781604000000,211.50719417330447,211.83094019493763,210.78950721032442,211.53302910326013,1473.4696716129977
1781607600000,211.53302910326013,212.83612842983047,211.44571965756515,211.607750321939,2349.9858412101985
1781611200000,211.607750321939,212.33138582746614,210.94541916221334,210.97657856276686,2624.1215915588946
1781614800000,210.97657856276686,211.65364551292083,208.74783881326871,209.4396365028185,7981.636960534674
1781618400000,209.4396365028185,210.50476064706115,208.11254108138743,209.2837349155115,11282.987846204642
1781622000000,209.2837349155115,210.21170406335057,208.3915277845657,208.93371168913473,6155.29160912315
1781625600000,208.93371168913473,210.31777256442217,208.06940152784853,208.8310535602373,14703.843098514346
1781629200000,208.8310535602373,209.93263312618578,208.2819559579627,209.6651140779934,6073.392292041773
1781632800000,209.6651140779934,210.36768248819448,208.6099613520095,208.84357241280156,5304.722200041998
1781636400000,208.84357241280156,209.6393496107547,207.6018419480829,207.6018419480829,22772.971672357777
1781640000000,207.6018419480829,208.41507577495176,206.65223777231273,208.41507577495176,8022.834727395868
1781643600000,208.41507577495176,208.69990107869373,207.54153507444585,208.17766220471484,1727.0724146416505
1781647200000,208.17766220471484,208.53788138457037,207.3180559280331,207.49445647629867,1709.3915760115713
1781650800000,207.49445647629867,208.4066602257338,207.39483939305177,207.71290337967667,2009.4311738698575
1781654400000,207.71290337967667,208.49852931536157,207.22594538912386,207.70185873950933,2409.0627887782994
1781658000000,207.70185873950933,208.5341872651951,207.28832804475323,208.08898672192657,1088.6700153202687
1781661600000,208.08898672192657,209.32455936092677,207.72593964503045,208.03478316841225,4492.056081504497
1781665200000,208.03478316841225,209.0831997814981,207.52775416518148,208.54305230612633,1874.884205307203
1781668800000,208.54305230612633,209.19405095195603,208.33601482281495,209.1208004910997,396.1336555688506
1781672400000,209.1208004910997,209.27093621001057,208.5114412193038,209.1940257861468,649.4906367487268
1781676000000,209.1940257861468,209.28269696582035,208.01154324375221,208.6149131892097,1837.2739568580703
1781679600000,208.6149131892097,209.4326219017131,208.40280151680443,208.59497881509563,1170.9385033386254
1781683200000,208.59497881509563,209.28658433415075,208.02223462094324,208.39971504354702,1700.302533575252
1781686800000,208.39971504354702,209.43245914905333,208.09038486986375,208.36691686012443,1093.9697379172328
1781690400000,208.36691686012443,208.99883207914814,208.11563657378204,208.8996605412413,1325.1287313625403
1781694000000,208.8996605412413,208.8996605412413,207.3995019073324,208.49431091958817,1691.4893288663186
1781697600000,208.49431091958817,208.77540140383636,207.37219819700704,208.08493500379814,1798.8346802586402
1781701200000,208.08493500379814,209.40684337019522,207.32057471351104,207.66117590010782,7678.1955122898125
