t,o,h,l,c,v
1781514000000,411.83955770708883,412.3853497617858,410.25161475253293,410.5494442313883,7125.490765756825
1781517600000,410.5494442313883,411.7201657516618,406.9729510250006,410.559715440731,5837.163857503536
1781521200000,410.559715440731,413.0721377285872,410.559715440731,411.9337044251715,11220.321811969512
1781524800000,411.9337044251715,414.00217914242063,409.8605265812222,412.1805217210712,26894.563922152054
1781528400000,412.1805217210712,414.52129853587815,409.0322680466114,410.4620104789147,38890.46090342641
1781532000000,410.4620104789147,413.1165731276122,407.3223015899449,411.25499990784704,40491.26604576136
1781535600000,411.25499990784704,411.25499990784704,406.358652344513,409.41670704732655,24330.78294309176
1781539200000,409.41670704732655,412.6666656973074,407.52887426387,409.6719139095408,22536.953113740954
1781542800000,409.6719139095408,415.04870701659354,408.7785550848384,410.7535345781679,15153.448022063149
1781546400000,410.7535345781679,412.24189204875296,409.2955472086711,410.0262311354429,9545.899142766651
1781550000000,410.0262311354429,412.0308543915456,408.0438806946506,410.2872971281035,14419.288936257988
1781553600000,410.2872971281035,412.149742157831,409.58677475407285,410.35037633885577,9263.408202865496
1781557200000,410.35037633885577,411.55297349618263,408.5502327400654,409.32499859357307,3820.8533903940593
1781560800000,409.32499859357307,410.54616903809995,407.5230815445693,408.91341835571234,10617.209486650818
1781564400000,408.91341835571234,409.25132673357166,406.95204519328166,408.09949104748557,43246.72978393185
1781568000000,408.09949104748557,409.3609254653475,403.79419465855676,403.79419465855676,61336.03444817976
1781571600000,403.79419465855676,405.99282753751754,403.6412973846267,405.2464399167448,17769.408211261776
1781575200000,405.2464399167448,406.5565008077496,403.07959367202443,404.368566946004,16682.473004036598
1781578800000,404.368566946004,405.78611908746916,403.4755822046316,404.2502487886527,44998.61093775934
1781582400000,404.2502487886527,405.7005069960254,403.4546650464267,403.6214161215988,18420.742616936503
1781586000000,403.6214161215988,408.15947339863305,402.6360302783481,404.55285521464197,14779.759042513879
1781589600000,404.55285521464197,407.72004506191365,403.04813402592407,405.0208486867199,16667.56339379988
1781593200000,405.0208486867199,406.41556066458327,404.26035244661,404.94533197183415,7268.984253137136
1781596800000,404.94533197183415,406.0969760687479,403.8037617132717,405.83407447291756,14777.701584497087
1781600400000,405.83407447291756,406.1755914824938,403.35517862963025,404.5455711533901,15489.941769092578
1781604000000,404.5455711533901,405.9008391261671,403.606695574072,405.26808020266816,30155.37648466721
1781607600000,405.26808020266816,409.6601557470252,405.0111934795203,407.0300451961401,67266.14625670607
1781611200000,407.0300451961401,408.0233055683701,405.27705826809444,405.8609053809348,25868.5889182347
1781614800000,405.8609053809348,411.5892783826406,400.42353026400195,410.2652974503453,41218.803682108664
1781618400000,410.2652974503453,410.5367970823233,400.5871659120933,406.3849375439264,88744.19066922119
1781622000000,406.3849375439264,410.11651118853706,404.7834763664534,406.3514109091379,43577.45239720526
1781625600000,406.3514109091379,407.90004122645195,403.4479704221695,404.96547743599575,27057.375216315442
1781629200000,404.96547743599575,405.7155788924581,402.75315224379045,405.5124610552566,18351.108834757073
1781632800000,405.5124610552566,407.0579403596283,402.7667758580861,404.78091053582295,14826.803426409462
1781636400000,404.78091053582295,406.61660702484863,404.45298852359514,404.4766905120817,24195.768199042155
1781640000000,404.4766905120817,405.0351004102705,402.9437571297146,404.5652440541771,4722.341745939407
1781643600000,404.5652440541771,405.41584399663407,403.3412118691857,404.58912218685856,4117.804832172366
1781647200000,404.58912218685856,405.88502620786693,402.73673069253226,402.73673069253226,35527.38193333737
1781650800000,402.73673069253226,404.62342874861423,402.4236437340626,403.0276587457325,4354.305631091656
1781654400000,403.0276587457325,404.51973078223546,401.78215594345556,402.3692019056107,8789.325311996157
1781658000000,402.3692019056107,405.25720529299053,402.3692019056107,402.85710699218373,38301.32192083201
1781661600000,402.85710699218373,405.6339689305772,401.98838947419233,403.11139447528916,58741.25027207077
1781665200000,403.11139447528916,405.38070923426454,402.8898681937863,403.99223536183405,88630.32622609448
1781668800000,403.99223536183405,405.1515883939182,402.3179348809539,404.6494995674285,68323.21564276972
1781672400000,404.6494995674285,405.97104632651445,402.63573108590305,403.76400056978196,64278.73127052946
1781676000000,403.76400056978196,404.6683267400889,402.5351809310627,403.79168586665975,91749.45250793819
1781679600000,403.79168586665975,405.12940976549964,402.99799382402364,403.6068742120573,56891.57391874436
1781683200000,403.6068742120573,405.43158196627206,402.5914974403312,403.32182186983243,69031.69096719724
1781686800000,403.32182186983243,404.8864829474235,402.7950925441323,404.45103613162667,63628.25131702537
1781690400000,404.45103613162667,405.8131606876653,402.97489220621037,404.3831505766137,11334.744224108807
1781694000000,404.3831505766137,406.1037771943654,401.91474552859114,402.9770663128802,53343.61672051072
1781697600000,402.9770663128802,403.407196301337,399.2080906484304,400.60665917259513,97965.01031536529
1781701200000,400.60665917259513,403.38793564872583,399.3585215609853,399.83821406936306,123979.5447112922
1781704800000,399.83821406936306,403.1999548449512,397.07716426413833,399.99372004323334,53925.54486135519
