адрес,имя,статус,n,общих,crowd_2,медиана_E0_общих,медиана_E1_общих,медиана_E2_общих,доля_выше_2.5_E2,медиана_E0_своя,медиана_E1_своя,медиана_E2_своя,доля_выше_2.5_E0,доля_выше_2.5_E1,n_E0,n_E1,n_E2,нет_входа_E0,нет_входа_E2,нет_выхода,отброшено_пыль,лучшая_E2,худшая_E2,уровень
CFJr1M2z3SZpQpBMoY3nagpafvS7Uzanq4L7KVXVKi22,Unicorn,кандидат,5,4,9.5,50.9783,49.5515,36.7502,1.0,50.9783,49.5515,36.7502,0.75,0.75,4,4,4,1,0,1,3,115.6771,5.734,сильный
H3en1XWQHfbNWjEDRnRFi6HKVkZG1P7twdAHTvnCnYE3,MaxHuh,в задаче,6,6,6.5,30.4085,33.0537,32.669,0.6667,30.4085,33.0537,32.669,0.6667,0.6667,6,6,6,0,0,0,0,298.2395,-5.2994,средний
9zZCjLr9xfXfp3qdqvPh6YeaEaagepz21khLhca69B18,Pasterniq,в задаче,1,1,4,35.6925,25.6209,25.6209,1.0,35.6925,25.6209,25.6209,1.0,1.0,1,1,1,0,0,0,0,25.6209,25.6209,средний
HYh78tNpGBUcxoHgPU9v7VeP2wqSbkapuTzrfYHjfyLo,CardinalSaint,в задаче,2,0,2.0,,,,1.0,57.4035,24.7589,24.7589,1.0,1.0,1,1,1,1,1,0,0,24.7589,24.7589,пустой
Fvkc2thk1YcAASdR2gi8uf9n67JW9Dqqr9iRd99MDhoB,Brez,в задаче,4,3,9,27.8524,8.2798,25.3882,1.0,27.8524,7.9916,20.5806,1.0,1.0,3,4,4,1,0,0,3,28.2129,7.7035,сильный
7krCpC9dQgZVyRVv4W7okQHRdKD44ufEsnzgSAoYjLzZ,0x42,кандидат,5,1,0.0,26.8469,26.8469,18.8047,1.0,12.0651,11.4345,18.8047,0.5,0.5,2,2,1,3,4,1,1,18.8047,18.8047,пустой
DAejzMs5cUeCCENNvapy9KWFwzwegh7LvcgNkZ6hnf1y,fomopumpguy,в задаче,2,1,10.5,11.9236,13.4516,14.9994,1.0,23.4519,13.4516,14.9994,1.0,1.0,2,1,1,0,1,0,0,14.9994,14.9994,сильный
EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,в задаче,6,5,11,23.3386,23.3386,26.6172,0.6667,23.3386,14.064,14.7402,0.8,0.8333,5,6,6,1,0,0,1,130.2971,-24.9673,сильный
BPjuxgARGFgBoMwJrMrhEmYat4TavCjW9wG9i3UZ1dbZ,Value,кандидат,8,6,4.5,17.7837,17.7837,14.327,0.875,17.7837,17.7837,14.327,0.8333,0.875,6,8,8,2,0,0,0,24.7317,-3.3563,средний
4XqYSrhf33K43SZxKmQ1DWRkdwDT4r4TuaV5yhUVA1jB,gilly,кандидат,8,1,0.0,16.4857,16.4857,13.3602,1.0,16.4857,16.4857,13.3602,1.0,1.0,1,3,3,7,5,3,0,70.5817,6.2501,пустой
5opd5KBmodmoNuAThQ5cmXKbRxHbQDfomWGKAs3uEUP9,soby,в задаче,2,1,3.5,13.1854,13.1854,12.4923,1.0,99.2866,102.428,12.4923,1.0,1.0,2,2,1,0,1,0,0,12.4923,12.4923,средний
7iPPqPyrqcmfenRs4xZ72ab4pyuUofXB5YaQB83WJmT9,Wood,в задаче,2,2,8.5,16.1011,14.506,12.234,1.0,16.1011,14.506,12.234,1.0,1.0,2,2,2,0,0,0,0,14.9392,9.5287,сильный
HTYho9ioTJcS4Dymi57HB65RBFu549gjyQ7kncfkknti,BrazilZZ🇧🇷,кандидат,7,4,4.0,-14.9576,-11.1406,22.3692,0.8,-2.6088,2.5994,10.3544,0.4,0.6,5,5,5,1,1,1,1,50.4909,-22.1151,средний
CnEy6EVjK6bGMC9wxChibpkUQGNYPHWHttD2LAHJLggB,MrMetavers3,кандидат,8,0,2.5,,,,0.8,,10.1928,10.1928,,0.8,0,5,5,8,1,2,0,53.7574,-0.7015,пустой
5RZPhPW9qGEd3hRGibgYaF5Yk2jBzXR1VZMKSP71C3Lb,333,кандидат,6,5,6.5,27.1924,28.7821,26.2959,0.5,27.1924,15.5094,9.8563,0.6,0.5,5,6,6,1,0,0,2,55.9792,-25.5297,средний
GAsnqm4XkNkPVgrAofNQ65jWf8f3tKCLHhE9ZqSy2AP1,Nach,в задаче,4,4,9,4.5598,2.5942,8.3456,0.75,4.5598,2.5942,8.3456,0.5,0.5,4,4,4,0,0,0,1,63.1929,-5.4988,сильный
CDNBnRyrXpBkh1R1iNpAHWn9BvCV4dHovMKBQsFusc8q,Goosemanjones,кандидат,5,2,5.5,4.8717,5.9448,6.8274,1.0,4.8717,7.4425,7.4425,0.5,0.6667,2,3,3,3,2,0,3,8.1985,5.4563,средний
F5MYbjEATQFD6rxwdS2zXzEHBGuUhSGvJkUhLFAcr4hv,Omakase,в задаче,5,2,3.5,60.0823,59.0903,59.0307,0.75,60.0823,7.206,7.206,0.5,0.75,2,4,4,3,1,1,3,124.8254,-6.7641,средний
