cohort_a_1_1500,cohort_a_1_3000,cohort_a_5_1500,cohort_a_5_3000,cohort_b_1_1500,cohort_b_1_3000,cohort_b_5_1500,cohort_b_5_3000,realized_pnl_usd,trade_count,unique_tokens_traded,wallet_address
0,1,0,0,0,0,0,0,15527.381503978047,1759,54,0x6141d9f51685221f955ff8670fb478e389434ced
1,1,1,1,0,0,0,0,12789.10503240312,155,5,0x328739e4901cd242072353ec377d72fb87eca876
1,1,1,1,0,0,0,0,42902.26023156405,159,8,0x3fa158f5af2ddb69032d925178d33c2db017a6d0
0,1,0,1,0,0,0,0,70471.93210706535,1864,33,0x0827cc8bd6ba836f774e93e65d2cb37e3c20aa25
1,1,1,1,0,0,0,0,10925.064419838733,116,6,0x36eaaca5159a1dcbe60aaad12faaadb0fce6c58b
1,1,1,1,0,0,0,0,17054.58682228168,1069,24,0xa2d9051c139ec1ba9c4eb3cab1bbf5d313ea408d
1,1,1,1,0,0,0,0,19278.93707288673,57,6,0x43dfd184b4d84bbecb83969841f6366a6c2217d7
1,1,1,1,0,0,0,0,22990.124665711734,687,9,0xd69c2c241fb2cdcc8cab87bab4698d00dde800f9
1,1,1,1,0,0,0,0,14335.36567465353,320,62,0x5000afd95cbc51054caf4c5330342890ead87b70
1,1,1,1,0,0,0,0,27575.51515235931,54,6,0x74b73c38e2b0e6511e0a4c67ad02bae400f9e007
1,1,1,1,0,0,0,0,13343.268316730599,801,9,0x2b3a50c13db0813af58e574c49c75a5249cfdfde
1,1,0,0,0,0,0,0,62331.93343552678,617,16,0x70be49143cb0e74c3099b29d8e73b538f32468fa
1,1,1,1,0,0,0,0,31822.466569591867,434,36,0x858013142255cad3fd5137bdf4a7a40348cb4d4a
1,1,1,1,0,0,0,0,467815.55420464603,152,9,0x1317ea30e98a643fe356f01f5bc33cd0756044cb
1,1,1,1,0,0,0,0,23513.631894605605,274,11,0x88067b8d00824bdc295015b0c6fb62ed45e6a3fb
1,1,1,1,0,0,0,0,14030.674723606518,91,15,0x42aa1ac72ff608610ec506f3cccd4ac394f2705e
1,1,0,0,0,0,0,0,13039.269828428723,458,48,0x02e7b66fcccc63d0bd4d4d49381ba7364a4df46f
1,1,1,1,0,0,0,0,11630.902268581058,806,13,0x16631973077cf96ee68d151c751d4c20f23d1a9b
1,1,1,1,0,0,0,0,11381.06923651721,119,13,0x8df3e0b89ceff88af367c17423e4ef2f3543a8d4
1,1,1,1,0,0,0,0,40700.33476406161,279,27,0xb646fa75e09b37327505106e39d84b89c4e68413
1,1,1,1,0,0,0,0,26672.1045764157,109,9,0xb8f1ad750eb4ad994e60f0865c3e27bd82614318
1,1,1,1,0,0,0,0,10492.104801387219,657,59,0x2f3cdfb60d06247f209766167c35b7a76cf9f4ca
1,1,1,1,0,0,0,0,11748.7051043365,48,5,0x3361b54b8e4e5413d43b091678bd390573467075
1,1,1,1,0,0,0,0,10585.64036261203,503,6,0xd127468833c2f90ab00404d062fa36e51b54af54
1,1,1,1,0,0,0,0,51694.557437956224,889,10,0xb952dba0e4ccdea1918539cdbf4d08e6ab7209d0
0,1,0,0,0,0,0,0,40413.01112699621,1603,74,0x40f1b62ed060edbbbda9ced30e7f57e04675b9e1
1,1,1,1,0,0,0,0,72485.83180146257,507,9,0x3ed5f464a3cd3c5f0c011a6977e2117d3d730119
1,1,1,1,0,0,0,0,62522.09145102885,305,10,0x7fd48e6ebecc41132d3dd8c014bcaad9e48cdbf6
1,1,0,0,0,0,0,0,13224.078362200778,484,27,0x5274725492f84678c19aca3ae24115201c9feeb5
1,1,1,1,0,0,0,0,23097.90426691932,323,9,0x3053376df52a4fbc4c66fa28379252b86a47c638
1,1,1,1,0,0,0,0,11070.06995702867,1200,19,0x32621c3071ba7a4db3f02f8b5f6aa7f7d9e648c7
0,1,0,1,0,0,0,0,29279.29924818163,1923,24,0x9a0daa98309448135195bfa0cb95e3b63fed3e22
1,1,1,1,0,0,0,0,15343.478729898186,183,10,0x22fe8b97dda02953b48083bb394e12cd54771e18
1,1,1,1,0,0,0,0,11727.527252818682,54,8,0xba00d84ddbc8cae67c5800a52496e47a8cafcd27
1,1,1,1,0,0,0,0,41403.056289883774,305,46,0x0a3570924483d24336abb44136ab7816854ad444
1,1,1,1,0,0,0,0,12577.864488951573,366,13,0xe95850f71b9c33285e48315062cf93a79240c1f1
0,1,0,1,0,0,0,0,29358.856632033705,1671,16,0x48e4646709ea6e73d10fd5c5fbab4282db871076
1,1,1,1,0,0,0,0,13572.620227043977,140,22,0xcd8bded162b7f8bdce0da82f133bd75bbef76835
1,1,0,0,0,0,0,0,17065.71470930635,507,29,0x7575047fc3e8ba808fefcc0932eafdf2d2b58718
