realized_pnl_usd_august,trade_count_august,unique_tokens_august,wallet_address
0.9309669825429028,103,60,0x69317f11449cd3ed1c75e165239e43ec077c630a
0.0,3,3,0x761ef97aa3788dc9fc74a396d06cc3120d9c98db
-3501.4965815385412,61,5,0x74dcce073d708e695f4ec5eb6aec958aa4d16f44
-939.6136987189255,161,20,0x3e68c81f62a9bbf78c820458bc60e327f2b22295
5980.670485582665,150,15,0x56e95b47a07210f1ea9fa418c7c5dc164c419ac0
0.0,2,2,0x7e3ac8d21fddbfa088484f57391b7aa89fda4480
-0.018932507321252956,59,9,0x42aa1ac72ff608610ec506f3cccd4ac394f2705e
0.0,10,6,0xaa213d647c17ec967cfb64819f43810051512b3b
101.1348912924388,134,8,0x49936e3f4c691f9e59fdafa92f905e0e02a59fba
0.0,5,3,0x61842a9092230148fbb690d377add823f030ccb6
0.0,4,3,0xfb95733040ccccd9f37669aeea7e1541e6ce615a
0.0,1,1,0x67ac9d1a7750c6eaac64d07f66743f8515158bd9
1547.0684005137557,392,20,0xcb801f51d908dc4e4619b7041cea75b8fb507c2a
1392.5477579062456,102,7,0xc53f78cf9d0cf7bcdfd260cbb43708269d5ab70e
0.0,3,3,0xa09345ddc1fc734882b6c57114bbb013a037b33e
0.0,133,74,0xbb9ffdec92d51572673be08b304475ea32a97eac
-124.16966477054521,78,2,0x901037edc735252913aca7ef563769879cc32f97
-4386.532560057127,63,5,0xb952dba0e4ccdea1918539cdbf4d08e6ab7209d0
56.102314826947286,34,8,0x4dcd741ccb80fc7b2fb52a6ed1c7300ebd6e3685
0.0,16,3,0x7d1fe6e744f4037f482454bf1461ab7c633bf0d5
0.0,10,5,0x0a534043a34a43a78e5585c8eb95acc8b3eeeed1
22331.00222987067,18446,957,0x2f3cdfb60d06247f209766167c35b7a76cf9f4ca
0.0,40,19,0x0a3570924483d24336abb44136ab7816854ad444
10604.731886301755,449,14,0xd69c2c241fb2cdcc8cab87bab4698d00dde800f9
-185.54364607292985,14,2,0x0b0996cc7ad821b87c930e416fc7a8dec783288b
-48.545539553616706,64,4,0xdbcfa968042b396969db5e18ae54040d237281d3
0.0,10,5,0x55f36056ecde4d6b6fdedd0e5f5115b6a39f24da
0.0,3,2,0xbef7d26cf0a27c98f359f59e9eba14e56f8f4087
0.0,14,9,0x8908f6ad08fd04f934b1b358a8dc5ec8377c4173
0.0,2,1,0x7b07a3326dff105387b0c604aea77d8a0b3ad1b2
0.0,1,1,0x1317ea30e98a643fe356f01f5bc33cd0756044cb
0.0,149,31,0xde9e6b2fc62041fff0a66e4230f4e64a46e2fde3
0.0,11,4,0xa9bd6010387141e24ba089c4db76c9e98c1c79e8
0.0,9,5,0x586108245c10bf8acec3fd5c083afb9100b9c5e0
298.6582339518752,50,10,0x99595fb33e2599688b78f93569875c010648a359
0.0,7,1,0x9a0daa98309448135195bfa0cb95e3b63fed3e22
0.0,1,1,0xead1cb19ef46f2f41f7bf787fad8bb5cfd7fceee
2746.6319490917517,127,10,0x16631973077cf96ee68d151c751d4c20f23d1a9b
0.0,11,10,0xc7a69785f87f0b41f943877b2c4f34ae1a7ef6fd
0.0,2,2,0x003c4bcd8bf545572d8387c521ab9c11a7ecf188
-122.7452215884062,19,3,0xf2f0df5053cc813a0aeaa3df9d7e11b0f8a3571f
0.0,8,4,0xb9f3f3535dbc326c11013a5cee6958aab96d2e23
0.0,1,1,0xde1ef86cef3ba5290e4c07c5e0be57e2fee0747f
0.0,1,1,0x1845dfee957614786478b6f5cff6dbbe62463755
-198.147525706708,175,28,0x01467c420df8d9556fe5dbbf02b0c25c42226558
-101.65017532955687,12,6,0x001dd77f535124782b6cf939d4597e033df0b444
39.3436394522148,115,11,0x0827cc8bd6ba836f774e93e65d2cb37e3c20aa25
0.0,36,20,0xd4e82cc04063a789fb07d316595570fbd8a3d324
-1.447420417549779,23,3,0x8709216d163d137acca8404a86b2e686f5e145fe
26.525410454964522,40,8,0x08a5303dee44ced22b2edfc2268d1ceca0a9392c
0.0,34,21,0xcc5f557840d0cd940e3c274345fda47c26b4745a
0.0,9,3,0xc07208fe1a35e1035e3fc70a4edbb77a187a9e12
0.0,526,136,0xd046bfec86e2b697e3e3025f84b8fc2f43b15724
-37051.04326495329,64,5,0x4fb79d3c8f6f3a383e35462714408144fad57f89
-2.3877366667163074,33,3,0xfad191bddbc6bc81fa84ffc623e2dd473dfcd697
-185.14574602803685,258,108,0xc28a019bd60ed71e3efb484f28a42b16a398fadf
479.46477202512557,257,27,0x3a37a4d9d20c99060e19b066c11aca292dedfa35
0.5054323234657212,34,3,0x88067b8d00824bdc295015b0c6fb62ed45e6a3fb
