day,n_new_pools
2026-07-01 00:00:00.000 UTC,907
2026-07-02 00:00:00.000 UTC,2018
2026-07-03 00:00:00.000 UTC,934
2026-07-04 00:00:00.000 UTC,578
2026-07-05 00:00:00.000 UTC,551
2026-07-06 00:00:00.000 UTC,661
2026-07-07 00:00:00.000 UTC,866
2026-07-08 00:00:00.000 UTC,12848
2026-07-09 00:00:00.000 UTC,14211
2026-07-10 00:00:00.000 UTC,19621
2026-07-11 00:00:00.000 UTC,11645
2026-07-12 00:00:00.000 UTC,2981
2026-07-13 00:00:00.000 UTC,4562
2026-07-14 00:00:00.000 UTC,4873
2026-07-15 00:00:00.000 UTC,20489
2026-07-16 00:00:00.000 UTC,14455
2026-07-17 00:00:00.000 UTC,11851
2026-07-18 00:00:00.000 UTC,9171
2026-07-19 00:00:00.000 UTC,12561
2026-07-20 00:00:00.000 UTC,15356
2026-07-21 00:00:00.000 UTC,22049
2026-07-22 00:00:00.000 UTC,16824
2026-07-23 00:00:00.000 UTC,10998
2026-07-24 00:00:00.000 UTC,9193
2026-07-25 00:00:00.000 UTC,8175
2026-07-26 00:00:00.000 UTC,8947
2026-07-27 00:00:00.000 UTC,10598
2026-07-28 00:00:00.000 UTC,9929
2026-07-29 00:00:00.000 UTC,8088
2026-07-30 00:00:00.000 UTC,5926
2026-07-31 00:00:00.000 UTC,5530
