first_swap,last_swap,n_swaps,pool_address
2026-07-14 01:40:12.000 UTC,2026-07-31 23:59:28.000 UTC,125189,0x9870c395bfa68c9f23d7c232fa5a37bf063aae35
2026-07-14 01:35:36.000 UTC,2026-07-31 05:56:02.000 UTC,338,0x43217a3b15fb5b1981a8a5e53d3b5aa0dbebc40a
2026-07-14 02:00:49.000 UTC,2026-07-30 02:03:43.000 UTC,713,0x3699745b6961d5011d12be2d77c467252e2fc586
2026-07-14 01:29:22.000 UTC,2026-07-31 05:55:48.000 UTC,492,0xd91c67056723bf41297a3990b048377081841741
2026-07-13 22:56:03.000 UTC,2026-07-31 14:18:43.000 UTC,5114,0x451e50d5cd63c4d22b38d31e542e23ed281b902c
2026-07-14 01:57:07.000 UTC,2026-07-27 11:20:30.000 UTC,109,0xf33234b92f745a86b8e34b01d87cc8b8f3da3954
2026-07-14 01:43:12.000 UTC,2026-07-31 23:05:12.000 UTC,10495,0x6c80f51b59b00f1e72a06c3a381739e09e528ed5
2026-07-13 23:09:29.000 UTC,2026-07-31 05:54:51.000 UTC,493,0x507b2d04f26b7c4de6e349dd932e5862d5cf2ce8
2026-07-14 02:01:36.000 UTC,2026-07-23 22:19:06.000 UTC,38,0x817b53daf114f824d749d02f2de0ac2c0a2786cc
2026-07-13 23:01:23.000 UTC,2026-07-31 23:21:56.000 UTC,11629,0xc246b088646869d57bbe483968b05d6dcdb8eb59
2026-07-13 22:23:21.000 UTC,2026-07-31 20:00:52.000 UTC,4854,0x6494a8c15998049a5dafeb1f3521043cb67b5d7f
2026-07-14 01:54:05.000 UTC,2026-07-27 09:33:33.000 UTC,256,0x969bc9aca074595b56a978a4f7286a9c6cfb4808
2026-07-13 22:53:59.000 UTC,2026-07-31 06:50:41.000 UTC,2413,0x6577479de1cec0140dffb85ec5088bc523a38823
2026-07-14 01:58:39.000 UTC,2026-07-17 03:53:00.000 UTC,38,0x043211f796189ebbb07988027b0709d1ca15cfd9
2026-07-14 21:33:03.000 UTC,2026-07-23 05:02:16.000 UTC,64,0x61ce95ee9d36d83a4776598e14ced9a4648d1a03
2026-07-14 01:46:36.000 UTC,2026-07-28 21:32:38.000 UTC,989,0x7da3d775b803eeb44079f1a658b4dea116da1343
2026-07-13 22:52:11.000 UTC,2026-07-31 23:05:34.000 UTC,5859,0x633d02823a01077d6154ba195bd5dc7afa4c1091
2026-07-14 01:02:59.000 UTC,2026-07-31 05:55:33.000 UTC,27,0xa1d2c35eaa5cd818b669169c46f328f259f5a1e3
2026-07-13 22:16:02.000 UTC,2026-07-31 08:52:50.000 UTC,3295,0x8f4f723f10fc7bad28742d25c91158c728557c4c
2026-07-13 23:01:20.000 UTC,2026-07-31 05:57:17.000 UTC,831,0xec338692290fa3bbf50642464e5e5ddc65079ce0
2026-07-14 01:48:31.000 UTC,2026-07-27 04:11:02.000 UTC,75,0xe4d1d28a13d899a73b8a1c86b78c752106dbf098
2026-07-14 00:35:45.000 UTC,2026-07-31 23:02:55.000 UTC,24856,0x078649f7f58e2477386691a894ae52252a7aa49a
2026-07-14 01:00:11.000 UTC,2026-07-31 02:23:29.000 UTC,83,0x20c5104e7fa9e6a8377b08dab526f4843dd33401
2026-07-13 22:59:25.000 UTC,2026-07-31 06:51:33.000 UTC,2419,0xe72a1e31efb322ffa52c5cf9e8d6edfb58374c7c
2026-07-14 01:43:06.000 UTC,2026-07-31 01:39:09.000 UTC,5976,0x847c86e7673ec2f79444c2866b444a6432accc7b
