n_tables,table_schema
366,accountable_v1_1_robinhood
99,across_v3_robinhood
10,aeon_robinhood
498,arcus_robinhood
203,bags_robinhood
6,balances_robinhood
5,balances_robinhood__spellbook_sqlmesh_512
5,balances_robinhood__spellbook_sqlmesh_513
5,balances_robinhood__spellbook_sqlmesh_516
92,basedbid_robinhood
202,beefy_robinhood
36,bottleofliquid_robinhood
2,butter_robinhood
44,catnip_robinhood
1,catnip_v1_robinhood
46,ccip_robinhood
156,chainlink_robinhood
90,debridge_robinhood
492,delta_robinhood
3,dex_robinhood
73,dln_trade_robinhood
17,doppler_robinhood
12,enso_finance_robinhood
4,erc1155_robinhood
2,erc20_robinhood
2,erc4626_robinhood
3,erc721_robinhood
135,flap_robinhood
1,gas_robinhood
20,gekko_ai_robinhood
11,gekko_robinhood
136,gigadex_robinhood
1,gigadex_v2_robinhood
1,gigadex_v3_robinhood
153,globaldollar_robinhood
128,hooded_robinhood
34,hyperlane_v3_robinhood
18,layerswap_robinhood
132,layerzero_robinhood
83,lifi_robinhood
48,longxyz_robinhood
33,maplefinance_v2_robinhood
135,merkl_robinhood
446,merryforge_robinhood
5,meson_robinhood
20,metamask_robinhood
27,midas_robinhood
250,midas_rwa_robinhood
45,morpho_blue_robinhood
260,morpho_v2_robinhood
267,mytoken_robinhood
28,netflix_and_chill_robinhood
257,oneinch_robinhood
56,opensea_robinhood
65,pancakeswap_hub_robinhood
64,pancakeswap_robinhood
44,pancakeswap_v2_robinhood
60,pancakeswap_v3_robinhood
161,peaty_robinhood
12,polymer_robinhood
45,poolsfun_robinhood
1,prices_robinhood
93,privacy_cash_robinhood
16,rainbow_swap_aggregator_robinhood
1,ramsesxyz_cl_robinhood
1,ramsesxyz_dlmm_robinhood
1,ramsesxyz_legacy_robinhood
462,ramsesxyz_robinhood
18,rawbin_robinhood
27,robin_weth_robinhood
40,robinhood
1,robinhood_arbitrum
155,robinhood_ethereum
130,robinhood_robinhood
46,robinswap_robinhood
1,robinswap_v3_robinhood
3,rwa_robinhood
11,rwa_stock_factory_robinhood
100,saffronfinance_robinhood
156,sheriff_robinhood
1,sheriff_v2_robinhood
1,sheriff_v4_robinhood
78,spark_protocol_robinhood
14,sqlmesh__balances_robinhood
60,sqlmesh__tokens_robinhood
9,sqlmesh__tokens_v2_robinhood
67,stackers_robinhood
49,steakhouse_robinhood
464,stonkbrokers_robinhood
79,stonx_robinhood
213,stoxesfun_robinhood
48,sushi_robinhood
16,sushiswap_robinhood
46,sushiswap_v2_robinhood
46,sushiswap_v3_robinhood
353,swaphood_robinhood
1,swaphood_v2_robinhood
1,swaphood_v3_robinhood
137,termmax_robinhood
243,the_floor_robinhood
15,tip20_robinhood
225,token_select_robinhood
10,tokens_robinhood
4,tokens_robinhood__spellbook_sqlmesh_516
2,tokens_v2_robinhood
1,tokens_v2_robinhood__spellbook_sqlmesh_516
10,uniswap_robinhood
43,uniswap_v2_robinhood
46,uniswap_v3_robinhood
53,uniswap_v4_robinhood
180,uponrh_robinhood
1,uponrh_v3_robinhood
76,woofi_robinhood
