block_number,block_time,data,topic1,topic2,topic3,tx_hash
34077925,2026-08-12 00:00:44.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad730000000000000000000000004b4754be3e740646b93be2fcb05d4c9b56468b400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f00000000000000000000000000000000000000000000000000000000000188b0240000000000000000000000000000000000000000000000000214e8348c4f0000,0x000000000000000000000000636d8951335b82f708556e3e9f4a87176ddb9cfb,0x00000000000000000000000016a113c092ad7394df1b4e0b01776e3db9036931,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0xa0335d803cd7c6778dc4ec4fc944f825d8ab9e5d7b35d32cf955dafff28ec5f6
34078097,2026-08-12 00:01:01.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad7300000000000000000000000085aff6a2c6206fd0fd25619f5891d6f9c2b73fe50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f02000000000000000000000000000000000000000000000000000000000188b02600000000000000000000000000000000000000000000000030927f74c9de0000,0x000000000000000000000000ed5a7980c34a8312c405f1da20b46071a1ee7d36,0x00000000000000000000000083d502fe05a870c429023a3443ab6ed5fd336e20,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x9f408d66eecdf85b702ed6338f3fc70f29d37ca876d4a90db4137409472b6065
34080933,2026-08-12 00:05:39.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad7300000000000000000000000004defacbddac8a721e4d638f5199a2af609567380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f0d000000000000000000000000000000000000000000000000000000000188b03d0000000000000000000000000000000000000000000000000429d069189e0000,0x000000000000000000000000bf049d1de9c481a15b7e88ddf0efe3a19977ada1,0x0000000000000000000000006c8ab6bd67d4df8d131e952edcb00b7e77183b60,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x40dca399cf5ca6261c1569da839e0580bcf62d322698c7785778aacbd8c470cd
34081335,2026-08-12 00:06:19.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad7300000000000000000000000082f4e546eae0123728fed9971943f0af06095b880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f13000000000000000000000000000000000000000000000000000000000188b04100000000000000000000000000000000000000000000000030927f74c9de0000,0x0000000000000000000000008d05a4146f462da93280e39fe931dc5627488ee2,0x000000000000000000000000e655ff1c5bfb0af48a6cf11a0d15a76c41b4d46b,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x7ce1332423460c36843341190c419c6a25cfa7aae08ec03ffd4369e86cfff765
34082298,2026-08-12 00:07:56.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad73000000000000000000000000c7e4805ab1342cf371d71eede4eaa646f9eda98e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f19000000000000000000000000000000000000000000000000000000000188b048000000000000000000000000000000000000000000000000016345785d8a0000,0x000000000000000000000000144da105bda591d7872ab1bf21c0296ff2d31a77,0x00000000000000000000000050b0f312eee5eb91c6a7aff6136fc91a6c4a836c,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0xabf3f38999b1cff39e7c359f4a4e8cbdf2d44ba1b77194965f5722641d77f1b9
34082333,2026-08-12 00:07:59.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad73000000000000000000000000e053ad0033911cf1c606802dc01048ed6aac3c030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f1a000000000000000000000000000000000000000000000000000000000188b04800000000000000000000000000000000000000000000000030927f74c9de0000,0x0000000000000000000000007573490bf5a657e24ecd2d795708ef013ded1194,0x000000000000000000000000b271531534806619232b08edd38d9396eee7bdbf,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x8073e98b64d036dda2d755d7d62ffcb508a470f5f0672a907ddc6ead0280341a
34082464,2026-08-12 00:08:12.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad730000000000000000000000004a18d4f9d71f0787d525a07e196d68e9b2ecc8dd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f1d000000000000000000000000000000000000000000000000000000000188b0490000000000000000000000000000000000000000000000000258689ac70a8000,0x000000000000000000000000fa01cdb6c01a345b4238566191ef3591195ba35b,0x000000000000000000000000db22801145db3c32cbb010e1909a4ec556044b58,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x7d572c203e4c4d8f8149aeb1eab6581d09ebd047f5dac3ac53170a4cf0cefc20
34082659,2026-08-12 00:08:32.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad730000000000000000000000004c26a4fd420e4038577abcaa4aee409829f74f120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f1f000000000000000000000000000000000000000000000000000000000188b04c0000000000000000000000000000000000000000000000000214e8348c4f0000,0x0000000000000000000000004485951311c4adde4b2c55e6578296eba070b60e,0x000000000000000000000000b85ce48d10404874a913842eec1629d435aeeda2,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x45c2d99034e5c33a3808cfb08ae160502bdbb83d902678055e6a18516de7b81c
34082726,2026-08-12 00:08:39.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad730000000000000000000000008ee49de8b14d785f3d0ae2046e79d7279ad738470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f20000000000000000000000000000000000000000000000000000000000188b04c0000000000000000000000000000000000000000000000000214e8348c4f0000,0x000000000000000000000000a0b069c9703c632e9b7c2a905d9b66fb41ddc94a,0x000000000000000000000000b85ce48d10404874a913842eec1629d435aeeda2,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0x25d0be3fcc004dff2e1da10914074ca04f61784d0aedc703d7d9e848c82d04b8
34082791,2026-08-12 00:08:45.000 UTC,0x0000000000000000000000000bd7d308f8e1639fab988df18a8011f41eacad73000000000000000000000000f85bc705d5c1287a2f694cefd01e74f842dea5f20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a1f21000000000000000000000000000000000000000000000000000000000188b04c0000000000000000000000000000000000000000000000000214e8348c4f0000,0x000000000000000000000000358a212eb3fc209e16d5e377fc882d441374e8aa,0x000000000000000000000000b85ce48d10404874a913842eec1629d435aeeda2,0x0000000000000000000000001f7d7550b1b028f7571e69a784071f0205fd2efa,0xb3576e0d96e0a7cc5071d6138764581917306d31c81094e88f6d71f402e0150e
