day,n_graduations
2026-08-04 00:00:00.000 UTC,4
2026-08-05 00:00:00.000 UTC,6
2026-08-06 00:00:00.000 UTC,5
2026-08-07 00:00:00.000 UTC,13
2026-08-08 00:00:00.000 UTC,14
2026-08-09 00:00:00.000 UTC,12
2026-08-10 00:00:00.000 UTC,13
2026-08-11 00:00:00.000 UTC,8
2026-08-12 00:00:00.000 UTC,17
2026-08-13 00:00:00.000 UTC,24
2026-08-14 00:00:00.000 UTC,37
2026-08-15 00:00:00.000 UTC,20
2026-08-16 00:00:00.000 UTC,7
2026-08-17 00:00:00.000 UTC,17
2026-08-18 00:00:00.000 UTC,24
2026-08-19 00:00:00.000 UTC,15
2026-08-20 00:00:00.000 UTC,13
2026-08-21 00:00:00.000 UTC,16
2026-08-22 00:00:00.000 UTC,14
2026-08-23 00:00:00.000 UTC,15
2026-08-24 00:00:00.000 UTC,28
2026-08-25 00:00:00.000 UTC,56
2026-08-26 00:00:00.000 UTC,82
2026-08-27 00:00:00.000 UTC,108
2026-08-28 00:00:00.000 UTC,105
2026-08-29 00:00:00.000 UTC,223
