entry_n,entry_vwap,exit_n_120,exit_n_14400,exit_n_1800,exit_n_30,exit_n_300,exit_n_3600,exit_n_43200,exit_n_60,exit_n_86400,exit_n_900,exit_vwap_120,exit_vwap_14400,exit_vwap_1800,exit_vwap_30,exit_vwap_300,exit_vwap_3600,exit_vwap_43200,exit_vwap_60,exit_vwap_86400,exit_vwap_900,n_buys_pre,t0,token,vol_usd_pre
61,1.3581783635046934e-05,10,2,41,37,5,16,16,24,2,18,1.755037856843329e-05,5.781779339071197e-06,1.623757403126927e-05,1.3058047835355215e-05,2.1072473685372706e-05,8.98662573198645e-06,5.191073926063041e-06,1.4515218147459065e-05,2.6048365991830793e-06,3.5828702142032684e-05,3,2026-08-04 20:16:08,0xc8af2cc77bae2274ff7f8949e01e6c58f7a9c00d,29.518647769425854
0,,0,0,0,0,0,1,0,0,0,0,,1.336780569627307e-05,,,,1.7061751678132598e-05,1.336780569627307e-05,,4.8956908431232e-05,,0,2026-08-05 14:45:56,0x47be2c84a30d921bfcac1a1a3fdf8f082e274c41,0.0
4,3.7519702238291915e-05,1,3,5,3,3,8,11,1,0,1,2.9428613636469004e-05,1.0885038497165488e-05,3.173448261275416e-05,3.7522708277017607e-05,3.3707219793961366e-05,2.3969869132494585e-05,6.687497540384053e-06,3.694408735976803e-05,2.4210706634086396e-06,2.6708096174479936e-05,2,2026-08-08 02:27:51,0x5e568664993bf997acb08f70a182d7236745a649,284.7109694870496
21,4.2176518676018006e-05,5,0,10,9,18,16,0,12,0,25,4.599163580240757e-05,2.2077134721366906e-06,3.0138467179287628e-05,3.99927560292781e-05,5.631830006347166e-05,3.0297576759048617e-06,2.1628604560007176e-06,4.5563077114207364e-05,2.14547514351929e-06,4.00958490264912e-05,4,2026-08-09 13:06:54,0xaa126e7235f562241b35f6c6177a86f2c2dd3c30,31.131411223367575
0,,0,0,32,0,0,3,272,0,296,4,,0.0031122930736099323,0.0027244084335133695,,,0.0031960428725902575,0.05343478121527309,,0.05444522037664361,0.0018038592783404918,0,2026-08-09 23:27:38,0x95d3bc5d467d448ac83c5b33ff90f4dcfaf4c1e4,0.0
15,4.104179547482201e-05,10,15,35,12,12,30,19,3,17,23,3.880747408820073e-05,3.108791766285243e-05,6.705962302234644e-05,4.204819363352611e-05,3.882481283776272e-05,4.704899073620868e-05,3.379518499927286e-05,3.915228443317829e-05,1.1463668968010749e-05,5.775330103382822e-05,20,2026-08-12 18:31:08,0xe4beae0654a3a2d96ddab886f98ecd0c04899900,2546.58689044518
879,8.040804813509048e-05,377,5,83,383,326,11,2,496,2,97,0.00016234275224629496,4.329082433333325e-06,8.777709089314736e-06,7.62404205453504e-05,3.3973116587348054e-05,6.2376300095682085e-06,3.243508350818964e-06,8.490016758746619e-05,2.655457947556028e-06,1.1970827864151093e-05,70,2026-08-13 22:16:35,0x3fb90a74078ce44187b19ee247f651a4b2af9cb3,9658.627172299772
123,1.0816181277400708e-05,3,0,0,46,3,0,0,77,0,1,2.907576450048333e-06,1.969106962300673e-06,2.051055199570788e-06,2.2519190753840463e-05,2.6775636384248175e-06,2.1942404616425425e-06,1.969106962300673e-06,8.451990272612864e-06,1.969106962300673e-06,2.1015129663184187e-06,12,2026-08-14 13:40:45,0xefe6d5bde607d93f8b15225868a8f1b3d6a1b5db,507.71752876405293
222,1.4480641802509416e-05,88,0,0,43,9,0,0,179,0,1,1.127306928892982e-05,2.432428006677693e-06,2.5752574365068746e-06,4.669531605018856e-06,6.452328010757244e-06,2.4831950969836816e-06,2.4095227486195655e-06,1.845070226241251e-05,2.3740395360814065e-06,2.594680681181143e-06,67,2026-08-17 15:47:31,0x6f82aa888ad961a79fb28f81553e854228ece187,10686.517744916348
47,3.3390410802745984e-06,1,1,0,43,0,0,0,4,0,0,2.2097387767095534e-06,4.4426403804735476e-05,1.9854137592068795e-06,3.3928887533734953e-06,2.2683004764990426e-06,1.9766265748252433e-06,1.911705708897513e-06,2.2192102715623e-06,1.911705708897513e-06,2.2009861534147317e-06,73,2026-08-18 21:44:18,0x1f4e60f0f601e5af983487ce11c08d98e620abd9,13489.34685489123
1135,7.736367967815292e-05,249,60,3,601,45,1,3,534,8,6,1.6888555923879066e-05,6.432565628111692e-06,4.570177214401298e-06,0.00015474852061249684,1.1447095941700279e-05,4.531554948328935e-06,3.846497104879982e-06,5.3409757471153465e-05,3.1549077328945004e-06,4.288045921398448e-06,609,2026-08-19 19:15:56,0x79c8bbcf8d3ebe305e57f7fd4d626b2e0bf21db6,71716.48512556091
0,,0,0,3,0,0,0,0,0,0,0,,0.00010376779518387815,1.262717099717747e-05,,,1.0333256594852387e-05,1.7204422212052615e-06,,1.2656841811750168e-06,,0,2026-08-20 20:57:19,0x41f64587a6b7b4f5bd922f395acf1f804eb33746,0.0
50,0.00046795534006895324,59,0,12,28,5,2,0,22,1,47,0.0008196429693672241,2.56879882834057e-06,0.00018228046809053367,0.0004580076565885213,0.0005808190145656935,2.461333245391881e-06,3.705866285567774e-06,0.00048375627573741387,2.604182412690512e-06,0.0003791553435477363,57,2026-08-20 21:43:03,0x14c5bbe23ed292705e4e750da2bce8363c99b7bf,13039.402630894847
5,5.4065620961553036e-05,7,31,20,0,3,31,22,5,112,11,5.2113627695057126e-05,5.934098814420903e-05,6.009647271973163e-05,5.665221132938204e-05,5.161201803140581e-05,7.276281997238557e-05,5.626553677427982e-05,5.4065620961553036e-05,1.8906906010308425e-05,6.111260385197356e-05,11,2026-08-21 13:36:18,0x34c6ed2199274b5ff0814ca630fe4ed7f3946289,570.6235244989317
0,,0,0,0,0,0,0,1,0,0,0,1.1851393492888437e-05,1.6872569071844406e-06,3.49971296703502e-06,1.1851393492888437e-05,3.3007079068098974e-06,2.722471276792875e-06,1.2998575810772634e-06,1.1851393492888437e-05,1.1191764643034377e-06,3.3007079068098974e-06,4,2026-08-22 18:55:49,0xe57416788122cb80f70429b53ad0f066d2cd519d,9.282534200798999
1,4.248753202653281e-05,2,0,0,0,0,0,3,1,0,0,4.7874673482185666e-05,0.00011655220383623175,4.929455512314944e-05,2.1655289038915844e-05,4.9256331379433175e-05,5.0545207030508756e-05,4.8881335798033404e-05,4.248753202653281e-05,1.4385659981707313e-05,4.929455512314944e-05,1,2026-08-23 22:01:34,0x6973d01a4b97fc0a1fe81a55d56b01f420be2778,1.1094453826241717
93,1.7112018368437408e-05,19,4,1,24,19,15,7,69,21,8,1.382382035259605e-05,1.571946248710473e-05,9.873204637751448e-06,2.4178410421283565e-05,5.235024141435235e-06,2.0748715314296885e-05,1.8486720173098954e-05,1.563358477555411e-05,7.794258443409253e-06,7.07867115814436e-06,27,2026-08-24 01:18:03,0xdd106fa7dc9311a3a7ec7a3abbd1c75f55d872c6,693.8663644424411
82,3.5195801556317466e-05,66,1,3,45,46,3,3,37,2,9,3.739543322431852e-05,3.0440948560302863e-06,2.874744413481811e-06,3.592986247988073e-05,4.954341104037804e-05,2.9652577221789577e-06,2.9787380933892595e-06,3.425477957069013e-05,2.8632107513151514e-06,2.963592478698865e-06,35,2026-08-25 00:14:58,0xcabb93c5a6678f43b4ebfe921c246a96b613177e,1941.1743182256166
14,4.385830493434617e-05,2,20,10,3,2,61,56,11,43,12,4.495844645665266e-05,4.4502078226327714e-05,5.760918093360284e-05,4.689064150601416e-05,4.685302640199523e-05,7.584319011559682e-05,4.399630402917264e-05,4.314594582708948e-05,5.563781538278599e-05,4.9951681437125135e-05,5,2026-08-25 08:53:59,0x9756009487826de15e06a00036db893a3fa20c9d,46.43483296624697
84,4.6173263928413995e-05,27,363,79,40,30,334,105,44,224,23,3.9172611760373706e-05,0.00019226289694635555,5.5144434445992655e-05,4.867590579980873e-05,6.414369308274246e-05,0.00017686606424785855,0.00010887707133966786,4.410969910803285e-05,0.00011724557573455795,7.486526939154157e-05,24,2026-08-25 10:52:56,0x9de83d01bc3d0857435529d931679ba5dc31ddf4,1541.3351104944818
115,6.266772410927715e-05,95,27,23,52,152,23,85,63,90,53,8.837407891528374e-05,3.189699780257321e-05,3.604728736161731e-05,6.367070197643634e-05,0.0001670328211942902,3.8537730593841705e-05,5.992792220946371e-05,6.165165219282265e-05,9.965954433479458e-05,3.42654050269875e-05,14,2026-08-25 15:20:20,0x5571e3b04487438847566a54b59b940e6668a8c6,765.0490869125673
381,0.00010017990667668966,145,68,96,150,144,57,30,231,3,159,7.503624519649716e-05,1.2031192025891426e-05,4.986698996213396e-05,9.425500105629253e-05,4.5174396469072665e-05,4.543050160150217e-05,5.243492126397931e-06,0.00010411000245248855,3.6817948024262795e-06,0.00012107406999754312,52,2026-08-26 02:12:27,0x961adf099e1425fc80830509f041a286acfb0545,12217.715425056882
53,3.7666821954256626e-05,90,4,1,24,14,3,0,29,2,10,1.4162026499545753e-05,2.822162714020227e-06,3.2216409438739264e-06,3.949276282580663e-05,7.753634550608429e-06,3.133031219750179e-06,2.5723835691150073e-06,3.63781338202945e-05,2.6397475014142713e-06,3.7516525657846297e-06,4,2026-08-26 03:18:54,0x1441799e0a34b32c9fbb5791dc80eeac25a24519,84.77791740865791
77,4.774779039991604e-05,33,9,279,35,52,15,21,42,13,824,4.875681304156795e-05,5.903429067289455e-06,1.919617238749523e-05,5.0917732170807355e-05,6.125691859781905e-05,9.333622805834034e-06,5.356912687502454e-06,4.539714124167073e-05,4.590875119976771e-06,0.0003105494101323191,13,2026-08-26 12:59:03,0x3f6a33df13763c0f9b3386e904ca180a2839dfa3,737.8916649658039
79,6.790859525367579e-05,48,35,62,47,52,59,145,32,119,49,7.185958142509233e-05,7.148681433020986e-05,4.789719448251867e-05,6.19503803748142e-05,0.00010346501732508909,6.44724395420539e-05,0.00019399588723774766,8.37026204748772e-05,4.519633300297934e-05,8.084142186194821e-05,15,2026-08-26 21:42:14,0x311fd4b3182938b448700ea5015eec171dc7b0f7,1926.695569078463
292,5.5306635289330394e-05,246,422,479,182,85,2257,1082,110,1616,114,0.00017940930050448846,0.0010743001461009938,0.0005201990770983087,5.6379951516082794e-05,0.00014468750351847353,0.000915361899917791,0.002418834599807138,5.3834126634948296e-05,0.0025285832799861446,0.00024790710946540794,89,2026-08-26 22:37:41,0xcebc0cfbc5dd0893a9e3b9d0f75b211ddf5934a0,13259.950135266035
55,5.891577754338286e-05,13,26,29,27,88,38,31,28,8,23,5.1232181123163085e-05,2.5571468945374668e-05,4.6879689855509214e-05,6.256713443524373e-05,8.829622344138063e-05,4.8914882732711606e-05,1.9943159028724253e-05,5.5655326222764576e-05,5.333858602565693e-06,5.658135928511902e-05,31,2026-08-27 03:26:54,0x8ad18d2fc5108d0dcc7c9b14f88083abdc4a666c,3437.5264997032205
125,6.707455481673219e-05,150,0,1,68,68,2,0,57,2,5,8.521698487648511e-05,2.6306869992215483e-06,3.117617490736008e-06,6.612549602467023e-05,3.8298993174345775e-05,2.6749067332525227e-06,2.608179021612461e-06,6.776282985772528e-05,2.6508193159550965e-06,3.1157774191054643e-06,30,2026-08-27 12:32:49,0x014aa4ea00adff7d679aabfbfd777d0c4f8ee424,1692.6533402959622
1032,0.00011775640551905273,262,4,1,522,537,7,2,510,1,5,0.00013605573644867526,3.7191108165169907e-06,6.047704849837469e-06,0.0001050299582264328,0.00026747128247111635,4.127044439618971e-06,3.303705562220623e-06,0.0001318797548619432,3.188472378699926e-06,5.4853633686435775e-06,105,2026-08-27 14:59:27,0x2f656364394686c32ef896a6bf6739f706ad7334,11713.873761943758
523,3.626888250423416e-05,148,32,142,329,95,89,25,194,261,67,5.296622401596717e-05,2.0955487608430394e-05,0.00010205398751462021,3.850511411596717e-05,4.880505988251827e-05,6.523600947747155e-05,1.2748958908877606e-05,3.289648472426676e-05,5.145281197262738e-05,7.959917840446658e-05,336,2026-08-27 16:08:51,0xfc451d1685457859e4fd2e62ab89b69044563f21,99993.18945164321
69,7.59372236015905e-05,28,0,0,4,1,1,0,65,0,6,5.0008354386848534e-05,2.6846174165331638e-06,2.7449926919545966e-06,6.155390289322794e-05,3.2803392408964695e-05,2.692337811560521e-06,2.6846174165331638e-06,7.610573247506651e-05,2.6115874788169787e-06,7.381705743324275e-06,19,2026-08-27 18:22:56,0xcbb777556b6f32bbd6759a0a46f21ad4024e94aa,1127.373808109939
0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,2026-08-27 18:58:43,0x193ca9d55e7aa84358ce14cff7796fc1ebbe4255,0.0
0,,0,0,0,0,0,0,1,0,0,0,,2.0037040060291647e-05,3.7439940309652853e-06,,,1.134805074208729e-05,9.59626059993518e-06,,8.085524969183843e-06,3.7439940309652853e-06,0,2026-08-27 20:02:20,0x499368d95e47708aaf9a8ec2a281ec4ea29b3be1,0.0
64,6.069944191095806e-05,38,55,62,41,94,59,23,23,35,59,8.234842080611214e-05,6.238249384360814e-05,1.6522785775614534e-05,5.7597011343673475e-05,0.00011713501599411129,3.026518957077662e-05,5.3140788632304943e-05,7.110631429955559e-05,2.5939431401699594e-05,2.6445235570759017e-05,31,2026-08-27 20:46:32,0x9ecb1cb29353de3e28cdc26650e2bb6e5574816f,1973.7098019970922
62,5.005442273126903e-05,16,11,30,41,19,5,10,21,13,10,5.296446300322675e-05,3.730829173374113e-05,1.8778855850183064e-05,5.217011992441717e-05,6.069872995171557e-05,1.3361678267200901e-05,8.355642928933119e-06,4.647107365093404e-05,7.0218945585395265e-06,3.196512946594489e-05,44,2026-08-28 03:26:24,0x8ea510381d51d46c41d9edeff97164a21bfedede,4451.070592401649
66,4.7552202481324406e-05,30,0,2,38,123,1,0,28,0,5,5.528756912871947e-05,3.1984029059684683e-06,3.857610254187889e-06,4.588249968066893e-05,9.196041825807228e-05,3.211786769849597e-06,3.0701065004811345e-06,4.97617004352058e-05,3.0122354040859927e-06,4.10499940371488e-06,33,2026-08-28 09:55:45,0xd5ae5b7eff73f295a999febc96ffeca5e1834d7d,2387.7777580292145
45,7.222388569182914e-05,72,53,60,2,71,186,10,43,917,62,0.00010584025199124101,6.422220831366139e-05,0.0001311249354137882,6.158686181578734e-05,0.00012791652830345908,0.00017917054430254423,2.891098774608226e-05,7.244230896457705e-05,5.528948551687589e-05,5.1710775104335876e-05,12,2026-08-28 11:03:07,0x6ebebfbf4586ecedcb3a97306df2f196c28e9dd5,484.2084746783198
261,5.740743432327505e-05,39,2,12,128,89,8,1,133,1,13,5.7799510057593526e-05,3.198478866595758e-06,8.534822678422845e-06,4.895987824304267e-05,1.0680672087661714e-05,5.620222731053247e-06,2.8327077792709586e-06,6.855185147085028e-05,2.6561483354455334e-06,1.0879357592466079e-05,102,2026-08-28 13:29:19,0xe1017651f047a13dcf3b196e38665e5450c6294d,10280.904544934607
1,5.3176832684826236e-05,0,0,0,0,0,1,0,1,0,0,6.686610588278247e-05,7.87356969681114e-06,0.00012412352151538702,4.2039156418061746e-05,0.00010788962787057905,7.87356969681114e-06,4.456512622751367e-06,5.3176832684826236e-05,4.456512622751367e-06,0.00012412352151538702,1,2026-08-28 18:32:14,0x240e0aec123ac9247bb4068beb491e4ad07a6e37,1.0082061889055487
47,4.4565051240669576e-05,10,2,6,26,44,0,1,21,5,29,4.200885682542963e-05,2.0279048628488948e-05,2.4256377361233532e-05,4.041339715266603e-05,7.401868522090531e-05,2.2233250902608964e-05,1.5775748129530393e-05,5.0288134716445556e-05,2.154485713933286e-05,2.9048357543476932e-05,17,2026-08-28 18:59:21,0x202eadc406bf5a228387057c01139a1a2f6e01ff,895.3172957636576
1,5.492573829093454e-06,0,0,0,0,0,0,0,1,0,0,3.314110774609924e-06,2.088106226044983e-06,2.088106226044983e-06,,3.314110774609924e-06,2.088106226044983e-06,2.088106226044983e-06,5.492573829093454e-06,2.088106226044983e-06,2.088106226044983e-06,0,2026-08-28 19:45:49,0xeba896438aac1c2c81bfb99f056f5a94a10bfcbe,0.0
4,4.821148460733618e-12,0,0,0,0,0,0,0,4,0,0,1.4367018230622868e-09,1.4367018230622868e-09,1.4367018230622868e-09,,1.4367018230622868e-09,1.4367018230622868e-09,2.5397127572415632e-06,4.821148460733618e-12,2.8805590344521995e-05,1.4367018230622868e-09,0,2026-08-28 21:28:38,0xdae8102ef66cf0814c968bec5d5cedada8721fc0,0.0
101,3.383899732120623e-05,31,10,4,45,27,13,10,56,23,58,3.4617071351302434e-05,1.3373931477778316e-05,4.659231070956155e-06,3.389266674943932e-05,2.767256716991053e-05,7.477399463916358e-06,8.498151719253665e-06,3.3778958230993374e-05,9.24041059599964e-06,1.1240266468123814e-05,24,2026-08-29 01:58:51,0xa845ab9de80e00159373f1e94913c8b768c55a12,1706.8848593922119
96,5.5679569344042696e-05,174,12,269,44,38,2924,5,52,14,311,7.310949956363163e-05,7.200214225314073e-06,8.117081954135992e-05,6.29064009519738e-05,3.796805216005015e-05,0.000410601307818569,5.416150985045423e-06,5.16855427324501e-05,5.642971956925233e-06,0.0001707454233103977,65,2026-08-29 12:04:22,0xd2961c8d8e4e7b67298d7965a93dfbc794cb50ff,2975.8581204496168
0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,2026-08-29 12:19:49,0x1c9e6698b0613dfee5d87092897ceb61b8b96ca9,0.0
636,6.840973585827299e-05,439,1383,311,355,194,148,451,281,587,294,0.00012210849659738214,0.0006863989050676526,0.0001566230397191116,6.952812809820345e-05,0.00016564076528313568,0.00016317360202718555,0.0004515766788579793,6.705952638931717e-05,0.0003526488377213702,0.0002456118819965316,205,2026-08-29 12:49:37,0x030fa758dad53f0d6e23cfd3a8fe7bc7b54e5ac9,31551.206646470426
8,3.6811766748217364e-05,5,1,23,7,211,19,0,1,0,54,3.966357635441943e-05,3.2364006666600785e-06,1.9541770125849277e-05,3.678866387380685e-05,0.00010101994172608237,2.0718939105158157e-05,3.099393458836912e-06,3.746794772260192e-05,3.2550222449849816e-06,1.9758100856128366e-05,5,2026-08-29 16:40:15,0x693f3d7e3d1ebac11470c3bcf8ad1cb00a90ba66,461.09107259804136
0,,0,12,0,0,0,6,0,0,0,0,,0.0003082158920569102,,,,6.550461404956513e-05,1.3359549665238161e-05,,9.899707789718382e-06,,0,2026-08-29 17:27:12,0x4165103bcf4dca4bbb7b1d873d575ef62eaffb76,0.0
0,,1,0,0,0,0,0,0,0,0,0,1.0469864355208173e-05,1.0469864355208173e-05,1.0469864355208173e-05,,1.0469864355208173e-05,1.0469864355208173e-05,1.0469864355208173e-05,,1.0469864355208173e-05,1.0469864355208173e-05,0,2026-08-29 18:16:22,0x55a754ffb8ff44872021290c5eb8ce8bff28b26f,0.0
156,6.272999356552185e-05,32,56,22,95,43,48,30,61,50,12,4.2972646812782243e-05,4.9839915721854215e-05,2.262513469216088e-05,6.523990333251695e-05,7.265475714164942e-05,4.23300613204409e-05,3.01052763259834e-05,5.653520857560403e-05,3.188185713979978e-05,5.964185178385989e-05,87,2026-08-29 18:22:14,0x64cd85b86605992826dba09a5de9a70be9ae43d2,5850.831610323604
0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,2026-08-29 18:47:14,0x999a7fa88a272663a0f4ac017886cbfbbd4bb389,0.0
0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,2026-08-29 18:47:47,0x34eb0c855abf70278f1cf6d16abe6a3c2db52e0c,0.0
135,3.2850874205520804e-05,61,0,2,55,3,1,0,80,1,1,1.9834521164567943e-05,2.9251704119335827e-06,3.1847530594535307e-06,4.313144478398167e-05,3.887740395238118e-06,3.0772433459633716e-06,2.859313625884193e-06,2.744314725540005e-05,2.809117931018595e-06,3.3346738297949187e-06,76,2026-08-29 19:19:04,0xa8056390383f77b730d0f217a5002e082dab61e9,6558.235085879031
18,3.371655365687065e-05,0,1,0,6,1,0,0,12,0,0,2.602707917021218e-05,2.6805651814990003e-06,2.7764012929070357e-06,4.085028883115128e-05,2.571502980336934e-05,2.74957277575422e-06,3.6597655840221048e-06,3.226891645928353e-05,3.6531275912612674e-06,2.7310176651584682e-06,11,2026-08-29 21:10:48,0xb0fda17d0f227ce1b774b2220ad519a76a6c983c,439.1212903157922
199,4.762693656734117e-05,77,2279,117,157,372,194,537,42,406,153,4.7727877282426255e-05,0.0007063929307429101,0.00013844028284862547,4.4958440705516946e-05,0.00016516567804135767,0.00018114733414781634,0.00018449804345572565,5.679573731392131e-05,0.00023187996083899397,9.794254829914176e-05,119,2026-08-29 21:56:49,0xf1c66c8d49744067333dbf2ca2ad01aa92b12777,10202.764886509685
0,,0,0,6,0,1,1,0,0,0,4,,4.262132039986276e-06,5.779719264933711e-06,,0.00013813162171308173,8.036211681855737e-06,3.855464691111662e-06,,2.429883187487358e-06,0.00011111805199501364,0,2026-08-29 22:46:57,0x49491f2441f03aefa0dd3f6f4fdc5a2ec7859a49,0.0
206,5.602989659325835e-05,46,0,1,114,142,0,0,92,0,239,6.486479566081726e-05,2.739988792304666e-06,3.492510420487222e-06,5.130366397719961e-05,7.137030601715286e-05,3.97768342798215e-06,2.6354743307001327e-06,6.228345076355714e-05,2.6354743307001327e-06,7.618304564298386e-05,53,2026-08-29 22:59:36,0xa4fb5b5d102ae6df4e18076e1d17498c4df4de28,3358.5943781875653
