entry_n,entry_vwap,exit_n_120,exit_n_14400,exit_n_1800,exit_n_30,exit_n_300,exit_n_3600,exit_n_43200,exit_n_60,exit_n_86400,exit_n_900,exit_vwap_120,exit_vwap_14400,exit_vwap_1800,exit_vwap_30,exit_vwap_300,exit_vwap_3600,exit_vwap_43200,exit_vwap_60,exit_vwap_86400,exit_vwap_900,n_buys_pre,t0,token,vol_usd_pre
0,,0,11,10,0,0,21,7,0,1,4,,0.00011320359040376309,0.00025672919457553426,,,7.947890827928948e-05,4.085724770387866e-05,,1.397339578530318e-05,0.00017367519143417164,0,2026-08-27 03:27:48,0x4adb43daad04439eff802768682798654444acf6,0.0
188,6.411660393544065e-05,121,123,74,121,41,46,58,67,324,56,0.0001000053429137404,0.00017328138331634853,9.920361481598989e-05,6.49305941756831e-05,0.0001003868870315329,9.421894673073914e-05,4.155094239860009e-05,6.21210483947663e-05,0.0001109585099488979,6.969992364892357e-05,64,2026-08-27 12:14:15,0x4f3b422051a7d183a017898179961c9e9d50ac7c,10462.076527381738
0,,0,0,0,0,0,0,0,0,0,2,,4.215097791620761e-06,4.215097791620761e-06,,5.790896809067594e-06,4.215097791620761e-06,4.215097791620761e-06,,4.215097791620761e-06,4.1092145108477376e-06,0,2026-08-27 15:45:41,0x69a007be2863cc42b11feb8ff32d18bd87123df2,0.0
113,1.345243221895526e-05,30,0,0,82,1,0,0,31,0,0,5.833143277078011e-06,2.134421239770041e-06,2.366822607248087e-06,1.5500509847231613e-05,7.58203209518298e-06,2.2075170403670156e-06,2.0359846857282005e-06,9.651836102932765e-06,2.1404848801182952e-06,3.6854506252114097e-06,47,2026-08-27 18:15:35,0x6f62ac12309c656af64f7cfba536534699ebde22,4603.67614407195
186,5.915300590397212e-05,56,0,5,103,49,3,1,83,2,138,7.481234215929128e-05,4.240178493302563e-06,5.14775589722165e-06,5.61841457247622e-05,5.705518645790044e-05,4.61779432024519e-06,3.975949312385071e-06,6.335536522049521e-05,2.707270805271962e-06,8.291738779359161e-06,114,2026-08-27 18:19:09,0xa7c7369aba7f8d831a822b2820547806e6535c39,13606.836576801321
193,2.8864442907530984e-05,18,23,71,145,7,24,18,48,26,11,2.2654331531293233e-05,1.9349390815594737e-05,4.7817536561607434e-05,3.3373751903474786e-05,2.857093992402113e-05,3.2416070818624066e-05,3.34761231700386e-05,2.2061511768621544e-05,4.765150303447637e-06,2.9462308752560218e-05,160,2026-08-27 21:27:01,0x3653c1abbce11b9be82a9d5ec1c6d7a77aa1c038,21489.160711405457
270,3.963273097985178e-05,105,4,57,130,12,0,1,140,0,7,1.5165300282480645e-05,3.4802927859746977e-06,9.009244172286886e-06,5.2315686578387815e-05,8.481087386711439e-06,4.623266670792973e-06,2.740894310534907e-06,3.214173769725598e-05,2.820393343691301e-06,8.431745932734122e-06,104,2026-08-27 14:00:11,0xcba6c974da70d264e3fac81c94441fecdc44bfa0,6731.128239811157
14,5.274411039117345e-05,8,94,53,5,16,43,144,9,364,14,5.837678295068353e-05,0.00023901053283838588,0.00014166177993885835,5.2615100795463586e-05,6.433615157792857e-05,9.082178948475051e-05,0.0002619756893842145,5.277521108948214e-05,0.00037695511653558636,7.680769026586916e-05,5,2026-08-27 14:25:11,0x76af8d3b40a0d7b5197935d0e84c14f7a3782e87,114.34766651758015
106,3.9308082873678776e-05,29,11,12,39,25,15,11,67,9,15,4.1363078936360646e-05,1.9694636860042402e-05,2.824226445581186e-05,3.770883747162091e-05,5.8417234364524546e-05,2.7301249889514275e-05,8.945325143540665e-06,4.027057041190065e-05,3.2878258511435725e-06,2.5463450060476083e-05,21,2026-08-27 16:42:20,0x5baf810271cf08fcdfbbc4cbfc67bab97897805a,1881.294737394198
43,3.586633401026406e-05,36,7,16,19,6,29,99,24,121,32,3.1967895778312137e-05,3.631799091711435e-05,4.79631608717037e-05,3.44581095467626e-05,3.6344875189465193e-05,5.36925082629952e-05,8.146209966807338e-05,3.92263813467421e-05,0.00010163543039051262,4.420701643369167e-05,19,2026-08-27 18:50:51,0x48dca2206189013fa50b9b2c38233b9363d72bd9,1062.0961703585472
