entry_n,entry_vwap,exit_n_120,exit_n_14400,exit_n_1800,exit_n_30,exit_n_300,exit_n_3600,exit_n_43200,exit_n_60,exit_n_86400,exit_n_900,exit_vwap_120,exit_vwap_14400,exit_vwap_1800,exit_vwap_30,exit_vwap_300,exit_vwap_3600,exit_vwap_43200,exit_vwap_60,exit_vwap_86400,exit_vwap_900,n_buys_pre,t0,token,vol_usd_pre
303,7.706707197773672e-05,38,0,0,205,34,1,0,98,1,2,7.78099415051856e-05,3.430443366557036e-06,2.9521348371086334e-06,8.213108453496243e-05,3.3025688653858544e-05,3.0868235949519114e-06,3.2396574787512634e-06,6.781876808348568e-05,3.2108164432312483e-06,2.9760836709730376e-06,187,2026-08-27 14:57:48,0x1af9ce5ef38b4e0947ee0e948a492a167f554727,44553.8339024711
972,0.0006681213064937426,524,0,1,517,32,8,0,455,2,22,0.0001971598449753913,3.945200356998067e-06,4.1092953476761855e-06,0.0005373621616067292,1.0311196124504095e-05,4.062125508840216e-06,4.394065139932485e-06,0.0008643992814041595,4.250892763195105e-06,4.629915469851681e-06,122,2026-08-27 00:01:29,0x3a3c4096a6d930ec7f9755ada06a1d414c35998b,48228.40225690062
28,3.9664048532191834e-05,12,5,9,14,2,6,3,14,30,31,4.143457432255296e-05,5.1029348546430815e-05,6.891184609487113e-05,4.1387383052771816e-05,5.918699427125071e-05,5.6349164689223154e-05,6.68866411416832e-05,3.832577849022337e-05,4.3464270890190266e-05,6.745857043821613e-05,10,2026-08-27 20:42:13,0x26fe0f73fb5ea558a2a67fd94198abbc078fc03e,364.4902813174586
0,,0,0,0,0,0,0,0,0,0,2,,3.993970566938565e-06,3.993970566938565e-06,,5.790896809067594e-06,3.993970566938565e-06,3.993970566938565e-06,,3.993970566938565e-06,4.1092145108477376e-06,0,2026-08-27 15:45:41,0x69a007be2863cc42b11feb8ff32d18bd87123df2,0.0
567,4.2953486894644144e-05,69,0,0,374,33,1,0,193,1,1,5.874513070892341e-06,2.660155613085448e-06,3.2378290851044736e-06,5.698388921426746e-05,4.507343866584604e-06,2.829608623650525e-06,2.698779168408689e-06,2.556250784965481e-05,2.543168590394164e-06,3.3437284915360664e-06,219,2026-08-27 16:35:17,0xa2b34ceb92ca22ffde389e0effc64ec0a96fe2c0,26739.213178500995
76,7.875567162952489e-05,25,50,73,41,8,36,74,35,104,39,9.218470655409294e-05,0.00012758787278943808,0.00022075875862834912,7.017501995607309e-05,9.508928802679589e-05,0.0002256886773355392,0.0002371766998890621,9.882431546542952e-05,0.0001868770350789474,0.00013134235446622534,41,2026-08-27 20:38:39,0x404f8d6168ad19b1a7fcb15bf8d271cd4389ecb0,5296.331343554689
188,6.411660393544062e-05,121,123,74,121,41,46,58,67,324,56,0.00010000534291374036,0.00017328138331634853,9.920361481598985e-05,6.49305941756831e-05,0.00010038688703153291,9.421894673073912e-05,4.155094239860008e-05,6.212104839476629e-05,0.00011095850994889781,6.969992364892355e-05,64,2026-08-27 12:14:15,0x4f3b422051a7d183a017898179961c9e9d50ac7c,10462.076527381741
0,,0,0,0,0,1,3,0,0,0,0,,4.074453036226975e-06,2.1759366474811096e-05,,5.110910241614299e-05,6.309329696591336e-06,4.074453036226975e-06,,4.074453036226975e-06,9.515636917765207e-06,0,2026-08-27 20:01:17,0x0dbaf73e647e00c6fdfdcdbcecf25ade4e1c7b85,0.0
0,,0,0,0,0,0,0,0,0,0,0,5.984751649451908e-05,7.279804761079922e-06,5.984751649451908e-05,5.984751649451908e-05,5.984751649451908e-05,5.984751649451908e-05,6.232364337987872e-06,5.984751649451908e-05,6.232364337987872e-06,5.984751649451908e-05,2,2026-08-27 17:23:10,0x2b03f8944d72a7e7aa627733a55985c6f9a8b647,3.3884061554000002
348,8.931918515188366e-05,63,92,85,168,22,34,17,180,102,100,9.501140258255092e-05,0.00014756402356954374,0.00027612922297440935,7.625918641715739e-05,5.0886771330667e-05,0.0001950323164355516,0.00021157064811025653,0.00010815869371828052,0.0001750566395449028,0.00014380540275566844,34,2026-08-27 17:29:31,0xd29c4ea8a729eb60820f703744ac1fb35baf11cd,6364.6207187020045
