column_name,data_type,ordinal_position,table_name,table_schema
contract_address,varbinary,1,dualaggregator_call_decimals,chainlink_robinhood
call_success,boolean,2,dualaggregator_call_decimals,chainlink_robinhood
call_tx_hash,varbinary,3,dualaggregator_call_decimals,chainlink_robinhood
call_tx_from,varbinary,4,dualaggregator_call_decimals,chainlink_robinhood
call_tx_to,varbinary,5,dualaggregator_call_decimals,chainlink_robinhood
call_tx_index,integer,6,dualaggregator_call_decimals,chainlink_robinhood
call_trace_address,array(bigint),7,dualaggregator_call_decimals,chainlink_robinhood
call_block_time,timestamp(3),8,dualaggregator_call_decimals,chainlink_robinhood
call_block_number,bigint,9,dualaggregator_call_decimals,chainlink_robinhood
call_block_date,date,10,dualaggregator_call_decimals,chainlink_robinhood
output_0,integer,11,dualaggregator_call_decimals,chainlink_robinhood
contract_address,varbinary,1,dualaggregator_call_description,chainlink_robinhood
call_success,boolean,2,dualaggregator_call_description,chainlink_robinhood
call_tx_hash,varbinary,3,dualaggregator_call_description,chainlink_robinhood
call_tx_from,varbinary,4,dualaggregator_call_description,chainlink_robinhood
call_tx_to,varbinary,5,dualaggregator_call_description,chainlink_robinhood
call_tx_index,integer,6,dualaggregator_call_description,chainlink_robinhood
call_trace_address,array(bigint),7,dualaggregator_call_description,chainlink_robinhood
call_block_time,timestamp(3),8,dualaggregator_call_description,chainlink_robinhood
call_block_number,bigint,9,dualaggregator_call_description,chainlink_robinhood
call_block_date,date,10,dualaggregator_call_description,chainlink_robinhood
output_0,varchar,11,dualaggregator_call_description,chainlink_robinhood
