column_name,data_type,ordinal_position,table_name,table_schema
contract_address,varbinary,1,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_tx_hash,varbinary,2,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_tx_from,varbinary,3,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_tx_to,varbinary,4,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_tx_index,integer,5,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_index,bigint,6,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_block_time,timestamp(3),7,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_block_number,bigint,8,dualaggregator_evt_answerupdated,chainlink_robinhood
evt_block_date,date,9,dualaggregator_evt_answerupdated,chainlink_robinhood
current,int256,10,dualaggregator_evt_answerupdated,chainlink_robinhood
roundid,uint256,11,dualaggregator_evt_answerupdated,chainlink_robinhood
updatedat,uint256,12,dualaggregator_evt_answerupdated,chainlink_robinhood
contract_address,varbinary,1,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_tx_hash,varbinary,2,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_tx_from,varbinary,3,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_tx_to,varbinary,4,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_tx_index,integer,5,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_index,bigint,6,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_block_time,timestamp(3),7,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_block_number,bigint,8,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
evt_block_date,date,9,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
name,varchar,10,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
stock,varbinary,11,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
symbol,varchar,12,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
uid,varbinary,13,factory_deployer_evt_deployed,rwa_stock_factory_robinhood
