feed_address,first_update,last_update,n_updates,n_updates_outside_market_hours
0x7b2fdfcea772f093dd33b3acf8ee294b368f6c23,2026-07-01 00:01:51.000 UTC,2026-08-31 21:47:32.000 UTC,5670,3056
0xe50c4775fefc1e3c9206771dd0056aee30f51b2f,2026-07-01 01:04:08.000 UTC,2026-08-31 19:55:14.000 UTC,5156,2365
0xa088fad0a0a62693af068e2edb80b1578c8a9365,2026-07-01 00:02:28.000 UTC,2026-08-31 19:55:08.000 UTC,3609,1980
0xeff19b88e3c72f046e4a19a1e62544d5869d4275,2026-07-01 01:13:29.000 UTC,2026-08-31 19:52:57.000 UTC,3421,1014
0x59ab60b1d63de8b282852573d18a3a99c04c787c,2026-07-01 00:33:10.000 UTC,2026-08-31 19:50:43.000 UTC,3017,1283
0xd9c04b7353421fc4deb1614ed13fe10d90e586cc,2026-07-01 00:06:14.000 UTC,2026-08-31 19:52:50.000 UTC,3006,1277
0x901d8df245e48dfc82d6483fc45b5be6ddc5281a,2026-07-01 01:10:45.000 UTC,2026-08-31 22:22:05.000 UTC,2934,1160
0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,2026-07-01 00:04:20.000 UTC,2026-08-31 16:11:53.000 UTC,2883,1458
0x886e11c1053289eed882c734e1864efe3430bc24,2026-07-01 00:00:54.000 UTC,2026-08-31 19:51:37.000 UTC,2810,988
0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-01 00:04:17.000 UTC,2026-08-31 23:06:14.000 UTC,2565,1088
0x42b1c5174ce84be751a23489d7dbdc969bc17ea2,2026-07-01 02:07:25.000 UTC,2026-08-31 19:55:31.000 UTC,2543,820
0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-02 14:23:02.000 UTC,2026-08-31 19:55:23.000 UTC,2506,814
0x105cbe427bbd3225826a450f67ea80fec6417f93,2026-07-01 00:11:20.000 UTC,2026-08-31 19:50:47.000 UTC,2455,1691
0xdad54b8ee51af258e5a6faa9a84a3300f4775f7d,2026-07-01 02:02:18.000 UTC,2026-08-31 19:50:35.000 UTC,2110,944
0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,2026-07-01 01:11:13.000 UTC,2026-08-31 23:03:26.000 UTC,1955,705
0xd6ed4e7d4aba1111eb42a349899b5c72ee1c9fef,2026-07-20 16:21:13.000 UTC,2026-08-31 21:03:10.000 UTC,1688,699
0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-01 01:12:40.000 UTC,2026-08-31 19:55:40.000 UTC,1408,523
0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,2026-07-01 03:11:10.000 UTC,2026-08-31 19:32:21.000 UTC,1395,515
0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,2026-07-01 05:42:42.000 UTC,2026-08-31 23:04:31.000 UTC,1058,714
0xcdf6f7043b3af6afa0caaace1230b355096b5386,2026-07-01 01:10:45.000 UTC,2026-08-31 19:28:11.000 UTC,907,587
0xc190b6164b9e320a6400cdab0085a2e0e2b9738e,2026-07-01 10:12:27.000 UTC,2026-08-31 19:20:43.000 UTC,873,338
0x7a6b81ba7fbcb90104d8c496158cf383cd7233b1,2026-07-01 01:43:31.000 UTC,2026-08-31 17:16:33.000 UTC,869,281
0xc9d16e4f2569b9e3ea0468fd85844953713dc2a2,2026-07-01 01:55:17.000 UTC,2026-08-31 19:59:46.000 UTC,800,321
0x93503dfc97157cdb8aadccaf70452621d598fdeb,2026-07-01 10:20:52.000 UTC,2026-08-31 19:50:34.000 UTC,566,227
0xc3b117f52cf17dd4369eaf5eaf7cf0e2f91b4e30,2026-07-01 08:21:03.000 UTC,2026-08-31 19:40:53.000 UTC,550,228
0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-01 04:00:59.000 UTC,2026-08-31 15:24:52.000 UTC,542,213
0xf83cde62d1cd90de8d2bf3332b90c590985ad679,2026-07-01 02:11:25.000 UTC,2026-08-31 20:57:36.000 UTC,535,200
0xbb11a21267cfdb63d4935d99a499133dd1744acb,2026-07-01 12:49:17.000 UTC,2026-08-31 19:59:49.000 UTC,414,142
0x25e996ce8b3529885d429241156e83e7b7744049,2026-07-01 02:05:57.000 UTC,2026-08-31 05:15:41.000 UTC,246,115
0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-01 16:01:38.000 UTC,2026-08-31 00:00:33.000 UTC,90,36
0x0e96b7708487f91baac09697593d3e8bf253f2d8,2026-07-02 14:23:57.000 UTC,2026-08-31 00:00:41.000 UTC,47,44
