feed_address,decimals,description,matched_symbol
0x0e96b7708487f91baac09697593d3e8bf253f2d8,8,Robinhood SGOV-USD,SGOV
0x105cbe427bbd3225826a450f67ea80fec6417f93,8,Robinhood EWY / USD,EWY
0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,8,Robinhood GOOGL / USD,GOOGL
0x25e996ce8b3529885d429241156e83e7b7744049,8,Robinhood QQQ / USD,QQQ
0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,8,Robinhood COIN / USD,COIN
0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,8,Robinhood PLTR / USD,PLTR
0x42b1c5174ce84be751a23489d7dbdc969bc17ea2,8,Robinhood RGTI / USD,RGTI
0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,8,Robinhood ORCL / USD,ORCL
0x55bd01f666c99e4590e084fdeff88041bb50ccd1,8,Robinhood MSTR / USD,MSTR
0x59ab60b1d63de8b282852573d18a3a99c04c787c,8,Robinhood RKLB / USD,RKLB
0x76ba75c6c362900b275d9d4d5c422f0275e85578,8,Robinhood USAR-USD,USAR
0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,8,RHSPY / USD,SPY
0x7a6b81ba7fbcb90104d8c496158cf383cd7233b1,8,RHTSLA / USD,TSLA
0x7b2fdfcea772f093dd33b3acf8ee294b368f6c23,8,RHSNDK / USD,SNDK
0x886e11c1053289eed882c734e1864efe3430bc24,8,Robinhood IONQ / USD,IONQ
0x901d8df245e48dfc82d6483fc45b5be6ddc5281a,8,Robinhood CRCL / USD,CRCL
0x93503dfc97157cdb8aadccaf70452621d598fdeb,8,Robinhood AMZN / USD,AMZN
0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,8,RHINTC / USD,INTC
0xa088fad0a0a62693af068e2edb80b1578c8a9365,8,RHMU / USD,MU
0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,8,RHUSO / USD,USO
0xbb11a21267cfdb63d4935d99a499133dd1744acb,8,Robinhood AAPL / USD,AAPL
0xc190b6164b9e320a6400cdab0085a2e0e2b9738e,8,Robinhood META / USD,META
0xc3b117f52cf17dd4369eaf5eaf7cf0e2f91b4e30,8,RHMSFT / USD,MSFT
0xc9d16e4f2569b9e3ea0468fd85844953713dc2a2,8,RHNVDA / USD,NVDA
0xcdf6f7043b3af6afa0caaace1230b355096b5386,8,Robinhood SLV / USD,SLV
0xd6ed4e7d4aba1111eb42a349899b5c72ee1c9fef,8,Robinhood DELL-USD,DELL
0xd9c04b7353421fc4deb1614ed13fe10d90e586cc,8,Robinhood CRWV / USD,CRWV
0xdad54b8ee51af258e5a6faa9a84a3300f4775f7d,8,RHAMD / USD,AMD
0xe50c4775fefc1e3c9206771dd0056aee30f51b2f,8,Robinhood NBIS / USD,NBIS
0xeff19b88e3c72f046e4a19a1e62544d5869d4275,8,Robinhood CLSK / USD,CLSK
0xf83cde62d1cd90de8d2bf3332b90c590985ad679,8,Robinhood GME / USD,GME
