entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
0,,,1,0.000233471758781644,0.174756,0,,,0,,,2026-07-08 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,8.628661143772e-06,0.0006445981649999999,0,,,0,,,0,,,2026-07-08 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,1,0.000233471758781644,0.174756,0,,,2026-07-08 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.000233471758781646,0.1747160337794945,0,,,0,,,1,0.000233471758781644,0.174756,2026-07-08 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 17:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 18:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 19:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 20:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 21:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 22:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,0,,,0,,,0,,,2026-07-08 23:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,1,0.000483385384284221,0.352827184068,0,,,0,,,2026-07-09 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,1,0.001566703382173798,1.1504074180816755,0,,,0,,,2026-07-09 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,26,1.0967461848757978,842.6312326721159,0,,,0,,,2026-07-09 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,14,0.28726908345096713,213.38610058782578,0,,,0,,,2026-07-09 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,13,0.13491847463735515,88.7700196605691,0,,,0,,,2026-07-09 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,15,0.42331791873143204,313.992651471851,0,,,0,,,2026-07-09 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,4,0.021004115362693754,15.575718854124002,0,,,0,,,2026-07-09 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,9,0.16527325753819255,122.14760227422501,0,,,0,,,2026-07-09 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,1,0.05046518186036984,38.51165471055,1,0.000483385384284221,0.352827184068,0,,,2026-07-09 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,1,0.02294447497905901,17.510501355480002,1,0.001566703382173798,1.1504074180816755,0,,,2026-07-09 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,13,0.16119320222493758,119.02946011375349,26,1.0967461848757978,842.6312326721159,0,,,2026-07-09 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.13902714898934,100.45670447383199,3,0.011358781479346821,8.330224585296,14,0.28726908345096713,213.38610058782578,0,,,2026-07-09 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,5,0.0539064887887203,40.61295021302076,13,0.13491847463735515,88.7700196605691,1,0.000483385384284221,0.352827184068,2026-07-09 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.002401591503394646,1.7832094109207153,3,0.04180228012791511,31.624760998471004,15,0.42331791873143204,313.992651471851,1,0.001566703382173798,1.1504074180816755,2026-07-09 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
25,0.9643388364146777,733.9570563258621,25,0.11003186511055628,81.433242483276,4,0.021004115362693754,15.575718854124002,26,1.0967461848757978,842.6312326721159,2026-07-09 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
9,0.13779478404348972,101.828331389653,0,,,9,0.16527325753819255,122.14760227422501,14,0.28726908345096713,213.38610058782578,2026-07-09 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
5,0.09201259540593171,68.88996444387,3,0.039996574962074295,29.565546931344002,1,0.05046518186036984,38.51165471055,13,0.13491847463735515,88.7700196605691,2026-07-09 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
9,0.07426263514162214,54.70320216265,4,0.09150725645527215,66.914092148983,1,0.02294447497905901,17.510501355480002,15,0.42331791873143204,313.992651471851,2026-07-09 17:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,1,0.000378114321373732,0.27664855193699994,13,0.16119320222493758,119.02946011375349,4,0.021004115362693754,15.575718854124002,2026-07-09 18:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.008631845970791922,6.452975499149,3,0.03279190748352109,24.587254735305002,3,0.011358781479346821,8.330224585296,9,0.16527325753819255,122.14760227422501,2026-07-09 19:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
3,0.03735733118389966,28.048403208074998,3,0.04313503598164112,31.794529734016,5,0.0539064887887203,40.61295021302076,1,0.05046518186036984,38.51165471055,2026-07-09 20:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,2,0.012202679312656253,8.951903131377,3,0.04180228012791511,31.624760998471004,1,0.02294447497905901,17.510501355480002,2026-07-09 21:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,2,0.007775986379581861,5.687161655327,25,0.11003186511055628,81.433242483276,13,0.16119320222493758,119.02946011375349,2026-07-09 22:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.006998276192141335,5.230227823910001,3,0.032170683853115244,23.858875448399,0,,,3,0.011358781479346821,8.330224585296,2026-07-09 23:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.23991290923404224,173.627263456128,7,0.06482830753702627,48.276719228437,3,0.039996574962074295,29.565546931344002,5,0.0539064887887203,40.61295021302076,2026-07-10 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
9,0.22672628877747694,338.8615267311232,2,0.0720247866965873,53.054731325088,4,0.09150725645527215,66.914092148983,3,0.04180228012791511,31.624760998471004,2026-07-10 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
25,0.2330493922869231,181.16608306852402,61,1.6493972941869246,1204.652842157163,1,0.000378114321373732,0.27664855193699994,25,0.11003186511055628,81.433242483276,2026-07-10 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.045705498627887524,33.911263394538004,4,0.0157283923573373,11.503119136354998,3,0.03279190748352109,24.587254735305002,0,,,2026-07-10 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,6,0.07420927827685567,54.667283159743,3,0.04313503598164112,31.794529734016,3,0.039996574962074295,29.565546931344002,2026-07-10 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
0,,,2,0.016658978379256832,12.122003364618,2,0.012202679312656253,8.951903131377,4,0.09150725645527215,66.914092148983,2026-07-10 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.001718645075432282,1.257240869404,1,0.011061532635926758,7.934035213225001,2,0.007775986379581861,5.687161655327,1,0.000378114321373732,0.27664855193699994,2026-07-10 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
6,0.045752851635788516,34.168158797425,10,0.3741423080512631,275.215638741416,3,0.032170683853115244,23.858875448399,3,0.03279190748352109,24.587254735305002,2026-07-10 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.03366942947882911,24.91056460856,2,0.04537586525719776,33.7087932235,7,0.06482830753702627,48.276719228437,3,0.04313503598164112,31.794529734016,2026-07-10 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
3,0.07364987699147292,53.934719785560006,1,0.01175235312203926,8.962116977529,2,0.0720247866965873,53.054731325088,2,0.012202679312656253,8.951903131377,2026-07-10 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
4,0.004088059016710341,3.0412384441306908,3,0.000991233106178493,0.7588341376009999,61,1.6493972941869246,1204.652842157163,2,0.007775986379581861,5.687161655327,2026-07-10 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
5,0.02071038304191832,15.244379696254,4,0.06448055200344145,51.88601018509502,4,0.0157283923573373,11.503119136354998,3,0.032170683853115244,23.858875448399,2026-07-10 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.002660894556898057,1.966156086524,6,0.14588406134469278,108.04083045736495,6,0.07420927827685567,54.667283159743,7,0.06482830753702627,48.276719228437,2026-07-10 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
3,0.02837001906943608,21.434918526311,3,0.052909642528921164,40.237538839443,2,0.016658978379256832,12.122003364618,2,0.0720247866965873,53.054731325088,2026-07-10 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.003652864723974485,2.6858774541429997,3,0.015966344781004223,12.036395463474186,1,0.011061532635926758,7.934035213225001,61,1.6493972941869246,1204.652842157163,2026-07-10 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
5,0.09825052263404481,71.446188038748,1,0.001992265843706194,1.497124209168,10,0.3741423080512631,275.215638741416,4,0.0157283923573373,11.503119136354998,2026-07-10 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.00155143228787096,1.1334368568879998,3,0.0487044274589184,36.193618420672,2,0.04537586525719776,33.7087932235,6,0.07420927827685567,54.667283159743,2026-07-10 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.016226791490037862,11.710968366924,5,0.5362616725084357,377.87721651861295,1,0.01175235312203926,8.962116977529,2,0.016658978379256832,12.122003364618,2026-07-10 17:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
4,0.08992466178417172,66.298321812053,0,,,3,0.000991233106178493,0.7588341376009999,1,0.011061532635926758,7.934035213225001,2026-07-10 18:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
5,0.0577997842780259,42.673669757721996,0,,,4,0.06448055200344145,51.88601018509502,10,0.3741423080512631,275.215638741416,2026-07-10 19:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.016635167657802315,12.5999244,106,5.182951901843362,3887.26296691996,6,0.14588406134469278,108.04083045736495,2,0.04537586525719776,33.7087932235,2026-07-10 20:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.011601713738112716,8.9014863,27,0.6909289902772643,506.6531896222885,3,0.052909642528921164,40.237538839443,1,0.01175235312203926,8.962116977529,2026-07-10 21:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
