entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
3,0.29569272350130826,222.34137407751362,8,0.24454914474283246,185.81639434021199,5,0.47195567940023075,354.499435409345,1,0.004934075449486194,3.6869016192,2026-07-15 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
4,0.054390293030827666,40.91921086440152,140,8.802082119366766,6691.65632694142,7,0.988158326657471,739.6560256585838,2,0.03314979791158706,24.803531297186,2026-07-15 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
3,0.051466303821899415,38.74866651746553,18,0.19218880799458005,145.870621290121,15,1.4937901539292213,1127.2660607364369,16,2.9478942011576326,2192.206638411897,2026-07-15 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.043584775580968335,32.630240585457,10,0.5468892520000211,413.73560183060147,18,1.7365963317203754,1311.7484450102797,2,0.02370710423632874,17.759710025697,2026-07-15 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1,0.000184391544242058,0.138094579662,9,0.17488503032579591,132.33729281281103,16,0.37305511777959466,281.99445283421903,5,0.47195567940023075,354.499435409345,2026-07-15 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
13,2.252606261409711,1679.0247857640593,11,0.831342616263826,625.3120832423192,16,0.4008767272784426,302.53005356965537,7,0.988158326657471,739.6560256585838,2026-07-15 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
16,2.221732878798765,1684.5325365885524,20,0.8515493965037417,564.2457803801169,11,0.2883485314777407,218.29196156721855,15,1.4937901539292213,1127.2660607364369,2026-07-15 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
19,0.4777254095795461,360.4062238664694,4,0.19610555652807687,148.041519632132,22,0.6245073165261715,471.4178813855778,18,1.7365963317203754,1311.7484450102797,2026-07-15 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
22,0.5044527434279975,380.42573405538195,7,0.4942865044305762,371.284292427156,8,0.24454914474283246,185.81639434021199,16,0.37305511777959466,281.99445283421903,2026-07-15 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
10,0.3859820086149452,291.90845846426896,4,0.278926827880608,209.69416378354978,140,8.802082119366766,6691.65632694142,16,0.4008767272784426,302.53005356965537,2026-07-15 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
