entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
78,2.9409239341172873,2190.869821772897,22,6.5393417844080695,4859.790885656844,13,0.3290327191116266,243.43504550384844,33,6.523318884032116,4847.614850103936,2026-07-29 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
29,0.7076657223684069,524.8722702842983,9,0.20777554347102878,154.3025018876271,21,1.21041872264354,894.4681363702238,61,2.535605022135387,1885.9361891250671,2026-07-29 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
12,0.08103953611319004,59.91284160349599,32,20.70447911477404,15296.402539357108,12,0.26666862394198787,198.02204379867757,14,0.11685316445699778,88.41063984948457,2026-07-29 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
11,0.13266675326796537,98.09962969190205,29,8.44300934321323,6210.259802635352,8,0.18900590068393922,140.21489000833114,9,0.5659358344287561,419.40054578793627,2026-07-29 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
33,1.0202312927585862,754.1497352050276,24,12.710137018954402,9339.881379841994,13,4.881177102075271,3607.20097977762,13,0.3290327191116266,243.43504550384844,2026-07-29 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.0697615674971283,51.56717330714387,6,0.0185356839302101,13.922512302464401,16,0.10805710060070506,80.0949173846016,21,1.21041872264354,894.4681363702238,2026-07-29 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
10,0.2683732831054985,198.34585040809398,18,0.561218314297228,414.55744538788207,13,5.417661391120192,4028.0371656594302,12,0.26666862394198787,198.02204379867757,2026-07-29 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
8,0.04771443305454226,35.25581293024346,56,63.72762298950669,47280.61682849255,4,0.02445817128423412,18.157562259906,8,0.18900590068393922,140.21489000833114,2026-07-29 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
4,0.4334881284731269,322.35922352621026,73,57.830450618895746,42396.31769816588,22,6.5393417844080695,4859.790885656844,13,4.881177102075271,3607.20097977762,2026-07-29 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
18,0.5054005076295689,375.36810302126605,7,0.5624776403629743,411.26316336418995,9,0.20777554347102878,154.3025018876271,16,0.10805710060070506,80.0949173846016,2026-07-29 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
8,0.43097656894218583,320.47232288339796,168,56.74584892331394,41398.639170580354,32,20.70447911477404,15296.402539357108,13,5.417661391120192,4028.0371656594302,2026-07-29 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
7,5.719629554971428,4227.179488562223,4,0.0277366249071102,20.255192515646275,29,8.44300934321323,6210.259802635352,4,0.02445817128423412,18.157562259906,2026-07-29 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2,0.004983883138051111,3.702975320912,12,0.344605249173511,252.9816923377874,24,12.710137018954402,9339.881379841994,22,6.5393417844080695,4859.790885656844,2026-07-29 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
14,0.5712910053143943,424.7972902941045,13,0.7491596479189835,547.8132685133652,6,0.0185356839302101,13.922512302464401,9,0.20777554347102878,154.3025018876271,2026-07-29 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
54,33.525207444242156,24705.937984978835,42,1.0605614395999743,776.3896909848131,18,0.561218314297228,414.55744538788207,32,20.70447911477404,15296.402539357108,2026-07-29 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
14,1.1435298418278532,840.5421352296041,6,3.3571338107264874,2462.6466685426235,56,63.72762298950669,47280.61682849255,29,8.44300934321323,6210.259802635352,2026-07-29 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
33,22.633438987050894,16599.578482259978,11,0.027201836275718726,20.41345067663512,73,57.830450618895746,42396.31769816588,24,12.710137018954402,9339.881379841994,2026-07-29 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
