entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
780,270.91829006504776,207600.0071991986,489,132.6089920097431,101562.90919019099,409,72.63122692966436,55617.98357800753,345,53.492925328309795,40970.30007972903,2026-08-26 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
499,97.66353455022927,74696.93329189267,1245,315.1231647431833,241547.22549507426,470,119.76471493337951,91763.89493319728,692,192.63275659048458,147402.57293298756,2026-08-26 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
314,60.69678066464332,46450.568451173895,2154,825.5569149831941,632507.2004392138,410,92.16330864319772,70556.03419091823,290,60.67209289419183,46379.221612889836,2026-08-26 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
351,62.189835453544475,47616.77433203409,1688,381.9726952074376,292742.1117959819,464,109.29687596797831,83692.25231793485,638,125.47837662316459,96050.37433816517,2026-08-26 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
818,197.78324628570203,151445.11861167767,1620,321.83391076242435,246805.8298241587,449,98.88931627749545,75739.07316256005,409,72.63122692966436,55617.98357800753,2026-08-26 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
430,101.05826685590583,77395.99415477885,1000,195.413304203918,149598.45900921352,324,63.89294268031765,48973.54367774083,470,119.76471493337951,91763.89493319728,2026-08-26 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
550,119.28133852647379,91310.80682873758,621,152.07043832212005,116624.78638230148,326,108.60013557437476,83212.43721698108,410,92.16330864319772,70556.03419091823,2026-08-26 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
644,154.1332915810873,118072.61026395125,1314,211.21405654253923,162089.25314877054,671,152.71700076930074,116964.88199739282,464,109.29687596797831,83692.25231793485,2026-08-26 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
395,95.00058643040103,72763.74391965597,746,222.08824446589747,170478.34471132632,489,132.6089920097431,101562.90919019099,449,98.88931627749545,75739.07316256005,2026-08-26 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
404,75.94426661961587,58198.12762024628,1352,264.0222963121753,202477.65697544426,1245,315.1231647431833,241547.22549507426,324,63.89294268031765,48973.54367774083,2026-08-26 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
386,95.56929505923266,73216.24621206222,3489,713.8835844190982,550103.7313754039,2154,825.5569149831941,632507.2004392138,326,108.60013557437476,83212.43721698108,2026-08-26 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
459,97.06527680741995,74403.93388346543,1365,263.5214432327394,203273.70801424445,1688,381.9726952074376,292742.1117959819,671,152.71700076930074,116964.88199739282,2026-08-26 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
554,139.50508179452177,106863.03210211087,671,187.96753973230372,144968.00943961178,1620,321.83391076242435,246805.8298241587,489,132.6089920097431,101562.90919019099,2026-08-26 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
974,233.1913599684426,178596.82111648997,1715,878.9422268674484,677589.2375628254,1000,195.413304203918,149598.45900921352,1245,315.1231647431833,241547.22549507426,2026-08-26 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1034,345.55507982931675,264901.0831353041,673,141.0671427437581,108635.80863358393,621,152.07043832212005,116624.78638230148,2154,825.5569149831941,632507.2004392138,2026-08-26 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1322,313.2547450295208,240176.44577372898,492,110.43774993249703,85121.81700794518,1314,211.21405654253923,162089.25314877054,1688,381.9726952074376,292742.1117959819,2026-08-26 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1078,267.4605405453316,204933.6207524986,3256,546.1090172467877,420770.6526359233,746,222.08824446589747,170478.34471132632,1620,321.83391076242435,246805.8298241587,2026-08-26 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1028,173.88492923043222,133209.79526164988,5573,783.8786325604751,603354.3088842534,1352,264.0222963121753,202477.65697544426,1000,195.413304203918,149598.45900921352,2026-08-26 17:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1165,202.08700085313464,154937.49434545802,1213,268.2027565082512,206299.5545702909,3489,713.8835844190982,550103.7313754039,621,152.07043832212005,116624.78638230148,2026-08-26 18:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
938,145.07357174089222,111163.6006363061,596,146.8159092834426,112896.26746297839,1365,263.5214432327394,203273.70801424445,1314,211.21405654253923,162089.25314877054,2026-08-26 19:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1020,277.79664162329294,213202.13439800352,616,195.16290673583862,150266.65880633274,671,187.96753973230372,144968.00943961178,746,222.08824446589747,170478.34471132632,2026-08-26 20:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
2455,602.5422442049589,463585.1612877839,821,232.6311609494036,179287.46320079762,1715,878.9422268674484,677589.2375628254,1352,264.0222963121753,202477.65697544426,2026-08-26 21:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
3198,683.7295240907142,526793.591489629,387,82.62670468578543,63697.93446731143,673,141.0671427437581,108635.80863358393,3489,713.8835844190982,550103.7313754039,2026-08-26 22:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
930,187.5479404669135,144608.89103245165,667,169.7158765623484,130701.88286115392,492,110.43774993249703,85121.81700794518,1365,263.5214432327394,203273.70801424445,2026-08-26 23:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
920,221.1666589708327,170582.0703973779,919,196.6677229280444,151385.79755222384,3256,546.1090172467877,420770.6526359233,671,187.96753973230372,144968.00943961178,2026-08-27 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1533,516.8540177625661,398035.1128229038,1139,183.70713994999073,141335.88148206478,5573,783.8786325604751,603354.3088842534,1715,878.9422268674484,677589.2375628254,2026-08-27 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
446,108.25214005410744,83416.67339606324,2564,869.7520224161458,668757.5199757459,1213,268.2027565082512,206299.5545702909,673,141.0671427437581,108635.80863358393,2026-08-27 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1033,274.98882104388116,211854.82402317683,2019,579.3693244259241,446347.6689654594,596,146.8159092834426,112896.26746297839,492,110.43774993249703,85121.81700794518,2026-08-27 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
14488,2870.3375462004446,2212134.1016310956,1099,315.76727039637564,243574.62623910673,616,195.16290673583862,150266.65880633274,3256,546.1090172467877,420770.6526359233,2026-08-27 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1335,182.0296758278142,140157.63939015812,1397,281.40494491529046,217574.16696246134,821,232.6311609494036,179287.46320079762,5573,783.8786325604751,603354.3088842534,2026-08-27 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
559,115.61994952580721,88914.05705491282,764,174.62455379414396,134938.9392251345,387,82.62670468578543,63697.93446731143,1213,268.2027565082512,206299.5545702909,2026-08-27 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
596,181.59349281754805,139810.9713997848,881,171.32893930850636,131963.20658073583,667,169.7158765623484,130701.88286115392,596,146.8159092834426,112896.26746297839,2026-08-27 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
1010,295.27974455332384,227452.18915254416,825,256.7141304426559,198120.6434846103,919,196.6677229280444,151385.79755222384,616,195.16290673583862,150266.65880633274,2026-08-27 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
780,271.2242038313481,209007.39891517366,641,119.68174110246078,92253.43519601217,1139,183.70713994999073,141335.88148206478,821,232.6311609494036,179287.46320079762,2026-08-27 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
