column_name,data_type,ordinal_position,table_name,table_schema
blockchain,varchar,1,balances,rwa_robinhood
day,date,2,balances,rwa_robinhood
address,varbinary,3,balances,rwa_robinhood
token_symbol,varchar,4,balances,rwa_robinhood
token_address,varbinary,5,balances,rwa_robinhood
token_standard,varchar,6,balances,rwa_robinhood
token_id,varbinary,7,balances,rwa_robinhood
balance_raw,varbinary,8,balances,rwa_robinhood
balance,double,9,balances,rwa_robinhood
ui_multiplier,double,10,balances,rwa_robinhood
ui_balance,double,11,balances,rwa_robinhood
balance_usd,double,12,balances,rwa_robinhood
price_source,varchar,13,balances,rwa_robinhood
currency,varchar,14,balances,rwa_robinhood
last_updated,timestamp(3) with time zone,15,balances,rwa_robinhood
blockchain,varchar,1,core_balances_enriched,rwa_robinhood
day,date,2,core_balances_enriched,rwa_robinhood
address,varbinary,3,core_balances_enriched,rwa_robinhood
token_symbol,varchar,4,core_balances_enriched,rwa_robinhood
token_address,varbinary,5,core_balances_enriched,rwa_robinhood
token_standard,varchar,6,core_balances_enriched,rwa_robinhood
token_id,varbinary,7,core_balances_enriched,rwa_robinhood
balance_raw,varbinary,8,core_balances_enriched,rwa_robinhood
balance,double,9,core_balances_enriched,rwa_robinhood
currency,varchar,10,core_balances_enriched,rwa_robinhood
last_updated,timestamp(3) with time zone,11,core_balances_enriched,rwa_robinhood
blockchain,varchar,1,extended_balances_enriched,rwa_robinhood
day,date,2,extended_balances_enriched,rwa_robinhood
address,varbinary,3,extended_balances_enriched,rwa_robinhood
token_symbol,varchar,4,extended_balances_enriched,rwa_robinhood
token_address,varbinary,5,extended_balances_enriched,rwa_robinhood
token_standard,varchar,6,extended_balances_enriched,rwa_robinhood
token_id,varbinary,7,extended_balances_enriched,rwa_robinhood
balance_raw,varbinary,8,extended_balances_enriched,rwa_robinhood
balance,double,9,extended_balances_enriched,rwa_robinhood
currency,varchar,10,extended_balances_enriched,rwa_robinhood
last_updated,timestamp(3) with time zone,11,extended_balances_enriched,rwa_robinhood
