last_day,last_updated_max,n_holders,token_address,token_standard,token_symbol
2026-08-31,2026-08-31 21:19:08.000 UTC,174824,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,erc20,NVDA
2026-08-31,2026-08-31 21:19:07.000 UTC,94905,0x4a0e65a3eccec6dbe60ae065f2e7bb85fae35eea,erc20,SPCX
2026-08-31,2026-08-31 21:19:02.000 UTC,82408,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,erc20,AAPL
2026-08-31,2026-08-31 21:19:01.000 UTC,72042,0x322f0929c4625ed5bad873c95208d54e1c003b2d,erc20,TSLA
2026-08-31,2026-08-31 21:19:04.000 UTC,64290,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,erc20,GOOGL
2026-08-31,2026-08-31 21:19:08.000 UTC,63605,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,erc20,SPY
2026-08-31,2026-08-31 21:19:06.000 UTC,55902,0xe93237c50d904957cf27e7b1133b510c669c2e74,erc20,MSFT
2026-08-31,2026-08-31 21:19:06.000 UTC,52202,0x1b0e319c6a659f002271b69db8a7df2f911c153e,erc20,GME
2026-08-31,2026-08-31 21:19:08.000 UTC,49624,0x12f190a9f9d7d37a250758b26824b97ce941bf54,erc20,AMZN
2026-08-31,2026-08-31 21:19:06.000 UTC,46774,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,erc20,PLTR
2026-08-31,2026-08-31 21:18:33.000 UTC,45900,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,erc20,AMD
2026-08-31,2026-08-31 21:19:07.000 UTC,39001,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,erc20,MU
2026-08-31,2026-08-31 21:19:06.000 UTC,35562,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,erc20,META
2026-08-31,2026-08-31 21:19:03.000 UTC,30431,0xb90a19ff0af67f7779aff50a882a9cff42446400,erc20,SNDK
2026-08-31,2026-08-31 21:19:08.000 UTC,29670,0x6330d8c3178a418788df01a47479c0ce7ccf450b,erc20,COIN
2026-08-31,2026-08-31 21:18:29.000 UTC,28194,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,erc20,INTC
2026-08-31,2026-08-31 21:18:38.000 UTC,20845,0xb0992820e760d836549ba69bc7598b4af75dee03,erc20,ORCL
2026-08-31,2026-08-31 21:18:22.000 UTC,20620,0xd917b029c761d264c6a312bbbcda868658ef86a6,erc20,USAR
