table_name,table_schema
dualaggregator_call_acceptownership,chainlink_robinhood
dualaggregator_call_acceptpayeeship,chainlink_robinhood
dualaggregator_call_addaccess,chainlink_robinhood
dualaggregator_call_checkenabled,chainlink_robinhood
dualaggregator_call_decimals,chainlink_robinhood
dualaggregator_call_description,chainlink_robinhood
dualaggregator_call_disableaccesscheck,chainlink_robinhood
dualaggregator_call_enableaccesscheck,chainlink_robinhood
dualaggregator_call_getanswer,chainlink_robinhood
dualaggregator_call_getbilling,chainlink_robinhood
dualaggregator_call_getbillingaccesscontroller,chainlink_robinhood
dualaggregator_call_getlinktoken,chainlink_robinhood
dualaggregator_call_getrequesteraccesscontroller,chainlink_robinhood
dualaggregator_call_getrounddata,chainlink_robinhood
dualaggregator_call_gettimestamp,chainlink_robinhood
dualaggregator_call_gettransmitters,chainlink_robinhood
dualaggregator_call_getvalidatorconfig,chainlink_robinhood
dualaggregator_call_hasaccess,chainlink_robinhood
dualaggregator_call_latestanswer,chainlink_robinhood
dualaggregator_call_latestconfigdetails,chainlink_robinhood
dualaggregator_call_latestconfigdigestandepoch,chainlink_robinhood
dualaggregator_call_latestround,chainlink_robinhood
dualaggregator_call_latestrounddata,chainlink_robinhood
dualaggregator_call_latesttimestamp,chainlink_robinhood
dualaggregator_call_latesttransmissiondetails,chainlink_robinhood
dualaggregator_call_linkavailableforpayment,chainlink_robinhood
dualaggregator_call_maxanswer,chainlink_robinhood
dualaggregator_call_minanswer,chainlink_robinhood
dualaggregator_call_oracleobservationcount,chainlink_robinhood
dualaggregator_call_owedpayment,chainlink_robinhood
dualaggregator_call_owner,chainlink_robinhood
dualaggregator_call_removeaccess,chainlink_robinhood
dualaggregator_call_requestnewround,chainlink_robinhood
dualaggregator_call_setbilling,chainlink_robinhood
dualaggregator_call_setbillingaccesscontroller,chainlink_robinhood
dualaggregator_call_setconfig,chainlink_robinhood
dualaggregator_call_setcutofftime,chainlink_robinhood
dualaggregator_call_setlinktoken,chainlink_robinhood
dualaggregator_call_setpayees,chainlink_robinhood
dualaggregator_call_setrequesteraccesscontroller,chainlink_robinhood
dualaggregator_call_setvalidatorconfig,chainlink_robinhood
dualaggregator_call_transferownership,chainlink_robinhood
dualaggregator_call_transferpayeeship,chainlink_robinhood
dualaggregator_call_transmit,chainlink_robinhood
dualaggregator_call_transmitsecondary,chainlink_robinhood
dualaggregator_call_typeandversion,chainlink_robinhood
dualaggregator_call_version,chainlink_robinhood
dualaggregator_call_withdrawfunds,chainlink_robinhood
dualaggregator_call_withdrawpayment,chainlink_robinhood
dualaggregator_evt_addedaccess,chainlink_robinhood
dualaggregator_evt_answerupdated,chainlink_robinhood
dualaggregator_evt_billingaccesscontrollerset,chainlink_robinhood
dualaggregator_evt_billingset,chainlink_robinhood
dualaggregator_evt_checkaccessdisabled,chainlink_robinhood
dualaggregator_evt_checkaccessenabled,chainlink_robinhood
dualaggregator_evt_configset,chainlink_robinhood
dualaggregator_evt_cutofftimeset,chainlink_robinhood
dualaggregator_evt_linktokenset,chainlink_robinhood
dualaggregator_evt_newround,chainlink_robinhood
dualaggregator_evt_newtransmission,chainlink_robinhood
dualaggregator_evt_oraclepaid,chainlink_robinhood
dualaggregator_evt_ownershiptransferred,chainlink_robinhood
dualaggregator_evt_ownershiptransferrequested,chainlink_robinhood
dualaggregator_evt_payeeshiptransferred,chainlink_robinhood
dualaggregator_evt_payeeshiptransferrequested,chainlink_robinhood
dualaggregator_evt_primaryfeedunlocked,chainlink_robinhood
dualaggregator_evt_removedaccess,chainlink_robinhood
dualaggregator_evt_requesteraccesscontrollerset,chainlink_robinhood
dualaggregator_evt_roundrequested,chainlink_robinhood
