token,feed_addr,t_checkpoint,D,P_vwap,F_anchor,anchor_age_min,n_trades_pre,vol_usd_pre
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 04:00:00+00:00,0.0012826314629463447,318.39812566035664,317.99,15.916666666666666,81,3243.509524736947
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 05:00:00+00:00,0.0016384062082445121,318.51142382553473,317.99,75.91666666666667,31,1719.1303670061948
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 06:00:00+00:00,-0.001633317034706332,317.4710454401641,317.99,135.91666666666666,17,1642.104833347002
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 07:00:00+00:00,-0.0005241563614324719,317.823367193266,317.99,195.91666666666666,22,831.8233974364201
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 08:00:00+00:00,0.0037312412914506385,319.17871372801955,317.99,255.91666666666666,23,1003.2727187592284
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 09:00:00+00:00,0.0018259507520804114,320.17298668679064,319.5889,55.81666666666667,55,6612.292753317983
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 10:00:00+00:00,-0.0006259266447725675,321.0191526606346,321.22015,21.283333333333335,39,4267.038322194036
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 11:00:00+00:00,0.004738869934336384,321.12652678060203,319.60835,15.766666666666667,27,6642.127008407319
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 12:00:00+00:00,0.0031041579074189995,320.60200622195,319.60835,75.76666666666667,67,6429.039010552212
GOOGL,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,2026-07-24 13:00:00+00:00,0.004829642117192733,319.4217232713584,317.88275,12.2,37,4700.4975181895925
