token,feed_addr,t_checkpoint,theta,D,n_trades_pre,vol_usd_pre,entry_vwap,exit_4h,exit_12h,exit_open1h,void_entry,void_exit_4h,void_exit_12h,void_exit_open1h
QQQ,0x25e996ce8b3529885d429241156e83e7b7744049,2026-07-24 08:00:00+00:00,0.01,-0.05358655400991199,18,2990.772911780445,,,,683.7585716476929,True,True,True,False
QQQ,0x25e996ce8b3529885d429241156e83e7b7744049,2026-07-24 08:00:00+00:00,0.025,-0.05358655400991199,18,2990.772911780445,,,,683.7585716476929,True,True,True,False
QQQ,0x25e996ce8b3529885d429241156e83e7b7744049,2026-07-24 08:00:00+00:00,0.05,-0.05358655400991199,18,2990.772911780445,,,,683.7585716476929,True,True,True,False
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-25 16:00:00+00:00,0.01,-0.014359978209522228,6,1284.5569477924867,,,122.85355613640158,127.3696403848555,True,True,False,False
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 04:00:00+00:00,0.01,-0.023330456003088935,20,1840.0175345003072,,,114.00349076752337,97.32466673594888,True,True,False,False
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 20:00:00+00:00,0.01,-0.012674659781451783,3,543.3352559760394,,,,97.32466673594888,True,True,True,False
MU,0xa088fad0a0a62693af068e2edb80b1578c8a9365,2026-07-24 07:00:00+00:00,0.01,-0.011278669132311007,7,608.672059547923,,978.4749715886412,914.299507500623,881.1643206332798,True,False,False,False
USO,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,2026-07-24 12:00:00+00:00,0.01,-0.013599486192881215,51,2905.5585459891404,134.11383229169806,,138.37717653244616,126.69758781884076,False,True,False,False
USO,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,2026-07-25 14:00:00+00:00,0.025,-0.02830966518104896,46,33867.5419237113,,131.15911478455743,,126.69758781884076,True,False,True,False
USO,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,2026-07-26 12:00:00+00:00,0.05,-0.05555680888626692,9,1539.3242138173202,,,130.77067942289167,126.69758781884076,True,True,False,False
USO,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,2026-07-27 20:00:00+00:00,0.01,-0.015378959934637367,6,6763.370156443831,,123.77495157098652,,126.69758781884076,True,False,True,False
GME,0xf83cde62d1cd90de8d2bf3332b90c590985ad679,2026-07-24 02:00:00+00:00,0.01,-0.0150180207213296,462,104784.60117165202,21.21290056929125,21.27539213005642,21.356631076827956,21.332811460391838,False,False,False,False
