symbol,token_address,feed_address,decimals,description
SGOV,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,0x0e96b7708487f91baac09697593d3e8bf253f2d8,8,Robinhood SGOV-USD
EWY,0x7f0abef0c07280f82c6a08ead09ded6bae2c13fc,0x105cbe427bbd3225826a450f67ea80fec6417f93,8,Robinhood EWY / USD
GOOGL,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,0x11ed6d598ef565dda86fafe7e779303e7cc6b2bd,8,Robinhood GOOGL / USD
QQQ,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,0x25e996ce8b3529885d429241156e83e7b7744049,8,Robinhood QQQ / USD
COIN,0x6330d8c3178a418788df01a47479c0ce7ccf450b,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,8,Robinhood COIN / USD
PLTR,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,8,Robinhood PLTR / USD
RGTI,0x284358abc07f9359f19f4b5b4ac91901be2597ba,0x42b1c5174ce84be751a23489d7dbdc969bc17ea2,8,Robinhood RGTI / USD
ORCL,0xb0992820e760d836549ba69bc7598b4af75dee03,0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,8,Robinhood ORCL / USD
MSTR,0xec262a75e413fafd0df80480274532c79d42da09,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,8,Robinhood MSTR / USD
RKLB,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,0x59ab60b1d63de8b282852573d18a3a99c04c787c,8,Robinhood RKLB / USD
USAR,0xd917b029c761d264c6a312bbbcda868658ef86a6,0x76ba75c6c362900b275d9d4d5c422f0275e85578,8,Robinhood USAR-USD
SPY,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,8,RHSPY / USD
TSLA,0x322f0929c4625ed5bad873c95208d54e1c003b2d,0x7a6b81ba7fbcb90104d8c496158cf383cd7233b1,8,RHTSLA / USD
SNDK,0xb90a19ff0af67f7779aff50a882a9cff42446400,0x7b2fdfcea772f093dd33b3acf8ee294b368f6c23,8,RHSNDK / USD
IONQ,0x558378e000d634a36593e338ebacdd6207640efe,0x886e11c1053289eed882c734e1864efe3430bc24,8,Robinhood IONQ / USD
CRCL,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,0x901d8df245e48dfc82d6483fc45b5be6ddc5281a,8,Robinhood CRCL / USD
AMZN,0x12f190a9f9d7d37a250758b26824b97ce941bf54,0x93503dfc97157cdb8aadccaf70452621d598fdeb,8,Robinhood AMZN / USD
INTC,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,0x95fb52f75aecbca8e12aa4403f840c8bc18cfbd4,8,RHINTC / USD
MU,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,0xa088fad0a0a62693af068e2edb80b1578c8a9365,8,RHMU / USD
USO,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,8,RHUSO / USD
AAPL,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,0xbb11a21267cfdb63d4935d99a499133dd1744acb,8,Robinhood AAPL / USD
META,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,0xc190b6164b9e320a6400cdab0085a2e0e2b9738e,8,Robinhood META / USD
MSFT,0xe93237c50d904957cf27e7b1133b510c669c2e74,0xc3b117f52cf17dd4369eaf5eaf7cf0e2f91b4e30,8,RHMSFT / USD
NVDA,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,0xc9d16e4f2569b9e3ea0468fd85844953713dc2a2,8,RHNVDA / USD
SLV,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,0xcdf6f7043b3af6afa0caaace1230b355096b5386,8,Robinhood SLV / USD
DELL,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,0xd6ed4e7d4aba1111eb42a349899b5c72ee1c9fef,8,Robinhood DELL-USD
CRWV,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0xd9c04b7353421fc4deb1614ed13fe10d90e586cc,8,Robinhood CRWV / USD
AMD,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,0xdad54b8ee51af258e5a6faa9a84a3300f4775f7d,8,RHAMD / USD
NBIS,0x9d9c6684f596f66a64c030b93a886d51fd4d7931,0xe50c4775fefc1e3c9206771dd0056aee30f51b2f,8,Robinhood NBIS / USD
CLSK,0xcbb95bbf36099d34da091dc6fa6f49efa257cee3,0xeff19b88e3c72f046e4a19a1e62544d5869d4275,8,Robinhood CLSK / USD
GME,0x1b0e319c6a659f002271b69db8a7df2f911c153e,0xf83cde62d1cd90de8d2bf3332b90c590985ad679,8,Robinhood GME / USD
