n_trades,n_trades_closed_hours,projects,token_address,vol_usd
392893,288004,"['gigadex', 'uniswap', 'ramsesxyz']",0x1d11f0496982706c5e14a514d4e79f2e6bde4516,46814761.71822315
354547,327117,"['uniswap', 'gigadex']",0xc9a981fee1f9dec688bb123ccdecc63d0debfc4e,47799155.19644196
68344,47287,"['uniswap', 'ramsesxyz']",0xccee82fe024c36fa15e1005ede3e9e4787e23d09,27097244.03784861
65879,42519,"['uniswap', 'ramsesxyz', '1inch-LOP']",0x9e7abd3c9139d14e4c86dce0e455aab7a0c2fb3e,15761577.889769856
56256,39071,"['gigadex', 'uniswap', 'ramsesxyz']",0x43b07d15ce533bec5476d70c22a78a1b2b662155,7179961.471657213
48498,39917,['uniswap'],0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,10369762.642165856
15786,12308,['uniswap'],0x48e39e56acdba37b09020c0b734a613c9a2f100a,1826799.272735599
7125,4809,['uniswap'],0x84cab63bc87912e71ad199ff14a0ba45de68fef8,700330.5828796944
6488,6355,['uniswap'],0x6e3dfd9f7e1649baa14d25cac18c94d62db10a54,608381.854259228
4528,4484,['uniswap'],0x03dfbbe0ac4e7bcdafd08ed41a400326b77d8c80,408047.2806479347
4132,3454,"['uniswap', 'uponrh']",0xfde6b5d9bb419b10c23268c74e369abff39c0460,265335.6417272473
3044,2346,"['uniswap', 'uponrh']",0xcef9027c7d6985b85f0ba431125073529a947a68,315079.5090282721
2596,273,['uniswap'],0x980dcf6766fa79f5cf0c4aadb3ab477ff15a9619,226312.29475853298
1583,1510,['uniswap'],0x116f00968269b7bfbad4109ce591d6e74c0601d4,146467.6997569752
1576,1490,['uniswap'],0xf6589f11bc40b669e584073f428b05562f568733,109971.8161795278
1087,420,"['uniswap', 'uponrh']",0x2d427692e928fa156ec22acfabafa0447c5805b7,67531.61259608249
1022,953,['uniswap'],0xba0cab75495255d0cb58e22b648bfed4ecd1f47e,69242.89576456933
825,770,['uniswap'],0x756bc80af765c82da966a788858d65adf14f3793,46784.613455506915
599,591,['uniswap'],0x561e2a49212b7ccf47f2744ccb83e200722fadbc,55287.34623944993
