n_trades,n_trades_closed_hours,token_address,vol_usd
1786188,1199477,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,561360389.4823322
1195968,750782,0x4a0e65a3eccec6dbe60ae065f2e7bb85fae35eea,253625615.1938224
1144131,902551,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,216674584.30078653
977526,741663,0x1b0e319c6a659f002271b69db8a7df2f911c153e,144060301.17749736
448320,297333,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,52254085.93350962
392893,288004,0x1d11f0496982706c5e14a514d4e79f2e6bde4516,46814761.71822314
354547,327117,0xc9a981fee1f9dec688bb123ccdecc63d0debfc4e,47799155.19644194
323262,229843,0x05b37fb53a299a1b874a619e1c4c404d52c36f4c,33867564.09687849
220286,152297,0x322f0929c4625ed5bad873c95208d54e1c003b2d,26375654.133006234
187712,150866,0xec262a75e413fafd0df80480274532c79d42da09,31340145.102910116
177697,128801,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,18856151.64166938
139458,54119,0x5e81213613b6b86eab4c6c50d718d34359459786,15128502.714264909
130472,92836,0xe93237c50d904957cf27e7b1133b510c669c2e74,12612459.890389115
103026,77071,0x4ea005168d7f09a7a0ba9d1def21a479950e44c2,12429932.80987931
100415,85845,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,10107495.25768094
93981,65335,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,15122822.361795714
87672,68727,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,20320983.82841855
71095,43364,0x6330d8c3178a418788df01a47479c0ce7ccf450b,8920367.066918908
69664,47755,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,6013716.710727509
68344,47287,0xccee82fe024c36fa15e1005ede3e9e4787e23d09,27097244.0378486
66227,35186,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,9688294.394326137
65879,42519,0x9e7abd3c9139d14e4c86dce0e455aab7a0c2fb3e,15761577.88976986
63397,45810,0x12f190a9f9d7d37a250758b26824b97ce941bf54,4968782.684448129
61842,40716,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,3437990.8114149733
60288,40778,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,5040703.06247695
56256,39071,0x43b07d15ce533bec5476d70c22a78a1b2b662155,7179961.471657209
54358,19026,0xf0c4bf4c582cb3836e98394b1d4e7b7281101be8,8543550.069429543
48498,39917,0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,10369762.642165853
47252,28552,0xb90a19ff0af67f7779aff50a882a9cff42446400,7878413.195972712
46901,37509,0xe0444ef8bf4ed74f74fd73686e2ddf4c1c5591e8,4859573.349440779
39201,24679,0x58ffe4a942d3885baa22d7520691f611ef09e7aa,8250873.398938814
36428,30951,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,5036035.1544584725
35556,27864,0x59818904ab4ce163b3ce4ffb64f2d6ca02c434b4,6920183.293133875
31365,23681,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,3841918.7327314834
22790,13790,0xd917b029c761d264c6a312bbbcda868658ef86a6,2103942.122821403
15786,12308,0x48e39e56acdba37b09020c0b734a613c9a2f100a,1826799.2727355983
9614,6304,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,1123112.8671709246
9479,7302,0x408c14038a04f7bd235329e26d2bf569ee20e250,817826.0858938243
7125,4809,0x84cab63bc87912e71ad199ff14a0ba45de68fef8,700330.582879694
6854,6523,0x62fd0668e10d8b72339be2dcf7643001688ff13b,555610.5343903148
