deployer,n_launches
0x792dd4c93cfa919e141e6a0be37360373633cdad,1752
0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f,1751
0x7de5b9c86d2b47607a2962043bb165f7befeb06b,1748
0x7d22d3dd32f00848a54ebe00c00a9082a18d4e66,1747
0xa60e892ab5fbf4754e3052b7643e48a1bd6b3065,924
0x5af2f44ef5714233890efca9c350514749e2b72b,823
0x3001012f02c9bbde1a4caf41040120ee6746f194,488
0x777a1e72cb4bc15cd171eb8a5584599d71ae72ff,487
0xa219966bd6217c06d13e5788386fed7e0ac77575,481
0x1a9b2965c9c741fbddeeb944b307b2904be5ccf0,409
0x1527bbacf6ad55237dff4905c3997ce6aaec7d55,405
0x9ba8485097a6341905ff3458555ac1a3dca3079a,340
0x9361c7533216ca1d5ebe22a6b89351beb94a0357,308
0xe3c1fb149f6061605f82a2509cf1d6141af32c3b,298
0x251d3bd92a7ea899156b90ac2250b891d758255f,297
0x39296166c0dcc770f30745dd2253c9b73dc1ec4a,241
0x36cf37c0bdf51299a59c376790a360b2db66fdc0,229
0x1787d68e76ffcf39fb89e70a44daa07ecc511294,213
0x31049544eddbef8502419e232ef58b27a02487ff,205
0xcaefbb5e99d0c48a7aa49936662b174a3c2ead61,200
0x9e8477412ba258e0aff78b1a8590b1926dd92931,178
0xc14a2637f27ca988633d58154cf4b35389f86700,178
0x38f4fa33cf8292c3671f3bab1aa4d2cfff14f108,164
0xabe688d9e463887c24464a70ec399205e82612f6,150
0xecb429d40bde67bac0f3c8806e5a0f402134eb72,142
0xff39c17ec51a3c94411012314c90d572c6077312,138
0xa2db7ad227c2a3341097872388d76f8a39703ab8,125
0xfd54b63d0ea8f96a3a04af315c13c6b8488b5303,122
0x6a2953b9d68ed5921aa5873a97c9367bec3b16d6,106
0x61ec2b48f59a0192b87605ea84a2f4476bd4b40b,104
0x6c8ab6bd67d4df8d131e952edcb00b7e77183b60,98
0x821544d298d60a668e486ddf1a7c1e0e767da128,97
0xfe71ac916eba9789f0c2c130d01f83b7baaae3ec,91
0xb7371d40f06cfd8d224822ffb83ff97c1f6ab541,87
0x0c2b7db125d18cb7a47a7fcee5c6f822d8db0b6a,86
0x5956aff95112bfbd3426a91cb8c6fef7b3c2dd32,84
0x943084cd1199ed74f8431589b0198316fdb396f0,83
0xdf2237114d595e0bf4d35cbcdebcdf43c55c4669,83
0xdfe781868f58901c45c9507cc776be8c2f1c18dd,83
0xad1944ae1bd76c8ae7f86500cf35fe73f080e65f,83
0x8375a690ecf4f96252bf682b4673181347be31c1,78
0xeaee48a727cd34a3b8c639bae643122e8900c8f2,78
0xd502b167f08f055df72b0d10ee68830275b46b5c,78
0xa3a09f087bbd954b57296dbcde917972f620ca7d,77
0x1e660a9a1f1f08afef9c03c96d66260122464cf2,77
0x598a19901beae94a32cc0fde590cd188d2a5f092,77
0x06175ac032e7f432014e08a0f503d2c24d6bc2ea,76
0x7fd09f95024e764b451a3dec10b76ffa3fb6e783,73
0x0cfaa33eb4e786fca04b55e717ea9bdb291c62c6,68
0xbab4a698efca46794668f74b019aea2a30329d39,67
0xc2af01082f571c3f5eb1edb3fdc66df07d842740,67
0x8d6886a44ffd48052f70a6bd63a9f32e11608aa2,66
0xf6d85d5d248b7e4ca02941b5c5a10055aaf398d9,62
0x072e4e8a0e3463b00bf93f69a34db4874030819c,59
0x04aa91cfffb6eab19f666b3a392993a35c15333e,58
0xc30c98ee21e59832d34bf36c4a4f48587a299b06,57
0x115feb49f3945343f905a41c1b4ca579cc0d6c74,52
0xd58bfe242c88dfe06a1926e484a32364762fe8a2,52
0xb7faece3935eb274f520b54c0cf0f4fc774f2591,52
0xe1ac2d5200333b9b01602726d3172832aaaaaa8a,50
0x1ada6dd6158073f1600b045c46b9bf4ccbd43d6a,47
0x57bd22202e8449659fe5e9227ba4be37be7a2191,46
0x197190b58f31584549b8e1dccb82dc57409c01c3,46
0xd9448ddcd3e3c6a48988d291859666167e825114,46
0x7eaf232fff53499fd3ead3c93924671b149e4837,45
0xd33f85cbe18464f566077b1274443a57550d4550,44
0x54632df3db2f9203caeffe46dd9ae9360b1eb200,44
0xa66256d906453a2834f652ea5ae50309ae918cec,42
0x8638dfb6bf3d8f81f9302092a1378d9581a091a9,40
0x90bd9fb7d3078cb9cabf642798830696bfe51de5,39
0x9153153e7902335afa15ea97fa0ea90f9e4054c5,39
0xd404e0485e39d3a76e1ac4761db37d3bddc68e73,38
0x9a54ae20147f08933ec040cf2690d72521cf6106,38
0xc04ea15987abc4749996d35ed70e8d0ed3a57796,38
0xe30efce95130cadf06ba15e08be85b150a77b7da,37
0x51a5a060d31849ba4b1370cde1d781539b2a3e99,37
0x704549c285539172bd3df414d72f4a1af0991b3d,35
0x196da7b62b807e76a00496ff0a4e7e3c30dde4cb,35
0x34d8500d7e90f32907969f80a543e4aeb8779f28,35
0x83d502fe05a870c429023a3443ab6ed5fd336e20,33
0x3bd648b7b51daf370ba23952d036dc4b368967ed,33
0x808cc34f778ec3980e0ab88ba65b35dc78ca5000,33
0xcc9f449645f4e928f6082edff45552e75d2b4d42,32
0xd448be80794302566bfe6a2ee139c4b3dfc191b9,32
0xa130a8b7afabb0cf44db4a9c7b82d8cb9e4a6b53,31
0x06ff0a45a3ccb1c898520c9c2788f85456ad313e,31
0x97e5e829532374c295f21cc981ea64050d6a679e,30
0x2c8be3dc9a9de433ac042fce0fc5aedea1d0fd11,30
0x030178473555b7b65cc74cd4b6612e3e976845db,30
0x81628cf1df88ff696667c4125d6d0a9b3b3047bb,29
0x1c5f853b13ceaaa224e7595c2c74491aafefa2cf,29
0x83bbadce8d64334ad0d51cc0bfa8fc2cb96c786f,28
0xf1fb40a49e8ea8b90a45e28e8a0d7f71a4dcc129,28
0x0c2d5632f1fe7645104c8bc9ef5e553a417149ab,27
0xaceed767ee688818226c2dac83f3d7d76590e226,27
0xe0cfa6a4b899db18037cb590ecafe1dc0f6631b9,27
0xb271531534806619232b08edd38d9396eee7bdbf,27
0x3d8a81e0373da15e7603c1f825d3651119c13318,27
0xd016e4c082a3fb781a8c4be5111a91196a7b6987,26
