cluster_id,n_launches
0xf70da97812cb96acdf810712aa562db8dfa3dbef,2277
0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f,1752
0x7d22d3dd32f00848a54ebe00c00a9082a18d4e66,1751
0xfd084e477f4cb05f4cd83aad32bd7110a3393ad0,1748
0x792dd4c93cfa919e141e6a0be37360373633cdad,1747
0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78,1641
0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786,965
0xc7e4ff08130b5951eb04eef415555d4b17197d55,849
0xf47a150692e4d4223ff7d85150e17cf5cf105be8,801
0x7e353977b5b0b6627c59d51d2337cfa9afa76bd6,738
0x5d095c81f7ab2d88c6381104ecb6730590f99a04,663
0x56c262027e0de4aea31d2489529cb25d23e58a8b,653
0x331d9a049d496385998067abf6cbb6371c8d2466,561
0xabb2acd3be814a80e502575d6c1dc5f789e9cd10,542
0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,526
0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,510
0x370a7e2d300c14d79d4a7ee07aaca46c4b3012cf,496
0xa5a5491bca93dd4c076e4906e79e7673f4a5a142,491
0x026ba0aa63686278c3b3b3b9c43bedd8421e36cd,488
0x376d633018680caa4ec3f3e735a2797abf7f9cb2,481
0xca7ded7e4f4ba8ab3b10009236ae6d1b95094589,477
0x9394e87bc71023fbe9b859d6c2d2de3c60ee6eaa,405
0xce5393752c8c19e98c3facc1636b0573c61279b1,340
0xbe5ca661d398e265ba84ed4b7a0887a57c68a39a,298
0xe3c1fb149f6061605f82a2509cf1d6141af32c3b,297
0x8afa869e6fc12a9b93d672cf0b06c87415cac421,267
0x53091256ebd2d8aa37b45536a5fd864ca764f32f,171
0x7f898c8a99ce74c838211f72cf175d4401669565,165
0x0ec4e45f9ce3020024c0418a74cd31fbc487038f,135
0xe256b0af9684e3284a5fb5ca56ac0e7aa43fec0d,134
0x18dd3c14e34c1bc379f7538068c59160d9f68e25,130
0x2bb27b73c602643f42471d4751fe4fc4eebefbd1,126
0x344daadde53a81f95bcc46a99d39107a509251a1,125
0x698dd6c03b50c3d4af12932a0388338bcdd3aaed,117
0x919968a4238a54b381f022a360260ef5d7e015ac,114
0xcc4bc7882d5ec4a3716e589ab3d816b61ae47a1a,111
0xe209e0047731aa494289e1af9a0d03da19c5ef08,111
0xc1e4ee3223d7700062c5db82694db7af1b4ceeb5,106
0x09e20ee72e7fdaca726ec0fc23abadeea4d3d962,91
0x32f0a1e32536ea119938d791ec52d482e1fde5f2,86
0x963aab4a32fcb9a921de558a067bc356578d2551,83
0x401edcf54a8d9faa68a07b6c0b32184f4cf3e780,77
0x0646eaaec936efabee6ee1f4ade8b8a4114a2726,76
0x862d2fc5f1d49bf9e7aa40b40d6c1063fd0d3112,71
0xd9448ddcd3e3c6a48988d291859666167e825114,67
0x79dee61d11b4d05cc411a591ed0b975356bac43f,58
0xd66a5a78ac424396d0d6b88ae2de036a3887b4b2,57
0x6c8ab6bd67d4df8d131e952edcb00b7e77183b60,52
0xd404e0485e39d3a76e1ac4761db37d3bddc68e73,47
0x015d8c7b1024d1f705a2dc208f23ca5cef20ee82,46
0x9dc86e37dba30331148df1a0236a0010e8d25f8a,44
0x7160cc4e2546418f842a46315fd90400cedf41e1,44
0xf96d8a601bd98a8b00038707dfa07ad9a5c8bcea,42
0x5f45757566708eda794bcc6ab5386822e0734e21,40
0x31b1f075cbc0ef27d3a836e4ce85c64a21abac3c,40
