table_name,table_schema
base_trades,uniswap_v3_robinhood
uniswapv3factory_call_createpool,uniswap_v3_robinhood
uniswapv3factory_call_enablefeeamount,uniswap_v3_robinhood
uniswapv3factory_call_feeamounttickspacing,uniswap_v3_robinhood
uniswapv3factory_call_getpool,uniswap_v3_robinhood
uniswapv3factory_call_owner,uniswap_v3_robinhood
uniswapv3factory_call_parameters,uniswap_v3_robinhood
uniswapv3factory_call_setowner,uniswap_v3_robinhood
uniswapv3factory_evt_feeamountenabled,uniswap_v3_robinhood
uniswapv3factory_evt_ownerchanged,uniswap_v3_robinhood
uniswapv3factory_evt_poolcreated,uniswap_v3_robinhood
uniswapv3pool_call_burn,uniswap_v3_robinhood
uniswapv3pool_call_collect,uniswap_v3_robinhood
uniswapv3pool_call_collectprotocol,uniswap_v3_robinhood
uniswapv3pool_call_factory,uniswap_v3_robinhood
uniswapv3pool_call_fee,uniswap_v3_robinhood
uniswapv3pool_call_feegrowthglobal0x128,uniswap_v3_robinhood
uniswapv3pool_call_feegrowthglobal1x128,uniswap_v3_robinhood
uniswapv3pool_call_flash,uniswap_v3_robinhood
uniswapv3pool_call_increaseobservationcardinalitynext,uniswap_v3_robinhood
uniswapv3pool_call_initialize,uniswap_v3_robinhood
uniswapv3pool_call_liquidity,uniswap_v3_robinhood
uniswapv3pool_call_maxliquiditypertick,uniswap_v3_robinhood
uniswapv3pool_call_mint,uniswap_v3_robinhood
uniswapv3pool_call_observations,uniswap_v3_robinhood
uniswapv3pool_call_observe,uniswap_v3_robinhood
uniswapv3pool_call_positions,uniswap_v3_robinhood
uniswapv3pool_call_protocolfees,uniswap_v3_robinhood
uniswapv3pool_call_setfeeprotocol,uniswap_v3_robinhood
uniswapv3pool_call_slot0,uniswap_v3_robinhood
uniswapv3pool_call_snapshotcumulativesinside,uniswap_v3_robinhood
uniswapv3pool_call_swap,uniswap_v3_robinhood
uniswapv3pool_call_tickbitmap,uniswap_v3_robinhood
uniswapv3pool_call_ticks,uniswap_v3_robinhood
uniswapv3pool_call_tickspacing,uniswap_v3_robinhood
uniswapv3pool_call_token0,uniswap_v3_robinhood
uniswapv3pool_call_token1,uniswap_v3_robinhood
uniswapv3pool_evt_burn,uniswap_v3_robinhood
uniswapv3pool_evt_collect,uniswap_v3_robinhood
uniswapv3pool_evt_collectprotocol,uniswap_v3_robinhood
uniswapv3pool_evt_flash,uniswap_v3_robinhood
uniswapv3pool_evt_increaseobservationcardinalitynext,uniswap_v3_robinhood
uniswapv3pool_evt_initialize,uniswap_v3_robinhood
uniswapv3pool_evt_mint,uniswap_v3_robinhood
uniswapv3pool_evt_setfeeprotocol,uniswap_v3_robinhood
uniswapv3pool_evt_swap,uniswap_v3_robinhood
