column_name,data_type,ordinal_position,table_name,table_schema
blockchain,varchar,1,trades,dex
project,varchar,2,trades,dex
version,varchar,3,trades,dex
block_month,date,4,trades,dex
block_date,date,5,trades,dex
block_time,timestamp(3) with time zone,6,trades,dex
block_number,bigint,7,trades,dex
token_bought_symbol,varchar,8,trades,dex
token_sold_symbol,varchar,9,trades,dex
token_pair,varchar,10,trades,dex
token_bought_amount,double,11,trades,dex
token_sold_amount,double,12,trades,dex
token_bought_amount_raw,uint256,13,trades,dex
token_sold_amount_raw,uint256,14,trades,dex
amount_usd,double,15,trades,dex
token_bought_address,varbinary,16,trades,dex
token_sold_address,varbinary,17,trades,dex
taker,varbinary,18,trades,dex
maker,varbinary,19,trades,dex
project_contract_address,varbinary,20,trades,dex
tx_hash,varbinary,21,trades,dex
tx_from,varbinary,22,trades,dex
tx_to,varbinary,23,trades,dex
evt_index,bigint,24,trades,dex
_updated_at,timestamp(3) with time zone,25,trades,dex
