last_trade,n_trades,pool_address_hex,project,token_bought_symbol,token_sold_symbol,total_vol_usd,version
2026-09-05 06:06:52.000 UTC,883315,D4EB21209C4D6093F80B5B84F5C45CC093EA14A3,uniswap,NVDA,USDG,312745965.0241202,3
2026-09-05 06:06:54.000 UTC,851635,D4EB21209C4D6093F80B5B84F5C45CC093EA14A3,uniswap,USDG,NVDA,311942838.2473275,3
2026-09-05 06:07:01.000 UTC,606784,C61284332117C3FB23A2A56CCEFFD07F7AF60029,uniswap,SPCX,USDG,143327227.005882,3
2026-09-05 06:06:50.000 UTC,603136,C61284332117C3FB23A2A56CCEFFD07F7AF60029,uniswap,USDG,SPCX,142872129.4523422,3
2026-09-05 06:06:54.000 UTC,283169,DDCBBA3666F578E3F09516F21FF85BFEE859AB5E,uniswap,SPY,WETH,72664567.05266358,3
2026-09-05 06:06:53.000 UTC,289048,DDCBBA3666F578E3F09516F21FF85BFEE859AB5E,uniswap,WETH,SPY,72587142.77166721,3
2026-09-05 06:06:57.000 UTC,436370,E2B46C905E12AB8E2F864E4821A4325884C1B126,uniswap,GME,USDG,70551748.92937419,3
2026-09-05 06:06:59.000 UTC,407042,E2B46C905E12AB8E2F864E4821A4325884C1B126,uniswap,USDG,GME,70485806.58716223,3
2026-09-05 06:06:45.000 UTC,280368,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,SPY,USDG,66471952.33532361,4
2026-09-05 06:06:54.000 UTC,279092,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,SPY,65714701.7178431,4
2026-09-05 06:04:22.000 UTC,131606,AA34FEA710A1A737840329051D81D3B0B7C564D5,uniswap,USDG,AMC,61526948.21550552,3
2026-09-05 06:00:11.000 UTC,152183,AA34FEA710A1A737840329051D81D3B0B7C564D5,uniswap,AMC,USDG,59608439.11232355,3
2026-09-05 05:49:58.000 UTC,185789,38453C115607463AC284820CE959831042F3DF4E,ramsesxyz,SPY,USDG,48955478.05948189,cl
2026-09-05 05:50:08.000 UTC,162784,38453C115607463AC284820CE959831042F3DF4E,ramsesxyz,USDG,SPY,48895651.333483174,cl
2026-09-05 06:07:00.000 UTC,107961,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,AMC,36644979.186854,4
2026-09-05 06:05:20.000 UTC,231987,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,DJT,35959455.44958626,4
2026-09-05 06:06:36.000 UTC,118754,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,AMC,USDG,35628808.07094679,4
2026-09-05 06:06:23.000 UTC,238034,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,DJT,USDG,34929979.96521033,4
2026-09-05 06:06:16.000 UTC,111480,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,NVDA,USDG,26810846.424929217,4
2026-09-05 06:06:38.000 UTC,104437,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,NVDA,26147335.079389565,4
2026-09-05 06:06:54.000 UTC,154028,7A6A053ECCF1446A2633E05AA6D40D09381997EC,uniswap,USDG,GLD,25219440.61068762,3
2026-09-05 06:04:30.000 UTC,156200,7A6A053ECCF1446A2633E05AA6D40D09381997EC,uniswap,GLD,USDG,25124808.182587907,3
2026-09-05 06:03:43.000 UTC,134743,E9713F453ADB9245B19559790C96F470A18F2FDF,uniswap,USDG,GME,24674636.29465378,3
2026-09-05 06:05:02.000 UTC,163934,E9713F453ADB9245B19559790C96F470A18F2FDF,uniswap,GME,USDG,24249417.76764201,3
2026-09-05 06:06:51.000 UTC,123291,62AB521F71431F78AC374CDBADC6CDA3C8916B6C,uniswap,NVDA,WETH,21428935.7223258,3
2026-09-05 06:06:57.000 UTC,120209,62AB521F71431F78AC374CDBADC6CDA3C8916B6C,uniswap,WETH,NVDA,21322181.002947144,3
2026-09-05 06:06:57.000 UTC,147304,D60A5D14DB690B7AFAD71F76B108071D7175597D,uniswap,QQQ,USDG,20641360.834915675,3
2026-09-05 05:50:05.000 UTC,91960,D89CAC2DD5CE9F8D655D9F6E20EEED18EFC9DAEF,gigadex,SPY,USDG,20434308.87129867,3
2026-09-05 06:06:32.000 UTC,81383,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,SPCX,USDG,20388423.74641161,4
