table_name,table_schema
kishimotoinu_call__liquidityfee,03_fantom
kishimotoinu_call_setliquidityfeepercent,03_fantom
onethousandpdf_call_liquidityfee,0nameservice_bnb
salmonation_call_setnewreserveraddress,0x4841181_bnb
salmonation_evt_reserveraddressupdated,0x4841181_bnb
poolmanager_call_addrewardtopool,0xacid_arbitrum
poolmanager_call_bondyieldpercentage,0xacid_arbitrum
poolmanager_call_ismanager,0xacid_arbitrum
poolmanager_call_owner,0xacid_arbitrum
poolmanager_call_pool,0xacid_arbitrum
poolmanager_call_precision,0xacid_arbitrum
poolmanager_call_renounceownership,0xacid_arbitrum
poolmanager_call_setmanager,0xacid_arbitrum
poolmanager_call_transferownership,0xacid_arbitrum
poolmanager_call_treasury,0xacid_arbitrum
poolmanager_call_updatebondyield,0xacid_arbitrum
poolmanager_call_updatebondyieldpercentage,0xacid_arbitrum
poolmanager_call_wsteth,0xacid_arbitrum
poolmanager_evt_ownershiptransferred,0xacid_arbitrum
yieldpool_call_balanceof,0xacid_arbitrum
yieldpool_call_basepool,0xacid_arbitrum
yieldpool_call_duration,0xacid_arbitrum
yieldpool_call_earned,0xacid_arbitrum
yieldpool_call_getreward,0xacid_arbitrum
yieldpool_call_getrewardbasepool,0xacid_arbitrum
yieldpool_call_historicalrewards,0xacid_arbitrum
yieldpool_call_lasttimerewardapplicable,0xacid_arbitrum
yieldpool_call_lastupdatetime,0xacid_arbitrum
yieldpool_call_manager,0xacid_arbitrum
yieldpool_call_notifyrewardamount,0xacid_arbitrum
yieldpool_call_owner,0xacid_arbitrum
yieldpool_call_periodfinish,0xacid_arbitrum
yieldpool_call_recovertoken,0xacid_arbitrum
yieldpool_call_renounceownership,0xacid_arbitrum
yieldpool_call_rewardpertoken,0xacid_arbitrum
yieldpool_call_rewardpertokenstored,0xacid_arbitrum
yieldpool_call_rewardrate,0xacid_arbitrum
yieldpool_call_rewards,0xacid_arbitrum
yieldpool_call_rewardtoken,0xacid_arbitrum
yieldpool_call_setmanager,0xacid_arbitrum
yieldpool_call_totalsupply,0xacid_arbitrum
yieldpool_call_transferownership,0xacid_arbitrum
yieldpool_call_updatestaked,0xacid_arbitrum
yieldpool_call_userrewardpertokenpaid,0xacid_arbitrum
yieldpool_evt_ownershiptransferred,0xacid_arbitrum
yieldpool_evt_rewardadded,0xacid_arbitrum
yieldpool_evt_rewardpaid,0xacid_arbitrum
yieldpool_evt_updatestaked,0xacid_arbitrum
terkehh_call_addliquidity,0xbitcoin_bnb
terkehh_call_liquidity,0xbitcoin_bnb
oxdv1rewards_call_partnersrewardspooladdress,0xdao_fantom
oxlens_call_gaugebysolidpool,0xdao_fantom
oxlens_call_isoxpool,0xdao_fantom
oxlens_call_migrateableoxpools,0xdao_fantom
oxlens_call_oxpoolbysolidpool,0xdao_fantom
oxlens_call_oxpooldata,0xdao_fantom
oxlens_call_oxpoolfactory,0xdao_fantom
oxlens_call_oxpoolfactoryaddress,0xdao_fantom
oxlens_call_oxpoolsaddresses,0xdao_fantom
oxlens_call_oxpoolsdata,0xdao_fantom
oxlens_call_oxpoolslength,0xdao_fantom
oxlens_call_oxpoolsmigrationmapping,0xdao_fantom
oxlens_call_oxsolidrewardpoolposition,0xdao_fantom
oxlens_call_oxsolidrewardspool,0xdao_fantom
oxlens_call_oxsolidrewardspooladdress,0xdao_fantom
oxlens_call_partnersrewardspooladdress,0xdao_fantom
oxlens_call_poolsfactoryaddress,0xdao_fantom
oxlens_call_poolspositions,0xdao_fantom
oxlens_call_solidpoolbyoxpool,0xdao_fantom
oxlens_call_stakingpoolposition,0xdao_fantom
oxlens_call_stakingpoolspositions,0xdao_fantom
oxlens_call_stakingrewardsbyoxpool,0xdao_fantom
oxlens_call_stakingrewardsbysolidpool,0xdao_fantom
oxpoolfactory_call_initializeproxystorage,0xdao_fantom
oxpoolfactory_call_isoxpool,0xdao_fantom
oxpoolfactory_call_isoxpoolorlegacyoxpool,0xdao_fantom
oxpoolfactory_call_multirewardstemplateaddress,0xdao_fantom
oxpoolfactory_call_oxdaddress,0xdao_fantom
oxpoolfactory_call_oxpoolbysolidpool,0xdao_fantom
oxpoolfactory_call_oxpoolimplementationsourceaddress,0xdao_fantom
oxpoolfactory_call_oxpoolproxytemplateaddress,0xdao_fantom
oxpoolfactory_call_oxpools,0xdao_fantom
oxpoolfactory_call_oxpoolslength,0xdao_fantom
oxpoolfactory_call_oxsolidaddress,0xdao_fantom
oxpoolfactory_call_oxsolidrewardspooladdress,0xdao_fantom
oxpoolfactory_call_poolslength,0xdao_fantom
oxpoolfactory_call_proxystorageinitialized,0xdao_fantom
oxpoolfactory_call_rewardsdistributoraddress,0xdao_fantom
oxpoolfactory_call_solidlylensaddress,0xdao_fantom
oxpoolfactory_call_solidpoolbyoxpool,0xdao_fantom
oxpoolfactory_call_syncedpoolslength,0xdao_fantom
oxpoolfactory_call_syncpools,0xdao_fantom
oxpoolfactory_call_tokensallowlist,0xdao_fantom
oxpoolfactory_call_unsyncedpoolslength,0xdao_fantom
oxpoolfactory_call_vloxdaddress,0xdao_fantom
oxpoolfactory_call_voterproxyaddress,0xdao_fantom
oxpoolimplementationsource_call_allowance,0xdao_fantom
oxpoolimplementationsource_call_allowedtokenslength,0xdao_fantom
oxpoolimplementationsource_call_approve,0xdao_fantom
oxpoolimplementationsource_call_balanceof,0xdao_fantom
oxpoolimplementationsource_call_bribeaddress,0xdao_fantom
oxpoolimplementationsource_call_bribenotifysyncindex,0xdao_fantom
oxpoolimplementationsource_call_bribeorfeesindex,0xdao_fantom
oxpoolimplementationsource_call_bribesyncindex,0xdao_fantom
oxpoolimplementationsource_call_bribetokensaddresses,0xdao_fantom
